Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
Zac Gallen,24,SP,2.5,3,2,0.6,2.75,12,12,0,0,0,0,72.0,55,24,22,9,25,0,82,2,0,4,291,164.0,3.66,1.111,6.9,1.1,3.1,10.3,3.28,CYA-9
Merrill Kelly,31,SP,1.3,3,2,0.6,2.59,5,5,0,0,0,0,31.1,26,9,9,5,5,1,29,1,0,0,125,175.0,3.99,0.989,7.5,1.4,1.4,8.3,5.8,0
Taylor Clarke,27,0,0.5,3,0,1.0,4.36,12,5,2,0,0,0,43.1,35,23,21,8,21,2,40,0,0,0,183,104.0,5.2,1.292,7.3,1.7,4.4,8.3,1.9,0
Stefan Crichton,28,RP,1.0,2,2,0.5,2.42,26,0,8,0,0,5,26.0,22,7,7,1,9,4,23,4,0,2,109,187.0,3.42,1.192,7.6,0.3,3.1,8.0,2.56,0
Alex Young*,26,0,-0.1,2,4,0.333,5.44,15,7,0,0,0,0,46.1,51,30,28,11,14,0,39,1,0,1,204,83.0,5.57,1.403,9.9,2.1,2.7,7.6,2.79,0
Riley Smith,25,0,0.6,2,0,1.0,1.47,6,0,5,0,0,0,18.1,15,3,3,1,5,0,18,0,0,0,70,310.0,2.75,1.091,7.4,0.5,2.5,8.8,3.6,0
Keury Mella,26,0,0.2,2,0,1.0,1.8,11,0,3,0,0,0,10.0,10,3,2,1,3,1,10,0,0,1,42,258.0,3.39,1.3,9.0,0.9,2.7,9.0,3.33,0
Luke Weaver,26,SP,-0.3,1,9,0.1,6.58,12,12,0,0,0,0,52.0,63,39,38,10,18,0,55,1,0,0,236,69.0,4.67,1.558,10.9,1.7,3.1,9.5,3.06,0
Robbie Ray*,28,SP,-0.5,1,4,0.2,7.84,7,7,0,0,0,0,31.0,31,27,27,9,31,1,43,1,0,6,154,58.0,7.29,2.0,9.0,2.6,9.0,12.5,1.39,0
Madison Bumgarner*,30,SP,-0.4,1,4,0.2,6.48,9,9,0,0,0,0,41.2,47,31,30,13,13,2,30,6,0,0,190,70.0,7.18,1.44,10.2,2.8,2.8,6.5,2.31,0
Travis Bergen*,26,0,0.1,1,0,1.0,4.05,7,0,2,0,0,1,6.2,4,3,3,1,8,0,8,0,0,0,30,116.0,6.34,1.8,5.4,1.4,10.8,10.8,1.0,0
Héctor Rondón,32,RP,-0.6,1,0,1.0,7.65,23,0,5,0,0,0,20.0,25,18,17,6,11,2,23,1,0,3,97,60.0,6.59,1.8,11.3,2.7,5.0,10.4,2.09,0
Junior Guerra,35,RP,0.5,1,2,0.333,3.04,25,0,5,0,0,0,23.2,17,10,8,1,15,2,21,2,0,2,103,149.0,4.12,1.352,6.5,0.4,5.7,8.0,1.4,0
Archie Bradley,27,CL,0.2,1,0,1.0,4.22,10,0,9,0,0,6,10.2,13,5,5,0,3,0,12,1,0,0,45,110.0,2.07,1.5,11.0,0.0,2.5,10.1,4.0,0
Andrew Chafin*,30,0,-0.2,1,1,0.5,8.1,11,0,1,0,0,0,6.2,9,6,6,1,4,0,10,0,0,0,33,58.0,3.94,1.95,12.2,1.4,5.4,13.5,2.5,0
Yoan López,27,RP,-0.3,0,1,0.0,5.95,20,0,7,0,0,0,19.2,21,15,13,4,9,2,16,0,1,0,87,77.0,5.58,1.525,9.6,1.8,4.1,7.3,1.78,0
Caleb Smith*,28,0,0.3,0,0,0.0,2.45,4,3,0,0,0,0,11.0,5,3,3,2,6,0,12,0,0,0,45,188.0,5.01,1.0,4.1,1.6,4.9,9.8,2.0,0
Taylor Widener,25,0,0.1,0,1,0.0,4.5,12,0,4,0,0,0,20.0,14,10,10,5,12,1,22,3,0,0,88,101.0,6.49,1.3,6.3,2.3,5.4,9.9,1.83,0
Kevin Ginkel,26,0,-0.3,0,2,0.0,6.75,19,0,2,0,0,1,16.0,21,13,12,3,13,2,18,0,0,4,79,68.0,5.82,2.125,11.8,1.7,7.3,10.1,1.38,0
Artie Lewicki,28,0,0.0,0,0,0.0,5.4,2,0,2,0,0,0,3.1,7,2,2,0,1,0,5,0,0,0,18,92.0,1.09,2.4,18.9,0.0,2.7,13.5,5.0,0
Joel Payamps,26,0,0.0,0,0,0.0,3.0,2,0,1,0,0,0,3.0,2,2,1,0,3,0,2,0,0,0,13,166.0,4.86,1.667,6.0,0.0,9.0,6.0,0.67,0
Joe Mantiply*,29,0,-0.2,0,0,0.0,15.43,4,0,1,0,0,0,2.1,3,4,4,0,4,0,2,0,0,0,15,33.0,6.62,3.0,11.6,0.0,15.4,7.7,0.5,0
Silvino Bracho,27,0,-0.1,0,0,0.0,18.0,1,0,0,0,0,0,1.0,2,2,2,1,0,0,1,0,0,0,5,33.0,14.19,2.0,18.0,9.0,0.0,9.0,0.0,0
Carson Kelly,25,0,0.0,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,0.0,3.19,1.0,9.0,0.0,0.0,0.0,0.0,0
Matt Grace*,31,0,-0.4,0,1,0.0,54.0,3,0,1,0,0,0,1.0,5,6,6,1,2,0,2,0,0,0,10,11.0,18.19,7.0,45.0,9.0,18.0,18.0,1.0,0
Jeremy Beasley,24,0,0.0,0,0,0.0,0.0,1,0,1,0,0,0,0.1,2,0,0,0,0,0,1,0,0,0,3,0.0,-2.81,6.0,54.0,0.0,0.0,27.0,0.0,0
