Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
Ángel Felipe,25,0,0.2,1,1,0.5,4.2,14,0,5,0,0,0,15.0,6,7,7,0,13,0,19,1,0,1,64,102,3.52,1.267,3.6,0.0,7.8,11.4,1.46,0.0
Sean Newcomb*,30,0,0.4,1,1,0.5,3.0,7,2,1,0,0,0,15.0,8,5,5,1,9,0,17,2,0,1,61,143,4.06,1.133,4.8,0.6,5.4,10.2,1.89,0.0
Kirby Snead*,28,0,0.0,1,2,0.333,4.63,15,0,2,0,0,0,11.2,14,7,6,1,6,1,9,0,0,3,56,93,4.37,1.714,10.8,0.8,4.6,6.9,1.5,0.0
Chad Smith,28,0,-0.1,1,2,0.333,6.59,10,0,5,0,0,0,13.2,15,10,10,2,7,0,9,2,0,1,60,65,5.82,1.61,9.9,1.3,4.6,5.9,1.29,0.0
Freddy Tarnok,24,0,0.1,1,1,0.5,4.91,5,1,1,0,0,0,14.2,11,8,8,4,11,0,14,0,0,2,65,88,7.14,1.5,6.8,2.5,6.8,8.6,1.27,0.0
Devin Sweet,26,0,-0.2,1,0,1.0,10.8,5,0,1,0,0,0,6.2,8,8,8,3,5,0,5,2,0,0,34,41,10.76,1.95,10.8,4.1,6.8,6.8,1.0,0.0
Richard Lovelady*,27,0,0.1,0,3,0.0,4.63,27,0,3,0,0,0,23.1,15,13,12,3,10,0,24,3,0,0,96,92,4.54,1.071,5.8,1.2,3.9,9.3,2.4,0.0
Sam Moll*,31,RP,0.3,0,3,0.0,4.54,45,1,10,0,0,1,37.2,34,20,19,1,19,4,46,7,0,4,170,93,3.23,1.407,8.1,0.2,4.5,11.0,2.42,0.0
Adrián Martínez,26,0,0.3,0,2,0.0,4.75,22,1,7,0,0,0,55.0,59,31,29,8,19,0,47,5,0,4,241,89,4.75,1.418,9.7,1.3,3.1,7.7,2.47,0.0
Dany Jiménez,29,0,0.5,0,2,0.0,3.47,25,1,6,0,0,1,23.1,11,9,9,3,14,1,21,0,0,2,94,123,4.93,1.071,4.2,1.2,5.4,8.1,1.5,0.0
Drew Rucinski,34,0,-0.8,0,4,0.0,9.0,4,4,0,0,0,0,18.0,27,22,18,5,14,0,6,1,0,0,95,48,8.7,2.278,13.5,2.5,7.0,3.0,0.43,0.0
Mason Miller,24,0,0.6,0,3,0.0,3.78,10,6,0,0,0,0,33.1,24,15,14,2,16,0,38,3,0,3,139,112,3.47,1.2,6.5,0.5,4.3,10.3,2.38,0.0
Sam Long*,27,RP,-0.2,0,1,0.0,5.6,40,1,15,0,0,2,45.0,49,29,28,5,21,3,32,1,0,2,199,76,4.74,1.556,9.8,1.0,4.2,6.4,1.52,0.0
Spencer Patton,35,0,0.0,0,0,0.0,5.11,12,0,5,0,0,0,12.1,13,7,7,3,6,1,7,0,0,0,55,85,6.74,1.541,9.5,2.2,4.4,5.1,1.17,0.0
Joey Estes,21,0,-0.2,0,1,0.0,7.2,2,2,0,0,0,0,10.0,12,9,8,4,2,1,7,3,0,1,47,60,8.56,1.4,10.8,3.6,1.8,6.3,3.5,0.0
Domingo Acevedo,29,0,-0.7,0,0,0.0,10.61,9,0,1,0,0,0,9.1,16,11,11,2,2,1,7,1,0,1,47,41,5.51,1.929,15.4,1.9,1.9,6.8,3.5,0.0
Jeurys Familia,33,0,-0.5,0,1,0.0,6.39,14,0,3,0,0,2,12.2,13,12,9,2,13,0,9,1,0,0,64,67,7.2,2.053,9.2,1.4,9.2,6.4,0.69,0.0
Rico Garcia,29,0,-0.2,0,0,0.0,8.31,7,0,1,0,0,0,8.2,13,8,8,4,5,0,6,0,0,0,44,53,9.6,2.077,13.5,4.2,5.2,6.2,1.2,0.0
Tayler Scott,31,0,0.2,0,0,0.0,3.38,8,1,1,0,0,0,8.0,11,3,3,2,2,0,7,1,0,0,38,130,5.88,1.625,12.4,2.3,2.3,7.9,3.5,0.0
Easton Lucas*,26,0,-0.1,0,0,0.0,8.1,6,0,1,0,0,0,6.2,10,6,6,1,4,1,7,0,0,2,35,55,4.91,2.1,13.5,1.4,5.4,9.5,1.75,0.0
Garrett Acton,25,0,-0.4,0,0,0.0,12.71,6,0,3,0,0,0,5.2,9,8,8,3,5,2,5,1,0,0,32,35,11.55,2.471,14.3,4.8,7.9,7.9,1.0,0.0
Spenser Watkins,30,0,-0.2,0,1,0.0,10.38,1,1,0,0,0,0,4.1,7,5,5,2,2,0,4,0,0,0,21,44,8.79,2.077,14.5,4.2,4.2,8.3,2.0,0.0
Jace Peterson,33,0,0.0,0,0,0.0,9.0,2,0,2,0,0,0,2.0,3,2,2,1,3,0,1,0,0,0,12,55,13.26,3.0,13.5,4.5,13.5,4.5,0.33,0.0
Yacksel Ríos,30,0,-0.3,0,0,0.0,37.8,3,0,2,0,0,0,1.2,3,7,7,1,6,0,2,0,0,2,14,14,19.46,5.4,16.2,5.4,32.4,10.8,0.33,0.0
Carlos Pérez,32,0,0.0,0,0,0.0,10.8,2,0,2,0,0,0,1.2,4,2,2,1,2,0,0,0,0,0,10,47,14.66,3.6,21.6,5.4,10.8,0.0,0.0,0.0
