Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Matt Olson*,29,1B,7.4,162,720,608,127,172,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993,164,0.415,161,367,13,4,0,4,8,*3,"AS,MVP-4,SS"
Ozzie Albies#,26,2B,4.7,148,660,596,96,167,30,5,33,109,13,1,46,107,0.28,0.336,0.513,0.849,126,0.362,120,306,9,8,0,8,2,*4,"AS,MVP-16"
Ronald Acuña Jr.,25,RF,8.2,159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,171,0.444,173,383,15,9,0,3,3,*9/D,"AS,MVP-1,SS"
Marcell Ozuna,32,DH,3.3,144,592,530,84,145,29,1,40,100,0,0,57,134,0.274,0.346,0.558,0.905,140,0.384,139,296,9,3,0,2,1,*D/7H,MVP-19
Austin Riley,26,3B,5.9,159,715,636,117,179,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861,130,0.367,127,328,18,9,0,11,4,*5,"AS,MVP-7,SS"
Eddie Rosario*,31,LF,1.1,142,516,478,64,122,24,3,21,74,3,4,34,122,0.255,0.305,0.45,0.755,101,0.324,98,215,13,1,1,2,1,*7DH,0
Sean Murphy,28,C,3.9,108,438,370,65,93,21,0,21,68,0,0,49,98,0.251,0.365,0.478,0.844,127,0.371,129,177,18,18,0,1,0,2/DH,AS
Orlando Arcia,28,SS,1.6,139,533,488,66,129,25,0,17,65,1,0,39,102,0.264,0.321,0.42,0.741,99,0.325,96,205,14,3,0,3,0,*6/H,AS
Michael Harris II*,22,CF,3.4,138,539,505,76,148,33,3,18,57,20,4,25,101,0.293,0.331,0.477,0.808,116,0.351,112,241,8,5,1,3,1,*8/H,0
Travis d'Arnaud,34,C,0.2,74,292,267,31,60,13,0,11,39,0,0,21,67,0.225,0.288,0.397,0.685,84,0.3,79,106,6,3,0,1,0,2/DH,0
Kevin Pillar,34,LF,-0.1,81,206,197,29,45,10,0,9,32,4,1,6,50,0.228,0.248,0.416,0.664,76,0.289,70,82,2,0,0,3,0,7H9/8,0
Nicky Lopez*,28,IF,0.8,25,72,65,13,18,3,0,1,12,2,0,5,10,0.277,0.333,0.369,0.703,91,0.33,96,24,0,1,0,1,0,4/6135H,0
Vaughn Grissom,22,SS,-0.7,23,80,75,5,21,3,1,0,9,0,1,2,15,0.28,0.313,0.347,0.659,79,0.285,73,26,2,2,0,1,0,6/4H,0
Sam Hilliard*,29,CF,0.2,40,78,72,15,17,5,0,3,6,4,0,6,33,0.236,0.295,0.431,0.725,94,0.324,87,31,1,0,0,0,0,8H/79D,0
Forrest Wall*,27,OF,0.3,15,15,13,6,6,2,0,1,2,5,1,2,4,0.462,0.533,0.846,1.379,267,0.602,264,11,0,0,0,0,0,/H7D89,0
Chadwick Tromp,28,C,-0.2,6,16,16,1,2,1,0,0,1,0,0,0,7,0.125,0.125,0.188,0.313,-17,0.133,-40,3,0,0,0,0,0,/2,0
Eli White,29,CF,0.0,6,17,14,1,1,0,0,0,0,0,0,2,7,0.071,0.235,0.071,0.307,-10,0.178,-8,1,0,1,0,0,0,/8H,0
Ehire Adrianza#,33,SS,-0.3,5,11,10,0,0,0,0,0,0,0,0,1,4,0.0,0.091,0.0,0.091,-72,0.064,-89,0,0,0,0,0,0,/6H,0
Luke Williams,26,UT,-0.2,7,9,9,1,0,0,0,0,0,3,0,0,4,0.0,0.0,0.0,0.0,-100,0.079,-133,0,0,0,0,0,0,/H537D,0
Braden Shewmake*,25,SS,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,/6,0
Charlie Culberson,34,DH,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,447,0.803,433,1,0,0,0,0,0,/DH,0
Nick Solak,28,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/H,0
Joe Jiménez,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
