Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Chris Flexen,29,SP,1.6,3,15,.167,4.95,33,30,0,0,0,0,160.0,180,95,88,24,63,1,123,2,2,4,707,83,4.80,1.519,10.1,1.4,3.5,6.9,1.95,
2,Garrett Crochet*,25,SP,4.1,6,12,.333,3.58,32,32,0,0,0,0,146.0,123,61,58,18,33,0,209,5,1,3,595,115,2.69,1.068,7.6,1.1,2.0,12.9,6.33,AS
3,Jonathan Cannon,23,SP,1.9,5,10,.333,4.49,23,21,1,0,0,1,124.1,125,65,62,18,40,0,91,4,1,2,522,92,4.65,1.327,9.0,1.3,2.9,6.6,2.28,
4,Erick Fedde,31,SP,4.7,7,4,.636,3.11,21,21,0,0,0,0,121.2,105,43,42,14,34,0,108,2,1,2,502,132,3.77,1.142,7.8,1.0,2.5,8.0,3.18,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
5,Michael Kopech,28,CL,0.3,2,8,.200,4.74,43,0,26,0,0,9,43.2,35,24,23,8,24,2,59,5,2,5,191,87,4.84,1.351,7.2,1.6,4.9,12.2,2.46,
6,Justin Anderson,31,RP,0.5,1,2,.333,4.39,56,0,14,0,0,1,53.1,48,29,26,5,32,1,57,3,0,1,242,94,4.22,1.500,8.1,0.8,5.4,9.6,1.78,
7,John Brebbia,34,RP,-0.6,0,6,.000,6.29,54,0,20,0,0,2,48.2,52,34,34,9,17,0,58,3,0,1,216,66,4.42,1.418,9.6,1.7,3.1,10.7,3.41,
8,Tanner Banks*,32,RP,-0.1,2,2,.500,4.13,41,1,8,0,0,2,48.0,47,30,22,5,15,2,55,2,0,0,205,100,3.29,1.292,8.8,0.9,2.8,10.3,3.67,
9,Steven Wilson,29,RP,-0.7,1,6,.143,5.71,40,0,12,0,0,0,34.2,29,29,22,8,26,6,34,3,1,1,163,73,6.71,1.587,7.5,2.1,6.8,8.8,1.31,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
10,Michael Soroka,26,,0.6,0,10,.000,4.74,25,9,7,0,0,0,79.2,66,49,42,13,44,1,84,3,2,2,347,87,4.95,1.381,7.5,1.5,5.0,9.5,1.91,
11,Jared Shuster*,25,,1.0,2,5,.286,4.30,39,4,14,0,0,0,73.1,74,38,35,9,33,0,56,0,0,3,321,96,4.58,1.459,9.1,1.1,4.1,6.9,1.70,
