Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Kyle Tucker*,26,RF,5.4,157,674,574,97,163,37,5,29,112,30,5,80,92,0.284,0.369,0.517,0.886,142,0.381,141,297,11,3,0,10,9,*9/DH,"AS,MVP-5,SS"
Alex Bregman,29,3B,4.9,161,724,622,103,163,28,4,25,98,3,1,92,87,0.262,0.363,0.441,0.804,122,0.354,124,274,22,8,0,2,1,*5/D,MVP-22
Yordan Alvarez*,26,DH,4.6,114,496,410,77,120,24,1,31,97,0,0,69,92,0.293,0.407,0.583,0.99,170,0.419,172,239,7,13,0,4,5,D7/H,"AS,MVP-13"
José Abreu,36,1B,0.0,141,594,540,62,128,23,1,18,90,0,1,42,130,0.237,0.296,0.383,0.68,87,0.303,89,207,16,6,0,6,1,*3/D,0
Chas McCormick,28,OF,3.6,115,457,403,59,110,17,2,22,70,19,6,40,117,0.273,0.353,0.489,0.842,130,0.367,132,197,3,11,1,2,0,*789/DH,0
Yainer Diaz,24,C,3.2,104,377,355,51,100,22,0,23,60,0,0,11,74,0.282,0.308,0.538,0.846,128,0.363,131,191,12,5,0,6,0,2DH/3,ROY-5
Jeremy Peña,25,SS,3.8,150,634,577,81,152,32,3,10,52,13,9,43,129,0.263,0.324,0.381,0.705,95,0.315,99,220,11,9,1,1,1,*6,0
Jose Altuve,33,2B,2.8,90,410,360,76,112,21,2,17,51,14,2,44,71,0.311,0.393,0.522,0.915,151,0.396,151,188,9,5,0,1,0,4/DH,0
Mauricio Dubón,28,UT,2.7,132,492,467,76,130,26,3,10,46,7,2,19,70,0.278,0.309,0.411,0.72,97,0.324,103,192,10,3,0,3,0,48H/67395,GG
Martín Maldonado,36,C,0.3,116,407,362,33,69,12,0,15,36,0,0,30,139,0.191,0.258,0.348,0.606,66,0.265,60,126,10,3,12,0,0,*2/1,0
Jake Meyers,27,CF,1.6,112,341,309,42,70,16,1,10,33,5,2,26,88,0.227,0.296,0.382,0.678,86,0.302,87,118,2,5,0,1,0,8H/7D,0
Corey Julks,27,LF,0.3,93,323,298,35,73,14,0,6,33,15,3,22,75,0.245,0.297,0.352,0.65,79,0.296,79,105,6,1,0,2,0,7DH/9,0
Jon Singleton*,31,1B,-0.1,25,73,62,8,12,2,0,2,10,0,0,10,12,0.194,0.301,0.323,0.624,73,0.293,81,20,2,0,0,1,0,3H/D,0
Michael Brantley*,36,LF,0.1,15,57,54,7,15,2,0,2,7,0,0,2,2,0.278,0.298,0.426,0.724,98,0.31,93,23,2,0,0,1,0,7/DH,0
David Hensley,27,IF,-0.7,30,94,84,12,10,1,0,1,3,1,0,10,35,0.119,0.213,0.167,0.379,8,0.205,17,14,0,0,0,0,0,D/4H375,0
Grae Kessinger,25,IF,0.0,26,45,40,3,8,2,0,1,1,0,1,5,12,0.2,0.289,0.325,0.614,70,0.26,66,13,0,0,0,0,0,/H5643,0
Bligh Madris*,27,UT,-0.3,12,30,26,4,4,1,0,0,0,0,0,4,7,0.154,0.267,0.192,0.459,31,0.223,31,5,0,0,0,0,0,/HD317,0
César Salazar*,27,C,-0.2,13,19,18,1,2,0,0,0,0,0,0,1,6,0.111,0.158,0.111,0.269,-23,0.13,-35,2,1,0,0,0,0,/2H,0
Rylan Bannon,27,2B,-0.2,2,6,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-127,0,0,0,0,0,0,/4D,0
Seth Martinez,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Phil Maton,30,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Kendall Graveman,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Rafael Montero,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Héctor Neris,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Ryan Pressly,34,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Ryne Stanek,31,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
