Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Shohei Ohtani*,29,DH,9.2,159,731,636,134,197,38,7,54,130,59,4,81,162,0.31,0.39,0.646,1.036,190,0.449,190,411,7,6,0,5,10,*D,"AS,MVP-1,SS"
Teoscar Hernández,31,LF,4.3,154,652,589,84,160,32,2,33,99,12,3,53,188,0.272,0.339,0.501,0.84,137,0.368,141,295,7,8,0,1,3,*79,"AS,MVP-19,SS"
Freddie Freeman*,34,1B,4.7,147,638,542,81,153,35,2,22,89,9,2,78,100,0.282,0.378,0.476,0.854,143,0.37,142,258,13,10,0,8,9,*3,"AS,MVP-17"
Will Smith,29,C,3.5,128,544,476,77,118,24,2,20,75,1,1,51,105,0.248,0.327,0.433,0.76,116,0.327,112,206,8,9,0,8,6,*2/HD,AS
Mookie Betts,31,UT,4.8,116,516,450,75,130,24,5,19,75,16,2,61,57,0.289,0.372,0.491,0.863,145,0.377,145,221,10,1,0,4,2,694/H,"AS,MVP-13,SS"
Gavin Lux*,26,2B,2.1,139,487,439,59,110,24,2,10,50,5,2,44,110,0.251,0.32,0.383,0.703,101,0.314,103,168,8,2,0,2,0,*4H/6,0
Max Muncy*,33,3B,3.0,73,293,237,47,55,17,0,15,48,1,0,45,77,0.232,0.358,0.494,0.852,141,0.361,136,117,1,5,0,6,3,5/H,0
Andy Pages,23,CF,1.3,116,443,403,65,100,23,1,13,46,1,2,29,108,0.248,0.305,0.407,0.712,102,0.31,101,164,8,6,0,4,0,*89/H7D,0
Kiké Hernández,32,3B,1.3,126,393,362,44,83,16,0,12,42,0,0,27,77,0.229,0.281,0.373,0.654,85,0.294,88,135,13,0,1,3,0,5H3784/61D,0
Miguel Rojas,35,SS,3.4,103,337,307,41,87,21,0,6,36,8,2,23,34,0.283,0.337,0.41,0.748,113,0.329,112,126,8,3,2,2,0,64H5/13,0
Jason Heyward*,34,RF,0.8,63,197,173,25,36,10,2,6,28,4,0,17,36,0.208,0.289,0.393,0.682,93,0.3,90,68,3,4,0,3,0,9/H8,0
Chris Taylor,33,UT,-0.1,87,246,213,28,43,7,1,4,23,5,1,28,76,0.202,0.298,0.3,0.598,73,0.289,82,64,5,2,1,2,0,754H/8,0
Tommy Edman#,29,UT,0.9,37,153,139,20,33,5,1,6,20,6,0,11,30,0.237,0.294,0.417,0.711,101,0.321,101,58,2,1,0,2,0,86/H4,0
Austin Barnes,34,C,0.7,54,156,140,12,37,3,0,1,11,3,0,14,36,0.264,0.331,0.307,0.638,85,0.294,85,43,3,0,2,0,0,2/HD4,0
James Outman*,27,CF,-0.4,53,156,136,12,20,4,0,4,11,2,1,16,55,0.147,0.256,0.265,0.521,50,0.24,50,36,0,4,0,0,0,8H/79,0
Cavan Biggio*,29,CI,-0.2,30,88,73,11,14,1,0,3,10,0,0,10,28,0.192,0.306,0.329,0.635,82,0.287,83,24,0,2,2,0,0,53/9H4,0
Miguel Vargas,24,LF,0.3,30,80,71,11,17,4,0,3,9,1,0,8,16,0.239,0.313,0.423,0.735,108,0.319,104,30,1,0,0,1,0,7/H3,0
Kevin Kiermaier*,34,CF,0.1,34,64,59,7,12,2,1,1,8,1,2,2,20,0.203,0.242,0.322,0.564,60,0.263,74,19,1,1,2,0,0,8/H,0
Nick Ahmed,34,SS,-0.1,17,49,48,6,11,0,0,1,2,1,0,1,14,0.229,0.245,0.292,0.537,53,0.241,47,14,0,0,0,0,0,6/H,0
Amed Rosario,28,IF,0.1,5,12,11,1,3,1,0,0,2,1,1,1,2,0.273,0.333,0.364,0.697,100,0.281,96,4,0,0,0,0,0,/46H5,0
Hunter Feduccia*,27,C,0.1,5,14,12,2,4,0,0,0,1,0,0,2,2,0.333,0.429,0.333,0.762,123,0.354,132,4,1,0,0,0,0,/2H,0
Taylor Trammell*,26,OF,-0.2,5,6,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0,0,0,0,0,/H79,0
