Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
Kendall Graveman,25,SP,3.5,10,11,0.476,4.11,31,31,0,2,1,0,186.0,196,87,85,22,47,2,108,7,0,2,786,99.0,4.39,1.306,9.5,1.1,2.3,5.2,2.3,0.0
Rich Hill*,36,SP,2.9,9,3,0.75,2.25,14,14,0,0,0,0,76.0,55,22,19,2,28,0,90,8,0,0,311,182.0,2.54,1.092,6.5,0.2,3.3,10.7,3.21,0.0
Sean Manaea*,24,SP,3.0,7,9,0.438,3.86,25,24,0,0,0,0,144.2,135,65,62,20,37,1,124,4,0,3,594,106.0,4.08,1.189,8.4,1.2,2.3,7.7,3.35,0.0
John Axford,33,RP,0.9,6,4,0.6,3.97,68,0,13,0,0,3,65.2,65,30,29,6,30,1,60,3,0,4,289,103.0,4.01,1.447,8.9,0.8,4.1,8.2,2.0,0.0
Ryan Madson,35,CL,1.3,6,7,0.462,3.62,63,0,53,0,0,30,64.2,63,27,26,7,20,3,49,2,1,4,270,113.0,4.06,1.284,8.8,1.0,2.8,6.8,2.45,0.0
Sonny Gray,26,SP,-0.3,5,11,0.313,5.69,22,22,0,0,0,0,117.0,133,80,74,18,42,0,94,2,0,15,517,72.0,4.67,1.496,10.2,1.4,3.2,7.2,2.24,0.0
Ryan Dull,26,RP,2.3,5,5,0.5,2.42,70,0,9,0,0,3,74.1,50,23,20,10,15,4,73,1,0,6,290,169.0,3.58,0.874,6.1,1.2,1.8,8.8,4.87,0.0
Danny Coulombe*,26,0,0.4,3,1,0.75,4.53,35,0,11,0,0,0,47.2,37,24,24,6,17,2,54,0,0,3,193,91.0,3.59,1.133,7.0,1.1,3.2,10.2,3.18,0.0
Daniel Mengden,23,SP,-0.7,2,9,0.182,6.5,14,14,0,0,0,0,72.0,83,54,52,9,33,0,71,4,0,5,332,63.0,4.34,1.611,10.4,1.1,4.1,8.9,2.15,0.0
Jesse Hahn,26,0,-0.2,2,4,0.333,6.02,9,9,0,0,0,0,46.1,57,32,31,8,19,1,23,0,0,2,203,68.0,5.63,1.64,11.1,1.6,3.7,4.5,1.21,0.0
