Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
Merrill Kelly,32,SP,2.4,7,11,0.389,4.44,27,27,0,0,0,0,158.0,163,82,78,21,41,3,130,4,0,2,667,95.0,4.11,1.291,9.3,1.2,2.3,7.4,3.17,0.0
Madison Bumgarner*,31,SP,1.4,7,10,0.412,4.67,26,26,0,1,1,0,146.1,134,82,76,24,39,2,124,11,1,2,613,90.0,4.63,1.182,8.2,1.5,2.4,7.6,3.18,0.0
Matt Peacock,27,0,0.2,5,7,0.417,4.9,35,8,12,0,0,0,86.1,107,55,47,13,28,5,50,1,1,2,386,86.0,4.98,1.564,11.2,1.4,2.9,5.2,1.79,0.0
Caleb Smith*,29,RP,0.7,4,9,0.308,4.83,45,13,4,0,0,0,113.2,93,64,61,20,63,3,124,6,0,2,500,87.0,5.1,1.372,7.4,1.6,5.0,9.8,1.97,0.0
Zac Gallen,25,SP,2.1,4,10,0.286,4.3,23,23,0,1,1,0,121.1,108,61,58,19,49,1,139,5,0,6,523,98.0,4.25,1.294,8.0,1.4,3.6,10.3,2.84,0.0
Brett de Geus,23,0,-0.8,3,2,0.6,6.56,28,0,9,0,0,0,23.1,31,22,17,3,12,1,15,2,0,3,111,65.0,5.36,1.843,12.0,1.2,4.6,5.8,1.25,0.0
Luke Weaver,27,SP,0.9,3,6,0.333,4.25,13,13,0,0,0,0,65.2,58,34,31,11,20,3,62,1,0,0,275,100.0,4.42,1.188,7.9,1.5,2.7,8.5,3.1,0.0
Taylor Widener,26,SP,0.8,2,1,0.667,4.35,23,13,0,0,0,0,70.1,65,38,34,14,37,3,73,7,0,1,319,97.0,5.56,1.45,8.3,1.8,4.7,9.3,1.97,0.0
Tyler Gilbert*,27,0,1.1,2,2,0.5,3.15,9,6,0,1,1,0,40.0,28,17,14,4,13,0,25,1,0,0,157,135.0,4.27,1.025,6.3,0.9,2.9,5.6,1.92,0.0
J.B. Wendelken,28,0,0.2,2,2,0.5,4.34,20,0,9,0,0,2,18.2,15,9,9,2,9,1,13,0,0,0,77,99.0,4.62,1.286,7.2,1.0,4.3,6.3,1.44,0.0
JB Bukauskas,24,0,-0.9,2,2,0.5,7.79,21,0,4,0,0,0,17.1,24,19,15,4,7,1,14,0,0,0,81,55.0,5.77,1.788,12.5,2.1,3.6,7.3,2.0,0.0
Alex Young*,27,0,-0.9,2,6,0.25,6.26,30,2,7,0,0,0,41.2,50,34,29,11,20,3,38,1,0,2,193,68.0,6.29,1.68,10.8,2.4,4.3,8.2,1.9,0.0
