Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Brandon Crawford*,30,SS,2.1,144,570,518,58,131,34,1,14,77,3,5,42,113,0.253,0.305,0.403,0.709,85,0.306,82,209,18,1,0,9,3,*6/H,GG,Left,No,No,No,No,No,No,No
Buster Posey,30,C,4.0,140,568,494,62,158,34,0,12,67,6,1,61,66,0.32,0.4,0.462,0.861,127,0.375,129,228,17,8,0,5,13,23/DH,"AS,SS",Right,No,No,No,No,No,No,No
Hunter Pence,34,RF,0.1,134,539,493,55,128,13,5,13,67,2,3,40,102,0.26,0.315,0.385,0.701,84,0.308,83,190,8,2,0,4,1,*9H/D,0,Right,No,No,No,No,No,No,No
Joe Panik*,26,2B,1.5,138,573,511,60,147,28,5,10,53,4,1,46,54,0.288,0.347,0.421,0.768,102,0.337,102,215,10,5,3,8,4,*4/H,0,Left,No,No,No,No,No,No,No
Brandon Belt*,29,1B,2.8,104,451,382,63,92,27,3,18,51,3,2,66,104,0.241,0.355,0.469,0.823,115,0.358,118,179,5,2,0,1,2,37/H9,0,Left,No,No,No,No,No,No,No
Denard Span*,33,CF,-1.3,129,542,497,73,135,31,5,12,43,12,7,40,69,0.272,0.329,0.427,0.756,98,0.33,98,212,11,3,1,1,0,*8H,0,Left,No,No,No,No,No,No,No
Nick Hundley,33,C,0.4,101,303,287,27,70,23,0,9,35,0,0,12,81,0.244,0.272,0.418,0.691,79,0.308,82,120,6,0,2,2,2,2H/D,0,Right,No,No,No,No,No,No,No
Eduardo Núñez,30,3B,0.5,76,318,302,37,93,21,0,4,31,18,5,12,29,0.308,0.334,0.417,0.752,97,0.335,97,126,8,1,1,2,0,576/9H,0,Right,No,No,No,No,No,No,No
Jarrett Parker*,28,LF,0.5,51,177,166,14,41,12,2,4,23,2,1,10,54,0.247,0.294,0.416,0.709,85,0.298,75,69,2,1,0,0,2,7/H9D,0,Left,No,No,No,No,No,No,No
Gorkys Hernández,29,OF,-0.7,128,348,310,40,79,20,1,0,22,12,4,31,73,0.255,0.327,0.326,0.652,74,0.298,72,101,6,3,2,2,3,*78H9,0,Right,No,No,No,No,No,No,No
Pablo Sandoval#,30,3B,-0.5,47,171,160,17,36,9,0,5,20,0,0,8,29,0.225,0.263,0.375,0.638,66,0.28,61,60,7,1,0,2,0,5/3H,0,Both,No,No,No,No,No,No,No
Austin Slater,24,LF,0.1,34,127,117,15,33,3,1,3,16,0,0,8,29,0.282,0.339,0.402,0.74,95,0.329,97,47,3,2,0,0,0,7/9H58,0,Right,No,No,No,No,No,No,No
Christian Arroyo,22,3B,-0.4,34,135,125,9,24,5,0,3,14,1,2,8,32,0.192,0.244,0.304,0.548,44,0.239,36,38,4,1,0,1,1,56/4H,0,Right,No,No,No,No,No,No,No
Kelby Tomlinson,27,IF,0.3,104,222,194,32,50,4,2,1,11,9,1,23,46,0.258,0.332,0.314,0.646,73,0.295,67,61,8,0,2,3,2,H546/7,0,Right,No,No,No,No,No,No,No
Conor Gillaspie*,29,3B,-0.7,44,87,80,8,13,4,0,2,8,0,0,5,10,0.163,0.218,0.288,0.506,32,0.242,34,23,3,1,0,1,0,H5/3,0,Left,No,No,No,No,No,No,No
Aaron Hill,35,UT,-0.7,34,80,68,7,9,2,1,1,7,0,0,11,13,0.132,0.25,0.235,0.485,30,0.237,30,16,2,0,0,1,0,H/457,0,Right,No,No,No,No,No,No,No
