Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Mookie Betts,24,RF,6.5,153,712,628,101,166,46,2,24,102,26,3,77,79,0.264,0.344,0.459,0.803,108,0.352,106,288,9,2,0,5,9,*9,"AS,MVP-6,GG",Right,No,Yes,No,No,No,No,No,No,No
Andrew Benintendi*,22,LF,3.0,151,658,573,84,155,26,1,20,90,20,5,70,112,0.271,0.352,0.424,0.776,103,0.338,98,243,16,6,1,8,7,*78/H,ROY-2,Left,No,Yes,No,No,No,No,No,No,No
Mitch Moreland*,31,1B,1.8,149,576,508,73,125,34,0,22,79,0,1,57,120,0.246,0.326,0.443,0.769,99,0.332,97,225,14,6,0,5,6,*3H/D1,0,Left,No,No,No,No,No,No,No,No,No
Jackie Bradley Jr.*,27,CF,3.4,133,541,482,58,118,19,3,17,63,8,3,48,124,0.245,0.323,0.402,0.726,89,0.325,91,194,8,9,0,2,4,*8/H,0,Left,No,No,No,No,No,No,No,No,No
Dustin Pedroia,33,2B,2.6,105,463,406,46,119,19,0,7,62,4,3,49,48,0.293,0.369,0.392,0.76,101,0.342,105,159,11,2,2,4,4,4/DH,0,Right,No,No,No,No,No,No,No,No,No
Hanley Ramírez,33,DH,-0.4,133,553,496,58,120,24,0,23,62,1,3,51,116,0.242,0.32,0.429,0.75,95,0.322,91,213,15,6,0,0,8,D3/H,0,Right,No,No,No,No,No,No,No,No,No
Xander Bogaerts,24,SS,2.1,148,635,571,94,156,32,6,10,62,15,1,56,116,0.273,0.343,0.403,0.746,95,0.338,97,230,17,6,0,2,6,*6/H,0,Right,No,No,No,No,No,No,No,No,No
Sandy León#,28,C,0.6,85,301,271,32,61,14,0,7,39,0,0,25,74,0.225,0.29,0.354,0.644,68,0.282,60,96,5,1,1,3,1,2/H,0,Both,No,No,No,No,No,No,No,No,No
Christian Vázquez,26,C,0.8,99,345,324,43,94,18,2,5,32,7,2,17,64,0.29,0.33,0.404,0.735,92,0.329,93,131,14,3,0,1,0,2/5DH,0,Right,No,No,No,No,No,No,No,No,No
Rafael Devers*,20,3B,0.7,58,240,222,34,63,14,0,10,30,3,1,18,57,0.284,0.338,0.482,0.819,112,0.355,112,107,5,0,0,0,3,5/HD,0,Left,No,No,No,No,No,No,No,No,No
Deven Marrero,26,3B,0.4,71,188,171,32,36,9,0,4,27,5,0,12,61,0.211,0.259,0.333,0.593,54,0.282,55,57,8,0,3,2,0,54H/63,0,Right,No,No,No,No,No,No,No,No,No
Eduardo Núñez,30,2B,0.7,38,173,165,23,53,12,0,8,27,6,2,6,25,0.321,0.353,0.539,0.892,129,0.391,137,89,3,2,0,0,0,4/65D,0,Right,No,No,No,No,No,No,No,No,No
Chris Young,33,LF,-0.2,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,0.315,85,94,4,2,0,1,0,7DH/9,0,Right,No,No,No,No,No,No,No,No,No
Pablo Sandoval#,30,3B,-0.9,32,108,99,10,21,2,0,4,12,0,1,8,24,0.212,0.269,0.354,0.622,62,0.273,57,35,4,0,0,1,0,5/HD4,0,Both,No,No,No,No,No,No,No,No,No
Josh Rutledge,28,IF,-0.2,37,118,107,10,24,2,1,0,9,1,0,9,31,0.224,0.297,0.262,0.558,49,0.262,45,28,1,2,0,0,0,54/3H,0,Right,No,No,No,No,No,No,No,No,No
Brock Holt*,29,2B,-0.2,64,164,140,20,28,6,0,0,7,2,1,19,34,0.2,0.305,0.243,0.548,47,0.27,52,34,3,3,0,2,0,4H7/5D39,0,Left,No,No,No,No,No,No,No,No,No
Tzu-Wei Lin*,23,IF,0.3,25,66,56,7,15,0,2,0,2,1,1,9,17,0.268,0.369,0.339,0.709,89,0.331,98,19,0,0,1,0,0,4/56HD,0,Left,No,No,No,No,No,No,No,No,No
Marco Hernández*,24,IF,0.3,21,60,58,7,16,3,0,0,2,0,1,1,15,0.276,0.3,0.328,0.628,65,0.265,55,19,0,1,0,0,0,/546H,0,Left,No,No,No,No,No,No,No,No,No
Rajai Davis,36,OF,-0.1,17,38,36,7,9,2,0,0,2,3,1,1,13,0.25,0.289,0.306,0.595,57,0.29,63,11,2,1,0,0,0,/789HD,0,Right,No,No,No,No,No,No,No,No,No
