Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Keibert Ruiz#,22,C,0.0,6,7,7,1,1,0,0,1,1,0,0,0,5,0.143,0.143,0.571,0.714,77,0.287,67,4,0,0,0,0,0,/H2,0,Both,No,No,No,No,No,No,No,No,No
Andy Burns,30,IF,0.0,9,15,11,2,3,1,0,0,0,0,0,3,1,0.273,0.467,0.364,0.83,127,0.384,136,4,1,1,0,0,0,/H4351,0,Right,No,No,No,No,No,No,No,No,No
Zach Reks*,27,OF,-0.1,6,10,10,2,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0.09,-73,0,0,0,0,0,0,/H79,0,Left,No,No,No,No,No,No,No,No,No
Tony Gonsolin,27,P,0.1,17,19,17,2,3,1,0,0,0,0,0,1,8,0.176,0.222,0.235,0.458,23,0.197,-2,4,0,0,1,0,0,1/H,0,Right,No,No,No,No,No,No,No,No,No
Mitch White,26,P,-0.1,20,16,15,1,0,0,0,0,0,0,0,1,11,0.0,0.063,0.0,0.063,-81,0.043,-105,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Edwin Uceta,23,P,0.0,14,5,5,1,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,8,0.16,-22,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Alex Vesia*,25,P,0.0,41,4,3,0,0,0,0,0,0,0,0,1,3,0.0,0.25,0.0,0.25,-24,0.174,-13,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Andre Jackson,25,P,-0.1,3,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Dustin May,23,P,-0.1,3,4,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-217,0,0,0,1,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Jimmy Nelson,32,P,0.0,26,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-137,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Phil Bickford,25,P,0.1,55,3,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,79,0.3,77,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Evan Phillips,26,P,0.0,7,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-137,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Joe Kelly,33,P,0.0,46,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-137,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Garrett Cleavinger,27,P,0.1,21,3,2,0,1,1,0,0,0,0,0,0,1,0.5,0.5,1.0,1.5,286,0.622,413,2,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Josiah Gray,23,P,0.0,2,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-137,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Dennis Santana,25,P,0.0,14,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Brusdar Graterol,22,P,0.0,34,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Corey Knebel,29,P,0.0,26,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Yefry Ramírez,27,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-133,0,1,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
James Sherfy,29,P,0.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Justin Bruihl*,24,P,0.0,21,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0.696,350,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Kenley Jansen#,33,P,0.0,66,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,1,0,Both,No,No,No,No,No,No,No,No,No
Nate Jones,35,P,0.0,7,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Blake Treinen,33,P,0.0,70,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Scott Alexander*,31,P,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Andrew Vasquez*,27,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
Darién Núñez*,28,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
Mike Kickham*,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
Shane Greene,32,P,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Neftalí Feliz,33,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Victor González*,25,P,0.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Kevin Quackenbush,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Conner Greene,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Jake Reed,28,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
