Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Yusmeiro Petit,31,P,0.0,33,7,6,0,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,-11,0.15,-58,1,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Lucas Giolito,21,P,0.1,6,6,4,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,33,0.225,-22,1,0,0,2,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Matt Belisle,36,P,-0.1,38,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-143,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Óliver Pérez*,34,P,0.2,59,3,3,1,2,1,0,0,0,0,0,0,0,0.667,0.667,1.0,1.667,332,1.016,597,3,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Sammy Solís,27,P,0.0,35,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-147,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Felipe Vázquez*,24,P,0.0,43,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-155,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Shawn Kelley,32,P,0.0,64,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-155,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Blake Treinen,28,P,0.0,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Mark Melancon,31,P,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS,Right,No,No,No,No,No,No,No,No,No
Marc Rzepczynski*,30,P,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Jonathan Papelbon,35,P,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Rafael Martín,32,P,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Matt Grace*,27,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
Trevor Gott,23,P,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Koda Glover,23,P,0.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Sean Burnett*,33,P,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
