Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Rio Ruiz*,26,3B,0.8,54,204,185,25,41,11,0,9,32,1,2,17,46,0.222,0.286,0.427,0.713,90,0.308,88,79,4,0,1,1,1,*5/H47,0,Left,No
Anthony Santander#,25,RF,1.6,37,165,153,24,40,13,1,11,32,0,1,10,25,0.261,0.315,0.575,0.89,135,0.368,130,88,2,2,0,0,3,9/7D,0,Both,No
Renato Núñez,26,1B,0.6,52,216,195,29,50,10,0,12,31,0,0,17,64,0.256,0.324,0.492,0.816,118,0.352,116,96,4,3,0,1,0,3D/5H,0,Right,No
Jose Iglesias,30,DH,1.3,39,150,142,16,53,17,0,3,24,0,0,3,17,0.373,0.4,0.556,0.956,157,0.407,155,79,1,4,0,1,0,6D/H,0,Right,No
Ryan Mountcastle,23,LF,0.8,35,140,126,12,42,5,0,5,23,0,1,11,30,0.333,0.386,0.492,0.878,137,0.39,146,62,2,1,0,2,0,73/DH,ROY-8,Right,No
Hanser Alberto,27,2B,0.6,54,231,219,35,62,15,0,3,22,3,0,5,30,0.283,0.306,0.393,0.698,88,0.315,89,86,6,3,2,2,0,*4/5DH,0,Right,No
Pedro Severino,26,C,0.9,48,178,160,17,40,5,1,5,21,1,0,16,40,0.25,0.322,0.388,0.71,92,0.328,99,62,3,1,1,0,0,2D/H,0,Right,No
Pat Valaika,27,IF,0.4,52,150,141,24,39,4,0,8,16,0,2,8,34,0.277,0.315,0.475,0.791,111,0.341,114,67,3,0,1,0,0,634/H579,0,Right,No
DJ Stewart*,26,RF,0.6,31,112,88,13,17,2,0,7,15,0,0,20,38,0.193,0.355,0.455,0.809,118,0.36,123,40,0,2,2,0,0,97/H,0,Left,No
Cedric Mullins*,25,CF,0.5,48,153,140,16,38,4,3,3,12,7,2,8,37,0.271,0.315,0.407,0.723,95,0.312,85,57,0,1,4,0,0,*8/79HD,0,Left,No
Chance Sisco*,25,C,0.2,36,121,98,11,21,4,0,4,10,0,0,17,41,0.214,0.364,0.378,0.741,103,0.337,106,37,1,6,0,0,0,2/DH,0,Left,No
Austin Hays,24,CF,0.8,33,134,122,20,34,2,0,4,9,2,3,8,25,0.279,0.328,0.393,0.722,96,0.332,108,48,1,2,0,2,0,87/9H,0,Right,No
Dwight Smith Jr.*,27,LF,-0.5,21,72,63,9,14,3,0,2,6,1,0,7,19,0.222,0.306,0.365,0.671,82,0.29,71,23,1,1,0,1,1,7/DH,0,Left,No
Bryan Holaday,32,UT,-0.3,20,33,31,5,5,1,0,0,4,0,0,2,9,0.161,0.212,0.194,0.406,12,0.21,17,6,1,0,0,0,0,2/H3D1,0,Right,No
Andrew Velazquez#,25,SS,0.2,40,77,63,11,10,1,1,0,3,4,2,10,23,0.159,0.274,0.206,0.48,34,0.237,34,13,2,0,4,0,0,6H/784,0,Both,No
Ramón Urías,26,MI,0.1,10,27,25,3,9,2,0,1,3,0,0,2,6,0.36,0.407,0.56,0.967,160,0.416,161,14,1,0,0,0,0,/64H,0,Right,No
Chris Davis*,34,1B,-1.0,16,55,52,3,6,3,0,0,1,0,0,3,17,0.115,0.164,0.173,0.337,-8,0.153,-23,9,0,0,0,0,0,3/H,0,Left,No
Mason Williams*,28,OF,-0.3,10,18,18,0,2,0,1,0,0,0,1,0,9,0.111,0.111,0.222,0.333,-13,0.108,-34,4,0,0,0,0,0,/78H9,0,Left,No
Dilson Herrera,26,UT,0.0,3,6,5,0,0,0,0,0,0,0,0,0,4,0.0,0.167,0.0,0.167,-48,0.121,-44,0,0,1,0,0,0,/38H,0,Right,No
Travis Lakins Sr.,26,P,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
César Valdez,35,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
