Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Aaron Judge,30,CF,10.5,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210,0.463,208,391,14,6,0,5,19,*89D/H,"AS,MVP-1,SS",Right,No,No,No,No,No,No,No,No,No
Giancarlo Stanton,32,DH,0.7,110,452,398,53,84,7,0,31,78,0,0,50,137,0.211,0.297,0.462,0.759,112,0.331,111,184,8,0,0,3,2,D9/H7,AS,Right,No,No,No,No,No,No,No,No,No
Gleyber Torres,25,2B,4.0,140,572,526,73,135,28,1,24,76,10,5,39,129,0.257,0.31,0.451,0.761,113,0.334,114,237,12,3,1,3,2,*4/DH6,0,Right,No,No,No,No,No,No,No,No,No
Anthony Rizzo*,32,1B,2.3,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,130,0.35,127,223,13,23,0,2,6,*3/DH,0,Left,No,No,No,No,No,No,No,No,No
Josh Donaldson,36,3B,2.2,132,546,478,59,106,28,0,15,62,2,2,54,148,0.222,0.308,0.374,0.682,93,0.311,98,179,13,8,0,6,1,5D/H,0,Right,No,No,No,No,No,No,No,No,No
Isiah Kiner-Falefa,27,SS,2.9,142,531,483,66,126,20,0,4,48,22,4,35,72,0.261,0.314,0.327,0.642,84,0.299,83,158,13,5,3,5,2,*6/5H,0,Right,No,No,No,No,No,No,No,No,No
DJ LeMahieu,33,IF,3.6,125,541,467,74,122,18,0,12,46,4,3,67,71,0.261,0.357,0.377,0.734,110,0.339,118,176,12,4,1,2,0,543/HD,GG,Right,No,No,No,No,No,No,No,No,No
Jose Trevino,29,C,2.3,115,353,335,39,83,12,1,11,43,2,1,15,62,0.248,0.283,0.388,0.671,89,0.296,86,130,5,2,0,1,0,*2/HD,"AS,GG",Right,No,No,No,No,No,No,No,No,No
Aaron Hicks#,32,LF,1.5,130,453,384,54,83,9,2,8,40,10,3,62,109,0.216,0.33,0.313,0.642,85,0.304,90,120,10,4,1,2,3,*87H/D,0,Both,No,No,No,No,No,No,No,No,No
Matt Carpenter*,36,DH,2.3,47,154,128,28,39,9,0,15,37,0,0,19,35,0.305,0.412,0.727,1.138,216,0.476,218,93,2,5,1,1,1,D9H/375,0,Left,No,No,No,No,No,No,No,No,No
Kyle Higashioka,32,C,0.6,83,248,229,27,52,7,0,10,31,0,1,12,52,0.227,0.264,0.389,0.653,83,0.284,79,89,5,1,2,4,0,2/HD,0,Right,No,No,No,No,No,No,No,No,No
