Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Nick Castellanos,31,RF,1.5,157,671,626,79,170,37,2,29,106,11,2,36,185,0.272,0.311,0.476,0.788,112,0.342,112,298,17,3,0,6,0,*9/DH,"AS,MVP-23",Right,No
Kyle Schwarber*,30,LF,0.6,160,720,585,108,115,19,1,47,104,0,2,126,215,0.197,0.343,0.474,0.817,121,0.349,120,277,4,6,0,3,5,7D,MVP-19,Left,Yes
Alec Bohm,26,3B,0.4,145,611,558,74,153,31,0,20,97,4,1,42,94,0.274,0.327,0.437,0.765,107,0.333,107,244,23,5,0,6,1,53/DH,0,Right,No
Trea Turner,30,SS,3.4,155,691,639,102,170,35,5,26,76,30,0,45,150,0.266,0.32,0.459,0.778,110,0.349,112,293,12,6,0,1,2,*6/D,0,Right,No
Bryce Harper*,30,DH,3.7,126,546,457,84,134,29,1,21,72,11,3,80,119,0.293,0.401,0.499,0.9,145,0.387,145,228,10,5,0,4,8,D3/H,"MVP-12,SS",Left,No
J.T. Realmuto,32,C,3.6,135,540,489,70,123,28,5,20,63,16,5,35,138,0.252,0.31,0.452,0.762,105,0.339,110,221,10,9,0,5,3,*2/H,0,Right,No
Bryson Stott*,25,2B,4.3,151,640,585,78,164,32,2,15,62,31,3,39,100,0.28,0.329,0.419,0.747,103,0.339,106,245,10,7,1,8,1,*4/HD,0,Left,No
Brandon Marsh*,25,CF,3.4,133,472,404,58,112,25,6,12,60,10,2,59,144,0.277,0.372,0.458,0.829,126,0.367,130,185,4,4,1,4,2,*87H/9D,0,Left,No
Edmundo Sosa,27,3B,0.7,104,300,279,34,70,15,2,10,30,4,2,8,74,0.251,0.293,0.427,0.719,94,0.31,91,119,10,9,2,1,0,56H/48,0,Right,No
Johan Rojas,22,CF,2.5,59,164,149,24,45,9,2,2,23,14,1,5,42,0.302,0.342,0.43,0.771,110,0.347,106,64,1,4,6,0,0,8H/D,0,Right,No
Jake Cave*,30,LF,-0.2,65,203,184,18,39,8,1,5,21,3,0,15,55,0.212,0.272,0.348,0.62,68,0.274,63,64,3,1,1,2,0,739/H8D,0,Left,No
Kody Clemens*,27,1B,0.0,47,148,139,15,32,7,0,4,13,0,0,8,40,0.23,0.277,0.367,0.644,75,0.279,69,51,1,1,0,0,0,3/H1D69,0,Left,No
Garrett Stubbs*,30,C,0.2,41,125,113,15,23,4,1,1,12,2,0,9,29,0.204,0.274,0.283,0.557,53,0.259,52,32,0,2,1,0,0,2/H7,0,Left,No
Cristian Pache,24,OF,0.7,48,95,84,12,20,7,1,2,11,2,3,10,27,0.238,0.319,0.417,0.736,100,0.318,105,35,1,0,1,0,0,78H/9D,0,Right,No
Josh Harrison,35,UT,-0.6,40,114,103,8,21,3,0,2,10,0,0,3,20,0.204,0.263,0.291,0.554,52,0.256,53,30,2,6,0,2,0,5H4/719D,0,Right,No
Drew Ellis,27,CI,0.2,12,29,23,4,5,0,0,2,4,0,1,6,7,0.217,0.379,0.478,0.858,133,0.381,154,11,0,0,0,0,0,/35H,0,Right,No
Darick Hall*,27,1B,-0.6,18,56,54,2,9,1,0,1,3,0,0,2,18,0.167,0.196,0.241,0.437,19,0.195,9,13,2,0,0,0,0,3/H,0,Left,No
Rodolfo Castro#,24,IF,-0.4,14,32,30,2,3,0,0,0,2,0,0,2,12,0.1,0.156,0.1,0.256,-27,0.119,-45,3,0,0,0,0,0,/54HD,0,Both,No
Weston Wilson,28,UT,0.2,8,22,16,5,5,0,0,1,2,3,1,6,5,0.313,0.5,0.5,1.0,176,0.445,182,8,0,0,0,0,0,/7H3459,0,Right,No
Dalton Guthrie,27,OF,0.3,23,28,24,4,4,1,0,0,0,0,0,3,7,0.167,0.286,0.208,0.494,39,0.241,42,5,0,1,0,0,0,7/8H95,0,Right,No
