Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Nelson Cruz,36,DH,4.3,155,645,556,91,160,28,0,39,119,1,1,70,140,0.288,0.375,0.549,0.924,149,0.388,148,305,15,12,0,7,7,*D/9H,"AS,MVP-10,SS",Right,No,No,No,No,No,No,No,
Robinson Canó*,34,2B,2.9,150,648,592,79,166,33,0,23,97,1,0,49,85,0.28,0.338,0.453,0.791,114,0.341,113,268,18,4,0,3,8,*4/H,AS,Left,No,No,No,No,No,No,No,
Kyle Seager*,29,3B,3.6,154,650,578,72,144,33,1,27,88,2,1,58,110,0.249,0.323,0.45,0.773,109,0.326,103,260,6,8,0,6,6,*5/H,0,Left,No,No,No,No,No,No,No,
Danny Valencia,32,1B,1.0,130,500,450,54,115,19,3,15,66,2,2,40,122,0.256,0.314,0.411,0.725,97,0.324,101,185,16,2,0,8,0,*3H9/5,0,Right,No,No,No,No,No,No,No,
Mike Zunino,26,C,3.4,124,435,387,52,97,25,0,25,64,1,0,39,160,0.251,0.331,0.509,0.84,125,0.357,124,197,8,8,0,1,0,*2/HD,0,Right,No,No,No,No,No,No,No,
Ben Gamel*,25,LF,1.0,134,550,509,68,140,27,5,11,59,4,1,36,122,0.275,0.322,0.413,0.735,100,0.327,103,210,8,1,1,3,1,*79/H3,0,Left,No,No,No,No,No,No,No,
Mitch Haniger,26,RF,3.1,96,410,369,58,104,25,2,16,47,5,4,31,93,0.282,0.352,0.491,0.843,127,0.363,131,181,9,9,1,0,0,9/87H,0,Right,No,No,No,No,No,No,No,
Jean Segura,27,SS,3.7,125,566,524,80,157,30,2,11,45,22,8,34,83,0.3,0.349,0.427,0.776,111,0.342,113,224,14,6,0,1,3,*6/H,0,Right,No,No,No,No,No,No,No,
Jarrod Dyson*,32,CF,2.7,111,390,346,56,87,13,3,5,30,28,7,28,55,0.251,0.324,0.35,0.674,85,0.306,82,121,3,10,4,2,2,87/HD,0,Left,No,No,No,No,No,No,No,
Taylor Motter,27,SS,-0.8,92,280,258,29,51,12,0,7,26,12,1,21,62,0.198,0.257,0.326,0.583,58,0.269,56,84,9,0,0,1,0,6437H/59D,0,Right,No,No,No,No,No,No,No,
Guillermo Heredia,26,OF,1.3,123,426,386,43,96,16,0,6,24,1,5,27,64,0.249,0.315,0.337,0.652,79,0.296,85,130,9,11,1,1,2,*87/H9D,0,Right,No,No,No,No,No,No,No,
Yonder Alonso*,30,1B,0.4,42,150,132,20,35,5,0,6,18,1,0,18,30,0.265,0.353,0.439,0.793,116,0.346,116,58,3,0,0,0,0,3/H,AS,Left,No,No,No,No,No,No,No,
Carlos Ruiz,38,C,0.5,53,145,125,14,27,8,0,3,11,1,0,14,38,0.216,0.313,0.352,0.665,82,0.303,84,44,4,4,1,1,0,2/H13D,0,Right,No,No,No,No,No,No,No,
Leonys Martín*,29,OF,-0.2,34,122,115,12,20,2,1,3,8,6,4,5,29,0.174,0.221,0.287,0.508,38,0.221,30,33,2,2,0,0,1,89/H,0,Left,No,No,No,No,No,No,No,
Boog Powell*,24,DH,-0.1,23,43,36,6,7,0,0,0,2,0,0,6,9,0.194,0.31,0.194,0.504,44,0.267,59,7,1,0,1,0,0,H/D79,0,Left,No,No,No,No,No,No,No,
