Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Adolis García,30,RF,4.2,148,632,555,108,136,29,0,39,107,9,1,65,175,0.245,0.328,0.508,0.836,127,0.36,123,282,12,6,0,6,0,*9/8DH,"AS,MVP-14,GG",Right,No
Marcus Semien,32,2B,7.4,162,753,670,122,185,40,4,29,100,14,3,72,110,0.276,0.348,0.478,0.826,126,0.364,127,320,5,5,0,5,1,*4,"AS,MVP-3,SS",Right,No
Corey Seager*,29,SS,6.9,119,536,477,88,156,42,0,33,96,2,1,49,88,0.327,0.39,0.623,1.013,174,0.419,169,297,9,4,0,6,9,*6/D,"AS,MVP-2,SS",Left,No
Jonah Heim#,28,C,2.9,131,501,457,61,118,28,0,18,95,2,0,40,96,0.258,0.317,0.438,0.755,106,0.329,103,200,10,1,0,3,2,*2/DH,"AS,GG",Both,No
Nathaniel Lowe*,27,1B,2.6,161,724,623,89,163,38,3,17,82,1,0,93,165,0.262,0.36,0.414,0.775,114,0.344,113,258,22,5,0,3,2,*3,GG,Left,No
Josh Jung,25,3B,2.4,122,515,478,75,127,25,1,23,70,1,3,30,151,0.266,0.315,0.467,0.781,113,0.334,108,223,7,5,0,2,0,*5/H,"AS,ROY-4",Right,No
Leody Taveras#,24,CF,2.6,143,554,511,67,136,31,3,14,67,14,4,35,117,0.266,0.312,0.421,0.733,101,0.321,96,215,3,1,3,4,0,*8/HD,0,Both,No
Mitch Garver,32,DH,2.1,87,344,296,45,80,11,0,19,50,0,0,44,82,0.27,0.37,0.5,0.87,138,0.381,140,148,6,3,0,0,1,D2/H3,0,Right,No
Robbie Grossman#,33,OF,-0.1,115,420,353,56,84,23,1,10,49,1,0,57,98,0.238,0.34,0.394,0.734,103,0.327,101,139,8,2,0,8,0,7D9H,0,Both,No
Ezequiel Durán,24,UT,0.9,122,439,406,55,112,22,2,14,46,8,4,23,120,0.276,0.324,0.443,0.768,110,0.332,106,180,7,7,1,2,1,675D/4H39,0,Right,No
Travis Jankowski*,32,LF,1.4,107,287,247,34,65,12,1,1,30,19,1,35,42,0.263,0.357,0.332,0.689,93,0.332,96,82,6,2,1,2,0,7H98/D,0,Left,No
Josh Smith*,25,UT,0.9,90,232,195,29,36,8,1,6,15,1,0,25,55,0.185,0.304,0.328,0.633,76,0.293,76,64,3,9,2,1,0,657H/D4,0,Left,No
Evan Carter*,20,LF,1.6,23,75,62,15,19,4,1,5,12,3,0,12,24,0.306,0.413,0.645,1.058,187,0.441,177,40,1,0,0,1,1,7/89H,0,Left,No
Brad Miller*,33,DH,0.0,27,67,56,8,12,4,0,1,6,0,0,10,11,0.214,0.328,0.339,0.668,86,0.313,92,19,1,0,0,1,0,D/H315,0,Left,No
Sam Huff,25,UT,0.3,21,45,43,5,11,2,0,3,6,0,0,2,17,0.256,0.289,0.512,0.801,115,0.335,108,22,1,0,0,0,0,2/D3H,0,Right,No
Bubba Thompson,25,LF,-0.4,37,60,53,10,9,4,1,0,4,4,2,4,16,0.17,0.237,0.283,0.52,44,0.226,29,15,0,1,1,1,0,7H/9D8,0,Right,No
J.P. Martínez*,27,OF,-0.2,17,44,40,7,9,1,0,1,4,0,0,2,16,0.225,0.25,0.325,0.575,58,0.242,41,13,0,0,0,2,0,/H79D8,0,Left,No
Sandy León#,34,C,-0.5,21,44,41,4,6,2,0,0,4,0,0,1,20,0.146,0.186,0.195,0.381,6,0.173,-11,8,2,1,1,0,0,2/1H,0,Both,No
Austin Hedges,30,C,-0.1,16,25,24,1,5,0,0,0,2,0,0,0,8,0.208,0.208,0.208,0.417,16,0.223,24,5,0,0,1,0,0,2/1DH,0,Right,No
Jonathan Ornelas,23,IF,0.0,8,8,7,2,1,0,0,0,0,0,0,0,4,0.143,0.25,0.143,0.393,14,0.202,13,1,0,1,0,0,0,/65H,0,Right,No
Josh Sborz,29,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Right,No
Cole Ragans*,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
John King*,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Will Smith,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Taylor Hearn*,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No
Jon Gray,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
