Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Brandon Crawford*,29,SS,5.5,155,623,553,67,152,28,11,12,84,7,0,57,115,0.275,0.342,0.43,0.772,108,0.332,101,238,13,4,0,9,10,*6/H,"MVP-12,GG",Left,No,No,No,No,No,No,No,
Brandon Belt*,28,1B,4.1,156,655,542,77,149,41,8,17,82,0,4,104,148,0.275,0.394,0.474,0.868,135,0.375,137,257,7,5,0,4,4,*3/H7,AS,Left,No,No,No,No,No,No,No,
Buster Posey,29,C,4.9,146,614,539,82,155,33,2,14,80,6,1,64,68,0.288,0.362,0.434,0.796,115,0.351,116,234,18,3,0,8,7,*23/HD,"AS,MVP-14,GG",Right,No,No,No,No,No,No,No,
Joe Panik*,25,2B,1.2,127,526,464,67,111,21,7,10,62,5,0,50,47,0.239,0.315,0.379,0.695,88,0.309,84,176,14,4,3,5,5,*4/H,GG,Left,No,No,No,No,No,No,No,
Hunter Pence,33,RF,2.2,106,442,395,58,114,23,1,13,57,1,1,43,95,0.289,0.357,0.451,0.808,118,0.369,130,178,10,1,0,3,1,9/H,0,Right,No,No,No,No,No,No,No,
Ángel Pagán#,34,LF,1.8,129,543,495,71,137,24,5,12,55,15,4,42,66,0.277,0.331,0.418,0.75,102,0.337,104,207,11,0,0,3,1,*7/8H,0,Both,No,No,No,No,No,No,No,
Denard Span*,32,CF,1.6,143,637,572,70,152,23,5,11,53,12,7,53,79,0.266,0.331,0.381,0.712,93,0.321,96,218,8,4,6,2,2,*8/H,0,Left,No,No,No,No,No,No,No,
Conor Gillaspie*,28,3B,1.1,101,205,191,24,50,8,4,6,25,1,2,12,28,0.262,0.307,0.44,0.747,100,0.322,98,84,3,1,0,1,3,H5/3,0,Left,No,No,No,No,No,No,No,
Matt Duffy,25,3B,1.2,70,286,257,32,65,11,2,4,21,8,4,20,40,0.253,0.313,0.358,0.671,82,0.31,87,92,9,4,2,3,0,5/H,0,Right,No,No,No,No,No,No,No,
Eduardo Núñez,29,3B,0.8,50,199,182,24,49,9,3,4,20,13,4,14,30,0.269,0.327,0.418,0.744,101,0.331,98,76,2,2,0,1,3,5/6H4,AS,Right,No,No,No,No,No,No,No,
