Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
C.J. Cron,32,1B,2.2,150,632,575,79,148,28,3,29,102,0,0,43,164,0.257,0.315,0.468,0.783,108,0.339,105,269,16,8,0,5,6,*3D/H,AS,Right,No,No,No,No,No,No,No,
Charlie Blackmon*,35,DH,-0.1,135,577,530,60,140,22,6,16,78,4,1,32,109,0.264,0.314,0.419,0.733,96,0.322,92,222,10,8,4,3,4,D9/H,0,Left,No,No,No,No,No,No,No,
Randal Grichuk,30,RF,0.3,140,538,506,60,131,21,3,19,73,4,0,24,127,0.259,0.299,0.425,0.724,93,0.318,89,215,12,6,0,2,0,*98/H1D,0,Right,No,No,No,No,No,No,No,
Ryan McMahon*,27,3B,3.1,153,597,529,67,130,23,3,20,67,7,3,60,158,0.246,0.327,0.414,0.741,98,0.328,97,219,7,5,0,3,0,*54/H3D,0,Left,No,No,No,No,No,No,No,
Brendan Rodgers,25,2B,4.3,137,581,527,72,140,30,3,13,63,0,0,46,101,0.266,0.325,0.408,0.733,97,0.325,95,215,25,3,0,5,0,*4/D,GG,Right,No,No,No,No,No,No,No,
Elias Díaz,31,C,0.4,105,381,351,29,80,18,2,9,51,0,1,25,82,0.228,0.281,0.368,0.648,73,0.295,74,129,8,2,0,3,0,2/H,0,Right,No,No,No,No,No,No,No,
Jose Iglesias,32,SS,1.2,118,467,439,48,128,30,0,3,47,2,3,17,56,0.292,0.328,0.38,0.708,91,0.315,89,167,11,8,0,3,0,*6/D,0,Right,No,No,No,No,No,No,No,
Yonathan Daza,28,CF,1.2,113,408,372,56,112,21,2,2,34,0,3,26,58,0.301,0.349,0.384,0.733,98,0.331,102,143,12,4,1,5,0,*87/H9,0,Right,No,No,No,No,No,No,No,
Connor Joe,29,UT,0.8,111,467,404,56,96,20,4,7,28,6,2,55,97,0.238,0.338,0.359,0.697,89,0.322,92,145,8,7,0,1,0,7D39H,0,Right,No,No,No,No,No,No,No,
Elehuris Montero,23,CI,0.1,53,185,176,21,41,15,1,6,20,0,0,8,60,0.233,0.27,0.432,0.702,85,0.307,82,76,4,1,0,0,0,53D/H,0,Right,No,No,No,No,No,No,No,
Alan Trejo,26,MI,0.2,35,125,118,15,32,6,0,4,17,1,2,5,31,0.271,0.312,0.424,0.736,96,0.324,99,50,3,2,0,0,0,64/5H,0,Right,No,No,No,No,No,No,No,
Brian Serven,27,C,0.0,62,205,187,19,38,4,1,6,16,0,0,13,44,0.203,0.261,0.332,0.593,59,0.273,57,62,7,2,2,1,0,2/H13D,0,Right,No,No,No,No,No,No,No,
Garrett Hampson,27,UT,-1.1,90,226,199,29,42,7,3,2,15,12,2,21,63,0.211,0.287,0.307,0.594,61,0.275,52,61,3,1,3,2,0,86H4/5D,0,Right,No,No,No,No,No,No,No,
Sam Hilliard*,28,LF,0.6,70,200,174,26,32,6,1,2,14,5,1,23,57,0.184,0.28,0.264,0.544,48,0.268,52,46,2,1,0,2,0,78/H9,0,Left,No,No,No,No,No,No,No,
Kris Bryant,30,LF,0.4,42,181,160,28,49,12,0,5,14,0,0,17,27,0.306,0.376,0.475,0.851,128,0.375,131,76,7,2,0,2,0,7D,0,Right,No,No,No,No,No,No,No,
Michael Toglia#,23,UT,-0.1,31,120,111,10,24,8,2,2,12,1,1,9,44,0.216,0.275,0.378,0.653,74,0.304,82,42,2,0,0,0,0,93/H,0,Both,No,No,No,No,No,No,No,
Sean Bouchard,26,LF,1.0,27,97,74,9,22,6,0,3,11,0,0,21,25,0.297,0.454,0.5,0.954,158,0.418,162,37,1,1,0,1,0,7/H,0,Right,No,No,No,No,No,No,No,
Wynton Bernard,31,OF,0.1,12,42,42,9,12,1,0,0,3,3,1,0,8,0.286,0.286,0.31,0.595,61,0.274,55,13,1,0,0,0,0,8/79DH,0,Right,No,No,No,No,No,No,No,
Dom Nuñez*,27,C,-0.4,14,41,33,3,4,1,0,0,2,0,0,6,10,0.121,0.244,0.152,0.395,10,0.198,4,5,0,0,0,2,0,2,0,Left,No,No,No,No,No,No,No,
Ezequiel Tovar,20,SS,-0.3,9,35,33,2,7,1,0,1,2,0,0,2,9,0.212,0.257,0.333,0.59,58,0.263,50,11,0,0,0,0,0,/6,0,Right,No,No,No,No,No,No,No,
Lucas Gilbreath*,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Carlos Estévez,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Alex Colomé,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Daniel Bard,37,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,MVP-16,Right,No,No,No,No,No,No,No,
