Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Maikel Franco,23,3B,0.6,152,630,581,67,148,23,1,25,88,1,1,40,106,0.255,0.306,0.427,0.733,94,0.324,94,248,13,5,0,4,7,*5/H,0,Right,No
Freddy Galvis#,26,SS,1.1,158,624,584,61,141,26,3,20,67,17,6,25,136,0.241,0.274,0.399,0.673,78,0.293,70,233,16,3,8,4,6,*6/H,0,Both,No
Ryan Howard*,36,1B,-1.2,112,362,331,35,65,10,0,25,59,0,1,27,114,0.196,0.257,0.453,0.71,85,0.303,79,150,7,1,0,3,2,3H/D,0,Left,No
Cameron Rupp,27,C,1.1,105,419,389,36,98,26,1,16,54,1,0,24,114,0.252,0.303,0.447,0.75,98,0.335,101,174,11,5,0,1,0,2/H,0,Right,No
Odúbel Herrera*,24,CF,4.6,159,656,583,87,167,21,6,15,49,25,7,63,134,0.286,0.361,0.42,0.781,109,0.352,111,245,6,6,2,2,7,*8/H,AS,Left,No
Tommy Joseph,24,1B,0.5,107,347,315,47,81,15,0,21,47,1,1,22,75,0.257,0.308,0.505,0.813,113,0.351,114,159,11,4,0,6,0,3H,0,Right,No
César Hernández#,26,2B,3.0,155,622,547,67,161,14,11,6,39,17,13,66,116,0.294,0.371,0.393,0.764,106,0.34,108,215,6,2,5,2,4,*4/H6,0,Both,No
Peter Bourjos,29,RF,0.4,123,383,355,40,89,20,7,5,23,6,4,17,91,0.251,0.292,0.389,0.681,81,0.306,81,138,6,4,6,1,2,*98/H,0,Right,No
Aaron Altherr,25,RF,-0.2,57,227,198,23,39,6,0,4,22,7,2,23,69,0.197,0.3,0.288,0.587,59,0.288,65,57,4,6,0,0,2,978/H,0,Right,No
Andrés Blanco#,32,IF,-0.5,90,209,190,26,48,15,1,4,21,2,3,11,41,0.253,0.316,0.405,0.721,92,0.33,102,77,7,7,0,1,0,H5436/7,0,Both,No
Cody Asche*,26,LF,-0.8,71,218,197,22,42,15,0,4,18,3,1,18,54,0.213,0.284,0.35,0.635,69,0.289,68,69,1,2,0,1,0,7H,0,Left,No
Jimmy Paredes#,27,OF,-0.3,76,150,143,13,31,7,0,4,17,0,1,5,44,0.217,0.242,0.35,0.591,56,0.269,56,50,0,0,1,1,0,H79/4,0,Both,No
Tyler Goeddel,23,LF,-1.2,92,234,213,17,41,3,3,4,16,3,0,17,52,0.192,0.258,0.291,0.549,47,0.256,42,62,4,2,1,1,0,7H9,0,Right,No
Carlos Ruiz,37,C,1.6,48,193,165,18,43,6,0,3,12,3,1,24,28,0.261,0.368,0.352,0.719,95,0.339,104,58,3,4,0,0,1,2/DH,0,Right,No
Darin Ruf,29,UT,-0.7,43,89,83,8,17,2,0,3,9,0,1,4,25,0.205,0.236,0.337,0.573,51,0.242,39,28,5,0,0,2,0,H37,0,Right,No
A.J. Ellis,35,C,0.2,11,35,32,3,10,3,0,1,9,1,0,3,7,0.313,0.371,0.5,0.871,131,0.386,133,16,0,0,0,0,0,2,0,Right,No
Roman Quinn#,23,OF,0.3,15,69,57,10,15,4,0,0,6,5,1,8,19,0.263,0.373,0.333,0.706,92,0.329,90,19,0,2,2,0,0,7/98,0,Both,No
Jerad Eickhoff,25,P,-0.1,30,62,61,4,8,3,0,0,5,0,0,1,12,0.131,0.145,0.18,0.325,-13,0.157,-27,11,3,0,0,0,0,1,0,Right,No
