Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Eugenio Suárez,27,3B,3.4,159,662,575,87,156,22,2,49,103,3,2,70,189,0.271,0.358,0.572,0.93,131,0.386,132,329,12,11,0,6,4,*5/HD,MVP-15,Right,No,No,No,No,No,No,No,No,No
Yasiel Puig,28,RF,0.4,100,404,373,51,94,15,1,22,61,14,5,23,89,0.252,0.302,0.475,0.777,93,0.332,91,177,9,5,0,3,1,9/H,0,Right,No,No,No,No,No,No,No,No,No
Jose Iglesias,29,SS,1.0,146,530,504,62,145,21,3,11,59,6,6,20,70,0.288,0.318,0.407,0.724,83,0.309,78,205,17,3,1,2,3,*6/H,0,Right,No,No,No,No,No,No,No,No,No
Aristides Aquino,25,RF,1.2,56,225,205,31,53,8,0,19,47,7,0,16,60,0.259,0.316,0.576,0.891,119,0.368,113,118,5,2,0,2,2,9/H3,0,Right,No,No,No,No,No,No,No,No,No
Joey Votto*,35,1B,1.4,142,608,525,79,137,32,1,15,47,5,0,76,123,0.261,0.357,0.411,0.768,95,0.349,103,216,14,4,0,3,2,*3/HD7,0,Left,No,No,No,No,No,No,No,No,No
Derek Dietrich*,29,2B,1.0,113,306,251,41,47,8,2,19,43,1,1,28,74,0.187,0.328,0.462,0.79,98,0.344,101,116,2,25,0,1,2,4H37/D5,0,Left,No,No,No,No,No,No,No,No,No
Nick Senzel,24,CF,0.1,104,414,375,55,96,20,4,12,42,14,5,30,101,0.256,0.315,0.427,0.742,87,0.327,87,160,6,3,0,1,0,8H/4,0,Right,No,No,No,No,No,No,No,No,No
Tucker Barnhart*,28,C,0.5,114,364,316,32,73,14,0,11,40,1,0,44,83,0.231,0.328,0.38,0.708,80,0.309,75,120,5,2,1,1,7,2H/3,0,Left,No,No,No,No,No,No,No,No,No
Jesse Winker*,25,LF,0.9,113,384,338,51,91,17,2,16,38,0,2,38,60,0.269,0.357,0.473,0.83,109,0.357,112,160,10,8,0,0,2,7H89/D,0,Left,No,No,No,No,No,No,No,No,No
José Peraza,25,2B,-1.2,141,403,376,37,90,18,2,6,33,7,6,17,58,0.239,0.285,0.346,0.631,60,0.274,53,130,9,8,0,2,0,467H/581,0,Right,No,No,No,No,No,No,No,No,No
Curt Casali,30,C,1.2,84,236,207,24,52,9,0,8,32,0,0,25,59,0.251,0.331,0.411,0.741,88,0.325,87,85,1,1,0,3,1,2H/3D,0,Right,No,No,No,No,No,No,No,No,No
Kyle Farmer,28,UT,0.1,97,197,183,22,42,6,0,9,27,4,1,10,59,0.23,0.279,0.41,0.689,72,0.301,68,75,1,3,0,1,1,4H325/16D,0,Right,No,No,No,No,No,No,No,No,No
Josh VanMeter*,24,LF,0.0,95,260,228,33,54,13,1,8,23,9,3,29,56,0.237,0.327,0.408,0.735,86,0.324,85,93,5,2,0,1,0,7H43/59D,0,Left,No,No,No,No,No,No,No,No,No
Phil Ervin,26,OF,0.9,94,260,236,30,64,11,7,7,23,4,3,18,63,0.271,0.331,0.466,0.797,100,0.337,97,110,4,4,0,2,0,7H89,0,Right,No,No,No,No,No,No,No,No,No
Freddy Galvis#,29,2B,0.2,32,116,107,12,25,4,0,5,16,0,1,7,33,0.234,0.284,0.411,0.696,74,0.297,70,44,3,1,0,1,0,4/6H,0,Both,No,No,No,No,No,No,No,No,No
Scott Schebler*,28,CF,-0.7,30,95,81,11,10,2,0,2,7,0,1,14,27,0.123,0.253,0.222,0.475,23,0.236,27,18,3,0,0,0,0,8/H79,0,Left,No,No,No,No,No,No,No,No,No
Ryan Lavarnway,31,C,0.2,5,19,18,4,5,2,0,2,7,0,0,1,5,0.278,0.316,0.722,1.038,151,0.417,153,13,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No,No,No
Michael Lorenzen,27,OF,0.4,100,53,48,6,10,2,0,1,6,5,2,5,17,0.208,0.283,0.313,0.596,52,0.284,55,15,1,0,0,0,0,1H8/79,0,Right,No,No,No,No,No,No,No,No,No
Scooter Gennett*,29,2B,-1.0,21,72,69,4,15,3,0,0,5,0,0,1,20,0.217,0.236,0.261,0.497,27,0.217,10,18,0,1,0,1,0,4/H,0,Left,No,No,No,No,No,No,No,No,No
Matt Kemp,34,LF,-1.0,20,62,60,4,12,2,0,1,5,0,0,1,19,0.2,0.21,0.283,0.493,24,0.208,3,17,2,0,0,1,0,7/H,0,Right,No,No,No,No,No,No,No,No,No
Alex Blandino,26,IF,0.2,23,50,36,6,9,1,0,1,3,0,0,10,14,0.25,0.42,0.361,0.781,103,0.355,109,13,1,2,0,2,0,H4/53D,0,Right,No,No,No,No,No,No,No,No,No
Brian O'Grady*,27,UT,0.1,28,48,42,4,8,2,1,2,3,0,0,4,17,0.19,0.292,0.429,0.72,80,0.326,88,18,0,2,0,0,0,H8/73D,0,Left,No,No,No,No,No,No,No,No,No
Sonny Gray,29,P,0.0,32,60,46,3,7,0,1,0,3,0,0,2,19,0.152,0.188,0.196,0.383,-2,0.168,-57,9,0,0,12,0,0,1/H,"AS,CYA-7",Right,No,No,No,No,No,No,No,No,No
Tanner Roark,32,P,0.0,19,34,33,2,5,1,0,1,2,0,0,0,13,0.152,0.152,0.273,0.424,4,0.174,-25,9,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Juan Graterol,30,C,-0.2,6,18,18,1,4,0,0,0,1,0,0,0,4,0.222,0.222,0.222,0.444,14,0.197,-5,4,0,0,0,0,0,/2H,0,Right,No,No,No,No,No,No,No,No,No
Anthony DeSclafani,29,P,-0.3,30,57,55,0,6,0,0,0,1,0,0,0,28,0.109,0.109,0.109,0.218,-44,0.095,-84,6,0,0,2,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Christian Colón,30,2B,0.2,8,8,6,1,3,0,0,0,1,0,0,0,0,0.5,0.625,0.5,1.125,194,0.502,215,3,0,2,0,0,0,/H4,0,Right,No,No,No,No,No,No,No,No,No
R.J. Alaniz,28,P,0.1,8,1,1,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,414,0.887,492,1,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Luis Castillo,26,P,-0.4,31,66,62,3,6,1,0,0,0,0,0,0,32,0.097,0.097,0.113,0.21,-47,0.09,-93,7,1,0,4,0,0,1,AS,Right,No,No,No,No,No,No,No,No,No
Trevor Bauer,28,P,0.1,9,16,14,1,2,0,0,0,0,0,0,2,9,0.143,0.25,0.143,0.393,5,0.198,-5,2,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Tyler Mahle,24,P,-0.2,24,41,34,4,3,1,0,0,0,0,0,1,19,0.088,0.114,0.118,0.232,-40,0.105,-100,4,0,0,6,0,0,1/H,0,Right,No,No,No,No,No,No,No,No,No
Alex Wood,28,P,0.1,7,12,9,0,2,0,0,0,0,0,0,0,5,0.222,0.222,0.222,0.444,14,0.197,-40,2,0,0,3,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Lucas Sims,25,P,0.0,23,8,8,0,1,0,0,0,0,0,0,0,5,0.125,0.125,0.125,0.25,-36,0.099,-75,1,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Jared Hughes,33,P,0.0,44,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-146,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Raisel Iglesias,29,P,0.0,64,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-146,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Sal Romano*,25,P,0.0,11,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-146,0,0,0,0,0,0,1/H,0,Left,No,No,No,No,No,No,No,No,No
Joel Kuhnel,24,P,0.0,11,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-150,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
