Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Riley Greene*,23,LF,5.4,137,584,512,82,134,27,6,24,74,4,2,64,156,0.262,0.348,0.479,0.827,133,0.358,133,245,2,5,0,2,3,7D8/9H,AS,Left,No,No,No,No,No,No,No,No,No
Colt Keith*,22,2B,1.1,148,556,516,54,134,15,4,13,61,7,1,36,110,0.26,0.309,0.38,0.689,96,0.308,95,196,4,2,0,2,2,*4DH,0,Left,No,No,No,No,No,No,No,No,No
Matt Vierling,27,UT,3.0,144,567,518,80,133,28,5,16,57,6,1,41,121,0.257,0.312,0.423,0.735,107,0.323,106,219,9,3,0,5,1,859H7/D3,0,Right,No,No,No,No,No,No,No,No,No
Kerry Carpenter*,26,DH,2.2,87,296,264,37,75,16,5,18,57,0,2,22,75,0.284,0.345,0.587,0.932,159,0.386,156,155,5,4,0,3,1,9DH/7,0,Left,No,No,No,No,No,No,No,No,No
Mark Canha,35,UT,0.6,93,377,320,42,74,17,0,7,38,4,0,42,79,0.231,0.337,0.35,0.687,97,0.32,103,112,9,11,0,4,2,3D79/H,0,Right,No,No,No,No,No,No,No,No,No
Wenceel Pérez#,24,RF,0.7,112,425,389,51,94,16,6,9,37,9,5,32,92,0.242,0.3,0.383,0.683,93,0.302,93,149,5,1,2,1,0,98H/7D,0,Both,No,No,No,No,No,No,No,No,No
Gio Urshela,32,3B,-0.3,92,325,300,25,73,10,1,5,37,0,0,19,49,0.243,0.286,0.333,0.619,76,0.284,79,100,12,1,0,5,1,53/HD,0,Right,No,No,No,No,No,No,No,No,No
Javier Báez,31,SS,-1.1,80,289,272,25,50,12,0,6,37,8,1,12,69,0.184,0.221,0.294,0.516,46,0.236,41,80,10,2,0,3,1,6/H,0,Right,No,No,No,No,No,No,No,No,No
Spencer Torkelson,24,1B,0.3,92,381,342,45,75,21,1,10,37,0,0,33,105,0.219,0.295,0.374,0.669,89,0.293,86,128,6,4,0,1,0,3/D,0,Right,No,No,No,No,No,No,No,No,No
Jake Rogers,29,C,1.0,102,337,310,43,61,16,1,10,36,1,0,22,99,0.197,0.255,0.352,0.607,71,0.27,69,109,6,3,0,2,1,2/DH,0,Right,No,No,No,No,No,No,No,No,No
Andy Ibáñez,31,2B,1.4,99,244,224,30,54,9,1,5,32,2,3,15,63,0.241,0.295,0.357,0.652,85,0.289,86,80,2,3,0,2,0,H453/7D6,0,Right,No,No,No,No,No,No,No,No,No
Carson Kelly,29,C,0.7,60,203,179,21,43,4,1,7,29,0,0,17,40,0.24,0.325,0.391,0.716,104,0.315,102,70,3,6,0,1,0,2/HD,0,Right,No,No,No,No,No,No,No,No,No
Parker Meadows*,24,CF,2.2,82,298,270,39,66,12,6,9,28,9,4,25,76,0.244,0.31,0.433,0.743,109,0.324,108,117,0,1,1,1,0,8/H,0,Left,No,No,No,No,No,No,No,No,No
Zach McKinstry*,29,IF,0.8,118,325,297,32,64,14,5,4,23,16,0,24,69,0.215,0.277,0.337,0.614,74,0.288,74,100,3,2,0,2,0,65H479/1D,0,Left,No,No,No,No,No,No,No,No,No
