Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Randy Arozarena,27,LF,2.7,153,645,586,72,154,41,3,20,89,32,12,46,156,0.263,0.327,0.445,0.773,123,0.344,125,261,17,11,0,2,2,*7D9/H,0,Right,No,Yes,No,No,No,No,No,
Harold Ramírez,27,DH,1.2,120,435,403,46,121,24,0,6,58,3,5,19,72,0.3,0.343,0.404,0.747,118,0.327,117,163,5,9,0,4,1,D39H/7,0,Right,No,No,No,No,No,No,No,
Yandy Díaz,30,3B,3.4,137,558,473,71,140,33,0,9,57,3,3,78,60,0.296,0.401,0.423,0.824,142,0.37,147,200,10,6,0,1,2,53DH,MVP-20,Right,No,No,No,No,No,No,No,
Jiman Choi*,31,1B,1.2,113,419,356,36,83,22,0,11,52,0,0,58,123,0.233,0.341,0.388,0.729,113,0.328,115,138,3,2,0,3,3,3DH,0,Left,No,No,No,No,No,No,No,
Manuel Margot,27,RF,1.6,89,363,336,36,92,18,2,4,47,7,3,24,68,0.274,0.325,0.375,0.7,104,0.312,103,126,7,2,0,1,1,98D/7H,0,Right,No,No,No,No,No,No,No,
Isaac Paredes,23,IF,2.5,111,381,331,48,68,16,0,20,45,0,1,44,67,0.205,0.304,0.435,0.74,113,0.329,117,144,12,4,0,2,0,543H/6,0,Right,No,No,No,No,No,No,No,
Taylor Walls#,25,SS,2.5,142,466,407,53,70,18,2,8,33,10,3,52,120,0.172,0.268,0.285,0.553,62,0.257,62,116,6,2,2,2,0,645/HD,0,Both,No,No,No,No,No,No,No,
Wander Franco#,21,SS,2.6,83,344,314,46,87,20,3,6,33,8,0,26,33,0.277,0.328,0.417,0.746,116,0.334,115,131,5,0,0,4,1,6D/H,0,Both,No,No,No,No,No,No,No,
Francisco Mejia#,26,C,0.7,93,299,289,32,70,22,0,6,31,0,0,7,65,0.242,0.264,0.381,0.645,86,0.282,82,110,6,2,0,1,0,2H/D3,0,Both,No,No,No,No,No,No,No,
Brandon Lowe*,27,2B,0.9,65,266,235,31,52,10,2,8,25,1,0,27,61,0.221,0.308,0.383,0.691,101,0.308,100,90,1,3,0,1,0,4D/H9,0,Left,No,No,No,No,No,No,No,
Kevin Kiermaier*,32,CF,1.1,63,221,206,28,47,8,0,7,22,6,1,14,61,0.228,0.281,0.369,0.649,88,0.299,91,76,2,1,0,0,0,8/DH,0,Left,No,No,No,No,No,No,No,
David Peralta*,34,LF,-0.3,47,180,161,10,41,11,1,0,18,0,1,14,40,0.255,0.317,0.335,0.652,91,0.284,85,54,2,2,0,3,1,7/DH,0,Left,No,No,No,No,No,No,No,
Vidal Bruján#,24,2B,-0.6,52,162,147,13,24,5,0,3,16,5,5,12,37,0.163,0.228,0.259,0.487,42,0.218,41,38,2,1,0,2,0,49/H6578D,0,Both,No,No,No,No,No,No,No,
Mike Zunino,31,C,-0.8,36,123,115,7,17,3,0,5,16,0,0,6,46,0.148,0.195,0.304,0.499,43,0.218,36,35,2,1,0,1,0,2/H,0,Right,No,No,No,No,No,No,No,
Christian Bethancourt,30,C,0.8,44,151,149,16,38,6,0,7,15,1,0,2,39,0.255,0.265,0.436,0.701,100,0.312,103,65,3,0,0,0,0,2/3H15D,0,Right,No,No,No,No,No,No,No,
Brett Phillips*,28,OF,0.3,75,208,184,21,27,4,0,5,14,7,0,16,85,0.147,0.225,0.25,0.475,39,0.236,41,46,0,3,4,1,0,89/H17D,0,Left,No,No,No,No,No,No,No,
Jose Siri,26,CF,0.6,56,178,166,35,40,9,0,4,14,8,1,11,60,0.241,0.292,0.367,0.66,92,0.296,86,61,1,1,0,0,0,8/HD,0,Right,No,No,No,No,No,No,No,
Josh Lowe*,24,RF,0.2,52,198,181,24,40,12,2,2,13,3,0,15,66,0.221,0.284,0.343,0.627,82,0.28,78,62,1,1,1,0,1,97/8DH,0,Left,No,No,No,No,No,No,No,
Yu Chang,26,2B,0.6,36,105,96,11,25,3,0,3,12,0,0,7,27,0.26,0.305,0.385,0.69,100,0.299,94,37,3,0,0,2,0,4/6513,0,Right,No,No,No,No,No,No,No,
René Pinto,25,C,-0.2,25,83,80,5,17,3,0,2,10,0,0,2,35,0.213,0.241,0.325,0.566,64,0.248,57,26,3,1,0,0,0,2,0,Right,No,No,No,No,No,No,No,
Jonathan Aranda*,24,UT,-0.2,32,87,78,10,15,4,0,2,6,0,0,8,23,0.192,0.276,0.321,0.596,74,0.263,68,25,1,1,0,0,1,43/H5D7,0,Left,No,No,No,No,No,No,No,
Luke Raley*,27,UT,0.3,22,72,61,7,12,2,0,1,4,0,0,7,24,0.197,0.306,0.279,0.584,73,0.281,81,17,1,3,0,1,0,/97D3H,0,Left,No,No,No,No,No,No,No,
Roman Quinn#,29,OF,0.0,21,47,42,7,11,2,2,0,4,0,2,4,21,0.262,0.34,0.405,0.745,117,0.302,112,17,0,1,0,0,0,/789H,0,Both,No,No,No,No,No,No,No,
Miles Mastrobuoni*,26,UT,-0.2,8,17,16,1,3,0,0,0,0,1,0,1,6,0.188,0.235,0.188,0.423,26,0.214,22,3,0,0,0,0,0,/49H,0,Left,No,No,No,No,No,No,No,
