Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Anthony Santander#,28,RF,3.0,153,656,591,81,152,41,1,28,95,5,1,55,152,0.257,0.325,0.472,0.797,121,0.341,119,279,11,6,0,4,1,9D3/H7,0,Both,No,No,No,No,No,No,No
Gunnar Henderson*,22,IF,6.2,150,622,560,100,143,29,9,28,82,10,3,56,159,0.255,0.325,0.489,0.814,125,0.349,125,274,10,3,0,3,1,56D/H,"MVP-8,ROY-1,SS",Left,No,No,No,No,No,No,No
Adley Rutschman#,25,C,4.3,154,687,588,84,163,31,1,20,80,1,2,92,101,0.277,0.374,0.435,0.809,128,0.35,127,256,14,2,0,5,6,*2D/H,"AS,MVP-9,SS",Both,No,No,No,No,No,No,No
Cedric Mullins*,28,CF,2.8,116,455,404,51,94,23,3,15,74,19,3,43,101,0.233,0.305,0.416,0.721,101,0.316,97,168,6,1,3,4,1,*8/HD,0,Left,No,No,No,No,No,No,No
Ryan Mountcastle,26,1B,2.1,115,470,423,64,114,21,1,18,68,3,1,37,107,0.27,0.328,0.452,0.779,117,0.335,116,191,13,3,0,7,1,3D/H,0,Right,No,No,No,No,No,No,No
Austin Hays,27,LF,2.5,144,566,520,76,143,36,2,16,67,5,1,38,141,0.275,0.325,0.444,0.769,114,0.33,111,231,11,3,0,5,1,*7/89HD,AS,Right,No,No,No,No,No,No,No
Adam Frazier*,31,2B,1.7,141,455,412,59,99,21,2,13,60,11,4,32,68,0.24,0.3,0.396,0.696,94,0.307,95,163,4,4,4,2,0,*4H/97D,0,Left,No,No,No,No,No,No,No
Ryan O'Hearn*,29,DH,1.2,112,368,346,48,100,22,1,14,60,5,1,15,82,0.289,0.322,0.48,0.801,122,0.343,120,166,2,3,1,3,2,39HD/7,0,Left,No,No,No,No,No,No,No
Ramón Urías,29,3B,1.8,116,396,360,45,95,22,3,4,42,3,1,27,101,0.264,0.328,0.375,0.703,98,0.313,100,135,10,8,0,1,0,543H/D,0,Right,No,No,No,No,No,No,No
Jorge Mateo,28,SS,0.8,116,350,318,58,69,14,2,7,34,32,5,22,82,0.217,0.267,0.34,0.607,70,0.282,67,108,8,1,5,3,0,*6H/8D,0,Right,No,No,No,No,No,No,No
Aaron Hicks#,33,OF,1.0,65,236,200,35,55,7,1,7,31,6,0,35,49,0.275,0.381,0.425,0.806,127,0.357,127,85,3,0,0,1,1,897/DH,0,Both,No,No,No,No,No,No,No
James McCann,33,C,0.5,69,226,207,25,46,14,0,6,26,3,1,9,57,0.222,0.269,0.377,0.646,79,0.287,80,78,5,5,3,2,0,2/DH31,0,Right,No,No,No,No,No,No,No
Jordan Westburg,24,IF,1.2,68,228,208,26,54,17,2,3,23,4,1,16,56,0.26,0.311,0.404,0.715,100,0.316,101,84,3,1,0,3,0,45H/D,0,Right,No,No,No,No,No,No,No
Ryan McKenna,26,OF,0.5,88,139,122,23,31,7,0,2,18,5,0,9,40,0.254,0.316,0.361,0.677,91,0.309,90,44,4,3,3,2,0,98H7/1D,0,Right,No,No,No,No,No,No,No
Terrin Vavra*,26,UT,-0.5,27,56,49,9,12,0,0,0,5,1,0,5,12,0.245,0.315,0.245,0.56,62,0.28,72,12,5,0,2,0,0,9/7HD54,0,Left,No,No,No,No,No,No,No
Colton Cowser*,23,OF,-0.8,26,77,61,15,7,2,0,0,4,1,0,13,22,0.115,0.286,0.148,0.433,28,0.24,46,9,1,2,0,1,0,98/7H,0,Left,No,No,No,No,No,No,No
Joey Ortiz,24,IF,0.0,15,34,33,4,7,1,0,0,4,0,0,0,9,0.212,0.206,0.242,0.448,26,0.194,15,8,2,0,0,1,0,/456H,0,Right,No,No,No,No,No,No,No
Josh Lester*,28,CI,-0.2,11,23,22,0,4,0,0,0,4,0,0,1,7,0.182,0.217,0.182,0.399,15,0.224,36,4,1,0,0,0,0,/3HD159,0,Left,No,No,No,No,No,No,No
Heston Kjerstad*,24,OF,0.0,13,33,30,3,7,1,0,2,3,0,0,2,10,0.233,0.281,0.467,0.748,106,0.315,101,14,0,0,0,0,0,/DH79,0,Left,No,No,No,No,No,No,No
Kyle Stowers*,25,OF,-0.3,14,33,30,1,2,0,0,0,0,0,0,3,12,0.067,0.152,0.067,0.218,-35,0.117,-40,2,1,0,0,0,0,/97HD,0,Left,No,No,No,No,No,No,No
Anthony Bemboom*,33,C,0.0,6,13,11,0,2,0,0,0,0,0,0,2,2,0.182,0.308,0.182,0.49,44,0.244,50,2,0,0,0,0,0,/2,0,Left,No,No,No,No,No,No,No
Mark Kolozsvary,27,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No
Cionel Pérez,27,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No
