Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
José Ramírez#,29,3B,6.0,157,685,601,90,168,44,5,29,126,20,7,69,82,0.28,0.355,0.514,0.869,148,0.365,140,309,5,6,0,9,20,*5D,"AS,MVP-4,SS",Both,No,Yes,No,No,No,No,No,No,No
Josh Naylor*,25,1B,1.8,122,498,449,47,115,28,0,20,79,6,1,38,80,0.256,0.319,0.452,0.771,121,0.34,120,203,13,6,0,5,4,3D/H9,0,Left,No,No,No,No,No,No,No,No,No
Amed Rosario,26,SS,4.2,153,670,637,86,180,26,9,11,71,18,4,25,111,0.283,0.312,0.403,0.715,106,0.319,104,257,19,4,0,4,0,*6/7DH,0,Right,No,No,No,No,No,No,No,No,No
Andrés Giménez*,23,2B,7.4,146,557,491,66,146,26,3,17,69,20,3,34,112,0.297,0.371,0.466,0.837,141,0.373,142,229,9,25,4,3,4,*46/H,"AS,MVP-6,GG",Left,No,No,No,No,No,No,No,No,No
Steven Kwan*,24,LF,5.6,147,638,563,89,168,25,7,6,52,19,5,62,60,0.298,0.373,0.4,0.772,124,0.349,126,225,9,7,2,4,2,*79/8HD,"ROY-3,GG",Left,No,No,No,No,No,No,No,No,No
Owen Miller,25,IF,0.3,130,472,424,53,103,26,1,6,51,2,0,32,93,0.243,0.301,0.351,0.652,89,0.292,86,149,8,7,0,9,1,34DH/5,0,Right,No,No,No,No,No,No,No,No,No
Oscar González,24,RF,2.1,91,382,362,39,107,27,0,11,43,1,2,15,75,0.296,0.327,0.461,0.789,125,0.347,128,167,6,3,0,2,2,9/DH,0,Right,No,No,No,No,No,No,No,No,No
Myles Straw,27,CF,2.7,152,596,535,72,118,22,3,0,32,21,1,54,87,0.221,0.291,0.273,0.564,65,0.269,65,146,4,1,2,4,0,*8/H,GG,Right,No,No,No,No,No,No,No,No,No
Austin Hedges,29,C,-0.4,105,338,294,26,48,4,0,7,30,2,0,25,78,0.163,0.241,0.248,0.489,42,0.231,40,73,12,6,10,3,0,2,0,Right,No,No,No,No,No,No,No,No,No
Franmil Reyes,26,DH,-0.9,70,280,263,24,56,9,0,9,28,2,0,14,104,0.213,0.254,0.35,0.603,73,0.27,70,92,8,1,0,2,0,D9/H7,0,Right,No,No,No,No,No,No,No,No,No
Luke Maile,31,C,0.7,76,206,181,19,40,10,0,3,17,0,0,19,54,0.221,0.301,0.326,0.627,82,0.291,86,59,6,3,0,3,0,2,0,Right,No,No,No,No,No,No,No,No,No
Óscar Mercado,27,RF,-0.1,54,127,120,17,25,6,1,4,16,2,2,5,28,0.208,0.244,0.375,0.619,76,0.279,80,45,8,1,0,1,0,97H/8D,0,Right,No,No,No,No,No,No,No,No,No
Nolan Jones*,24,RF,0.1,28,94,86,10,21,5,0,2,13,0,0,8,31,0.244,0.309,0.372,0.681,96,0.298,91,32,2,0,0,0,1,9/DH,0,Left,No,No,No,No,No,No,No,No,No
Richie Palacios*,25,LF,-0.2,54,123,112,7,26,6,0,0,10,2,0,9,20,0.232,0.293,0.286,0.578,69,0.261,61,32,2,1,0,1,1,7HD/4,0,Left,No,No,No,No,No,No,No,No,No
Will Brennan*,24,OF,0.4,11,45,42,6,15,1,1,1,8,2,1,2,4,0.357,0.4,0.5,0.9,159,0.382,154,21,0,1,0,0,1,/798DH,0,Left,No,No,No,No,No,No,No,No,No
Ernie Clement,26,IF,-0.4,63,161,145,18,29,3,0,0,6,0,1,11,24,0.2,0.264,0.221,0.485,43,0.232,45,32,3,2,2,1,0,5H47/D31,0,Right,No,No,No,No,No,No,No,No,No
