Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Teoscar Hernández,28,RF,3.8,143,595,550,92,163,29,0,32,116,12,4,36,148,0.296,0.346,0.524,0.87,131,0.38,137,288,5,7,0,2,1,*97D/8H,"AS,MVP-19,SS",Right,No
Vladimir Guerrero Jr.,22,1B,6.7,161,698,604,123,188,29,1,48,111,4,1,86,110,0.311,0.401,0.601,1.002,167,0.422,168,363,20,6,0,2,7,*3D/5,"AS,MVP-2,SS",Right,No
Bo Bichette,23,SS,5.8,159,690,640,121,191,30,1,29,102,25,1,40,137,0.298,0.343,0.484,0.828,121,0.365,122,310,10,6,0,4,0,*6D,"AS,MVP-12",Right,No
Marcus Semien,30,2B,7.1,162,724,652,115,173,39,2,45,102,15,1,66,146,0.265,0.334,0.538,0.873,131,0.37,128,351,9,3,0,3,0,*46/D,"AS,MVP-3,GG,SS",Right,No
Lourdes Gurriel Jr.,27,LF,2.6,141,541,500,62,138,28,2,21,84,1,3,32,102,0.276,0.319,0.466,0.785,109,0.34,112,233,8,2,1,6,1,*7D3/H,0,Right,No
Randal Grichuk,29,CF,0.7,149,545,511,59,123,25,1,22,81,0,3,27,114,0.241,0.281,0.423,0.703,87,0.299,83,216,17,3,0,4,0,*89D/H,0,Right,No
George Springer,31,DH,2.3,78,342,299,59,79,19,1,22,50,4,1,37,79,0.264,0.352,0.555,0.907,141,0.384,141,166,6,4,0,1,1,8D/9,0,Right,No
Danny Jansen,26,C,1.3,70,205,184,32,41,13,0,11,28,0,0,17,44,0.223,0.299,0.473,0.772,105,0.335,107,87,4,3,1,0,0,2/H,0,Right,No
Cavan Biggio*,26,3B,0.3,79,294,250,27,56,10,1,7,27,3,1,37,78,0.224,0.322,0.356,0.678,84,0.298,80,89,4,1,1,4,2,59/34HD7,0,Left,No
Alejandro Kirk,22,C,0.9,60,189,165,19,40,8,0,8,24,0,0,19,22,0.242,0.328,0.436,0.764,105,0.343,112,72,7,3,0,2,0,2/DH,0,Right,No
Santiago Espinal,26,3B,2.4,92,246,222,32,69,13,1,2,17,6,1,22,30,0.311,0.376,0.405,0.781,113,0.346,112,90,4,1,1,0,0,5H/D,0,Right,No
