Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
José Ramírez#,27,3B,2.5,58,254,219,45,64,16,1,17,46,10,3,31,43,0.292,0.386,0.607,0.993,167,0.426,168,133,2,3,0,1,0,*5/D,"MVP-2,SS",Both,No
Franmil Reyes,24,DH,0.4,59,241,211,27,58,10,0,9,34,0,0,24,69,0.275,0.344,0.45,0.795,116,0.344,113,95,6,1,0,5,0,*D/7H,0,Right,No
Carlos Santana#,34,1B,1.1,60,255,206,34,41,7,0,8,30,0,0,47,43,0.199,0.349,0.35,0.699,93,0.32,96,72,5,1,0,1,1,*3,0,Both,No
Francisco Lindor#,26,SS,1.3,60,266,236,30,61,13,0,8,27,6,2,24,41,0.258,0.335,0.415,0.75,104,0.329,101,98,8,4,0,2,2,*6/D,0,Both,No
Tyler Naquin*,29,RF,-0.5,40,141,133,15,29,8,1,4,20,0,1,5,40,0.218,0.248,0.383,0.632,70,0.272,65,51,3,1,0,2,0,9/H,0,Left,No
César Hernández#,30,2B,1.8,58,261,233,35,66,20,0,3,20,0,0,24,57,0.283,0.355,0.408,0.763,109,0.337,108,95,3,2,1,0,0,*4/H,GG,Both,No
Domingo Santana,27,OF,-0.3,24,84,70,6,11,3,0,2,12,0,0,13,25,0.157,0.298,0.286,0.583,62,0.271,62,20,2,1,0,0,0,9/7H,0,Right,No
Jordan Luplow,26,LF,-0.1,29,92,78,8,15,5,1,2,8,0,1,12,19,0.192,0.304,0.359,0.663,81,0.288,78,28,3,1,0,1,0,7/9H,0,Right,No
Delino DeShields,27,CF,0.0,37,120,107,10,27,3,2,0,7,3,2,9,29,0.252,0.31,0.318,0.628,73,0.274,65,34,0,0,4,0,0,8/HD,0,Right,No
Óscar Mercado,25,CF,-0.4,36,93,86,6,11,1,0,1,6,3,0,5,27,0.128,0.174,0.174,0.348,-4,0.177,-10,15,0,0,1,1,0,87/HD,0,Right,No
Roberto Pérez,31,C,0.2,32,110,97,6,16,2,0,1,5,0,0,11,38,0.165,0.264,0.216,0.48,34,0.262,56,21,2,2,0,0,0,2,GG,Right,No
Sandy León#,31,C,-0.1,25,81,66,4,9,1,0,2,4,0,0,14,21,0.136,0.296,0.242,0.539,51,0.258,53,16,2,1,0,0,0,2/HD,0,Both,No
Greg Allen#,27,OF,0.0,15,28,25,3,4,1,0,1,4,1,0,1,9,0.16,0.214,0.32,0.534,44,0.238,33,8,0,1,0,1,0,7/8H,0,Both,No
Bradley Zimmer*,27,OF,0.1,20,50,37,3,6,0,0,1,3,2,1,7,14,0.162,0.36,0.243,0.603,71,0.295,80,9,2,5,0,1,0,/789H,0,Left,No
Mike Freeman*,32,UT,-0.1,24,43,38,5,9,3,0,0,3,0,0,3,11,0.237,0.302,0.316,0.618,70,0.275,65,12,0,1,0,1,0,H/5476D3,0,Left,No
Josh Naylor*,23,LF,-0.1,22,66,61,9,14,3,0,0,2,0,0,4,8,0.23,0.277,0.279,0.556,54,0.252,48,17,0,0,0,0,0,7/H3,0,Left,No
Beau Taylor*,30,C,-0.2,7,24,21,1,1,0,0,0,2,0,0,2,9,0.048,0.13,0.048,0.178,-48,0.1,-65,1,0,0,1,0,0,/2,0,Left,No
Yu Chang,24,IF,0.1,10,13,11,1,2,0,0,0,1,0,0,2,4,0.182,0.308,0.182,0.49,40,0.238,39,2,2,0,0,0,0,/6H54,0,Right,No
Daniel Johnson*,24,OF,-0.3,5,13,12,0,1,0,0,0,0,0,0,1,5,0.083,0.154,0.083,0.237,-32,0.075,-89,1,0,0,0,0,1,/97H,0,Left,No
Austin Hedges,27,C,-0.2,6,12,12,0,1,0,0,0,0,0,0,0,5,0.083,0.083,0.083,0.167,-54,0.075,-75,1,0,0,0,0,0,/2,0,Right,No
Christian Arroyo,25,3B,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/5,0,Right,No
Adam Plutko,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
