Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Dalton Guthrie,26,UT,0.4,14,28,21,3,7,0,0,1,5,1,0,6,7,0.333,0.5,0.476,0.976,180,0.442,184,10,0,1,0,0,0,9/H45,0,Right,No,No,No,No,No,No,No,No,No
Roman Quinn#,29,CF,0.0,23,40,37,8,6,1,0,0,3,4,1,3,15,0.162,0.225,0.189,0.414,20,0.203,11,7,0,0,0,0,0,8/H79,0,Both,No,No,No,No,No,No,No,No,No
Mickey Moniak*,24,CF,-0.5,18,50,46,4,6,1,0,0,2,0,0,3,19,0.13,0.184,0.152,0.336,-3,0.156,-17,7,0,0,1,0,0,8/9HD,0,Left,No,No,No,No,No,No,No,No,No
Bradley Zimmer*,29,CF,0.3,9,16,16,4,4,1,0,0,0,0,0,0,4,0.25,0.25,0.313,0.563,59,0.241,46,5,0,0,0,0,0,/8H,0,Left,No,No,No,No,No,No,No,No,No
Simón Muzziotti*,23,CF,-0.1,9,9,7,0,1,0,0,0,0,0,0,0,2,0.143,0.25,0.143,0.393,16,0.203,9,1,0,1,1,0,0,/8H,0,Left,No,No,No,No,No,No,No,No,No
Donny Sands,26,DH,-0.1,3,4,3,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,-20,0.173,-2,0,1,0,0,0,0,/H2D,0,Right,No,No,No,No,No,No,No,No,No
Óscar Mercado,27,CF,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,/8H,0,Right,No,No,No,No,No,No,No,No,No
Scott Kingery,28,2B,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/4,0,Right,No,No,No,No,No,No,No,No,No
José Alvarado*,27,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
JoJo Romero*,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,No,No
Jeurys Familia,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Andrew Bellatti,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Mark Appel,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
