Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Spencer Steer,25,1B,2.9,156,665,582,74,158,37,3,23,86,15,3,68,139,0.271,0.356,0.464,0.82,117,0.36,120,270,9,11,0,4,0,3574/D9H,ROY-6,Right,No,No,No,No,No,No,No
TJ Friedl*,27,CF,3.8,138,556,488,73,136,22,8,18,66,27,6,47,90,0.279,0.352,0.467,0.819,117,0.363,120,228,0,10,8,3,1,*87H/9D,MVP-23,Left,No,No,No,No,No,No,No
Jake Fraley*,28,OF,0.9,111,380,336,41,86,18,0,15,65,21,5,37,71,0.256,0.339,0.443,0.783,107,0.349,110,149,5,6,0,1,2,97HD,0,Left,No,No,No,No,No,No,No
Jonathan India,26,2B,1.4,119,529,454,78,111,23,0,17,61,14,2,52,109,0.244,0.338,0.407,0.746,98,0.337,103,185,13,16,0,7,0,4D/H,0,Right,No,No,No,No,No,No,No
Tyler Stephenson,26,C,0.7,142,517,465,59,113,20,2,13,56,0,1,47,135,0.243,0.317,0.378,0.696,85,0.318,92,176,16,4,0,1,2,2DH/3,0,Right,No,No,No,No,No,No,No
Matt McLain,23,MI,3.7,89,403,365,65,106,23,4,16,50,14,5,31,115,0.29,0.357,0.507,0.864,127,0.381,135,185,5,7,0,0,0,64/DH,ROY-5,Right,No,No,No,No,No,No,No
Elly De La Cruz#,21,SS,0.8,98,427,388,67,91,15,7,13,44,35,8,35,144,0.235,0.3,0.41,0.71,87,0.319,86,159,6,2,1,1,3,65/HD,ROY-7,Both,No,No,No,No,No,No,No
Nick Senzel,28,3B,0.0,104,330,301,49,71,10,0,13,42,6,2,26,74,0.236,0.297,0.399,0.696,84,0.327,98,120,9,1,0,2,0,57H89/4D,0,Right,No,No,No,No,No,No,No
Joey Votto*,39,1B,-0.1,65,242,208,26,42,6,0,14,38,0,0,27,62,0.202,0.314,0.433,0.747,97,0.328,99,90,2,7,0,0,0,3D/H,0,Left,No,No,No,No,No,No,No
Christian Encarnacion-Strand,23,DH,0.6,63,241,222,29,60,7,0,13,37,2,0,14,69,0.27,0.328,0.477,0.805,112,0.353,115,106,5,5,0,0,0,3D/5H9,0,Right,No,No,No,No,No,No,No
