Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Carlos Correa,21,SS,7.0,153,660,577,76,158,36,3,20,96,13,3,75,139,0.274,0.361,0.451,0.811,124,0.372,138,260,12,5,0,3,5,*6/H,0,Right,No
Jose Altuve,26,2B,7.9,161,717,640,108,216,42,5,24,96,30,10,60,70,0.338,0.396,0.531,0.928,155,0.4,159,340,15,7,3,7,11,*4D/6H,"AS,MVP-3,SS",Right,No
George Springer,26,RF,5.1,162,744,644,116,168,29,5,29,82,9,10,88,178,0.261,0.359,0.457,0.815,125,0.353,128,294,12,11,0,1,2,*9D/8H,0,Right,No
Evan Gattis,29,DH,3.0,128,499,447,58,112,19,0,32,72,2,1,43,127,0.251,0.319,0.508,0.826,125,0.354,126,227,12,4,0,5,6,D2H,0,Right,No
Colby Rasmus*,29,LF,2.6,107,417,369,38,76,10,0,15,54,4,1,43,121,0.206,0.286,0.355,0.641,77,0.287,76,131,5,0,1,4,0,789/HD,0,Left,No
Marwin González#,27,1B,1.2,141,518,484,55,123,26,3,13,51,12,6,22,118,0.254,0.293,0.401,0.694,91,0.311,94,194,16,5,6,1,1,357H46/D8,0,Both,No
Luis Valbuena*,30,3B,2.3,90,342,292,38,76,17,1,13,40,1,1,44,81,0.26,0.357,0.459,0.816,125,0.356,128,134,5,1,3,2,2,5/3H4,0,Left,No
Alex Bregman,22,3B,2.0,49,217,201,31,53,13,3,8,34,2,0,15,52,0.264,0.313,0.478,0.791,116,0.345,118,96,1,0,0,1,0,5/64D7H,0,Right,No
Jason Castro*,29,C,1.0,113,376,329,41,69,16,3,11,32,2,1,45,123,0.21,0.307,0.377,0.684,89,0.302,88,124,9,1,1,0,0,*2/3H,0,Left,No
Carlos Gómez,30,CF,-0.8,85,323,295,27,62,16,1,5,29,13,2,21,100,0.21,0.272,0.322,0.594,65,0.271,60,95,11,4,3,0,2,8/DH,0,Right,No
Tyler White,25,1B,-0.2,85,276,249,24,54,16,0,8,28,1,0,23,65,0.217,0.286,0.378,0.664,83,0.297,84,94,6,2,0,2,1,3DH/541,0,Right,No
Jake Marisnick,25,OF,1.7,118,311,287,40,60,18,1,5,21,10,5,16,83,0.209,0.257,0.331,0.588,62,0.268,63,95,4,3,4,1,0,87H/9D,0,Right,No
Yuli Gurriel,32,3B,0.7,36,137,130,13,34,7,0,3,15,1,1,5,12,0.262,0.292,0.385,0.677,86,0.296,85,50,7,1,0,1,0,5/D3H7,0,Right,No
Teoscar Hernández,23,OF,0.2,41,112,100,15,23,7,0,4,11,0,2,11,28,0.23,0.304,0.42,0.724,99,0.313,103,42,5,0,0,1,1,78/H9,0,Right,No
AJ Reed*,23,1B,-0.8,45,141,122,11,20,3,0,3,8,0,0,18,48,0.164,0.27,0.262,0.532,49,0.251,50,32,1,0,0,1,0,3/DH,0,Left,No
Preston Tucker*,25,DH,-1.1,48,144,134,11,22,8,1,4,8,0,0,8,40,0.164,0.222,0.328,0.551,50,0.243,45,44,2,2,0,0,0,D7H/9,0,Left,No
Tony Kemp*,24,LF,-0.5,59,136,120,15,26,4,3,1,7,2,1,14,27,0.217,0.296,0.325,0.621,73,0.28,72,39,5,0,1,1,0,7H/D489,0,Left,No
Colin Moran*,23,3B,-0.3,9,25,23,1,3,1,0,0,2,0,0,1,8,0.13,0.2,0.174,0.374,6,0.177,-3,4,4,1,0,0,0,/5H,0,Left,No
Doug Fister*,32,P,0.0,3,7,5,0,1,0,0,0,2,0,0,0,1,0.2,0.2,0.2,0.4,12,0.178,-41,1,0,0,2,0,0,1,0,Left,No
Danny Worth,30,IF,-0.1,16,40,39,4,7,2,0,0,1,0,0,1,6,0.179,0.2,0.231,0.431,20,0.191,6,9,1,0,0,0,0,/45H6D,0,Right,No
Max Stassi,25,C,-0.2,9,13,13,1,1,0,0,0,0,0,0,0,5,0.077,0.077,0.077,0.154,-57,0.061,-87,1,0,0,0,0,0,/2H,0,Right,No
Erik Kratz,36,C,-0.5,14,30,29,0,2,1,0,0,0,0,0,1,14,0.069,0.1,0.103,0.203,-43,0.091,-67,3,1,0,0,0,0,2/1DH,0,Right,No
Matt Duffy,27,3B,-0.1,3,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-129,0,0,0,0,0,0,/H5,0,Right,No
Collin McHugh,29,P,-0.1,3,8,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-210,0,0,0,2,0,0,1,0,Right,No
Lance McCullers Jr.*,22,P,0.1,1,3,3,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,87,0.297,86,1,0,0,0,0,0,1,0,Left,No
Dallas Keuchel*,28,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-135,0,0,0,0,0,0,1,GG,Left,No
Scott Feldman*,33,P,0.0,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-135,0,0,0,0,0,0,1,0,Left,No
Joe Musgrove,23,P,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,1,0,Right,No
Brad Peacock,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Will Harris,31,P,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS,Right,No
Chris Devenski,25,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,ROY-4,Right,No
Michael Feliz,23,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Tony Sipp*,32,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Josh Fields,30,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
James Hoyt,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Pat Neshek#,35,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Both,No
Ken Giles,25,P,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Luke Gregerson*,32,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
