Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Austin Riley,24,3B,6.3,160,662,590,91,179,33,1,33,107,0,1,52,168,0.303,0.367,0.531,0.898,135,0.386,137,313,11,12,0,8,2,*53/H9,"MVP-7,SS",Right,No
Ozzie Albies#,24,2B,3.6,156,686,629,103,163,40,7,30,106,20,4,47,128,0.259,0.31,0.488,0.799,108,0.346,106,307,4,3,0,7,2,*4,"AS,MVP-13,SS",Both,No
Dansby Swanson,27,SS,2.1,160,653,588,78,146,33,2,27,88,9,3,52,167,0.248,0.311,0.449,0.76,99,0.334,99,264,7,5,1,7,4,*6/H,0,Right,No
Freddie Freeman*,31,1B,4.9,159,695,600,120,180,25,2,31,83,8,3,85,107,0.3,0.393,0.503,0.896,136,0.391,140,302,11,8,0,2,15,*3,"AS,MVP-9,SS",Left,No
Ronald Acuña Jr.,23,RF,3.7,82,360,297,72,84,19,1,24,52,17,6,49,85,0.283,0.394,0.596,0.99,158,0.42,158,177,0,9,0,5,2,9/8H,AS,Right,No
Adam Duvall,32,OF,1.3,55,216,199,26,45,7,1,16,45,0,0,14,69,0.226,0.287,0.513,0.8,106,0.341,105,102,3,3,0,0,1,789/H,GG,Right,No
Jorge Soler,29,RF,1.1,55,242,208,36,56,11,0,14,33,0,0,29,45,0.269,0.358,0.524,0.882,131,0.385,136,109,3,1,0,2,0,9/DH,0,Right,No
Ehire Adrianza#,31,UT,0.4,109,209,182,32,45,9,2,5,28,0,0,21,42,0.247,0.327,0.401,0.728,92,0.326,94,73,4,2,1,3,0,H59/4768D,0,Both,No
Guillermo Heredia,30,CF,0.4,120,347,305,46,67,26,0,5,26,0,0,32,81,0.22,0.311,0.354,0.665,77,0.298,74,108,5,9,0,1,3,*87H,0,Right,No
Marcell Ozuna,30,LF,-0.1,48,208,188,21,40,6,0,7,26,0,0,19,46,0.213,0.288,0.356,0.645,70,0.286,66,67,6,1,0,0,0,7,0,Right,No
Travis d'Arnaud,32,C,0.3,60,229,209,21,46,14,0,7,26,0,0,17,53,0.22,0.284,0.388,0.671,76,0.292,70,81,7,2,0,1,0,2/HD,0,Right,No
William Contreras,23,C,0.1,52,185,163,19,35,4,1,8,23,0,0,19,54,0.215,0.303,0.399,0.701,85,0.305,79,65,3,2,0,1,1,2/H,0,Right,No
Joc Pederson*,29,OF,0.3,64,194,173,20,43,8,1,7,22,0,0,17,43,0.249,0.325,0.428,0.752,98,0.331,97,74,4,3,0,1,0,98H,0,Left,No
Abraham Almonte#,32,LF,-0.8,64,175,148,20,32,12,0,5,19,1,1,26,38,0.216,0.331,0.399,0.73,93,0.32,91,59,2,0,0,1,0,7H/9,0,Both,No
Eddie Rosario*,29,LF,0.5,33,106,96,13,26,4,2,7,16,2,1,9,14,0.271,0.33,0.573,0.903,134,0.377,130,55,1,0,0,1,0,7/H9,0,Left,No
Orlando Arcia,26,UT,-0.2,32,78,70,9,15,3,0,2,13,1,0,7,16,0.214,0.282,0.343,0.625,65,0.287,63,24,2,0,0,1,1,H7/64,0,Right,No
Pablo Sandoval#,34,DH,-0.2,69,86,73,11,13,0,0,4,11,0,0,11,25,0.178,0.302,0.342,0.645,71,0.293,71,25,2,2,0,0,0,H/D35,0,Both,No
Ender Inciarte*,30,CF,-0.1,52,89,79,11,17,2,0,2,10,1,0,7,22,0.215,0.276,0.316,0.592,57,0.265,47,25,1,0,2,1,0,8H/7,0,Left,No
Stephen Vogt*,36,C,-0.3,26,87,78,7,13,0,0,2,8,0,0,8,20,0.167,0.241,0.244,0.485,30,0.229,24,19,0,0,0,1,1,2/H,0,Left,No
Huascar Ynoa,23,P,0.3,18,32,32,3,7,1,0,2,6,0,0,0,15,0.219,0.219,0.438,0.656,68,0.271,55,14,0,0,0,0,0,1,0,Right,No
Max Fried*,27,P,0.7,31,67,55,7,15,3,0,0,5,0,0,4,18,0.273,0.322,0.327,0.649,74,0.29,64,18,0,0,8,0,0,1/H,"GG,SS",Left,No
Cristian Pache,22,CF,-0.7,22,68,63,6,7,3,0,1,4,0,0,2,25,0.111,0.152,0.206,0.358,-6,0.183,-11,13,1,1,2,0,0,8/H,0,Right,No
Kevan Smith,33,C,-0.8,30,101,91,6,15,3,0,0,3,0,0,10,29,0.165,0.248,0.198,0.445,21,0.197,-1,18,3,0,0,0,3,2/H,0,Right,No
Jonathan Lucroy,35,C,0.1,2,9,5,2,1,0,0,0,1,0,0,3,2,0.2,0.5,0.2,0.7,98,0.373,131,1,0,0,1,0,0,/2,0,Right,No
Charlie Morton,37,P,-0.2,31,62,55,5,7,1,0,0,1,0,0,0,31,0.127,0.127,0.145,0.273,-28,0.121,-71,8,0,0,7,0,0,1/H,0,Right,No
Alex Jackson,25,C,-0.3,10,28,23,2,1,0,0,0,0,0,0,2,13,0.043,0.214,0.043,0.258,-25,0.173,-19,1,0,3,0,0,1,/2H,0,Right,No
Johan Camargo#,27,IF,-0.4,15,18,16,1,0,0,0,0,0,0,0,2,6,0.0,0.111,0.0,0.111,-66,0.077,-82,0,0,0,0,0,0,H/345D,0,Both,No
Sean Kazmar Jr.,36,DH,-0.1,3,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-139,0,1,0,0,0,0,/HD,0,Right,No
Jeff Mathis,38,C,-0.2,3,9,9,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0.0,-138,0,0,0,0,0,0,/2,0,Right,No
Drew Smyly*,32,P,-0.4,29,43,41,0,3,0,0,0,0,0,0,0,19,0.073,0.073,0.073,0.146,-61,0.059,-105,3,0,0,2,0,0,1/H,0,Left,No
Ian Anderson,23,P,-0.2,22,41,37,0,2,1,0,0,0,0,0,1,29,0.054,0.079,0.081,0.16,-57,0.075,-99,3,0,0,3,0,0,1,ROY-5,Right,No
Touki Toussaint,25,P,-0.1,10,18,15,1,0,0,0,0,0,0,0,2,9,0.0,0.118,0.0,0.118,-65,0.082,-89,0,0,0,1,0,0,1,0,Right,No
Bryse Wilson,23,P,0.0,8,13,12,0,1,0,0,0,0,0,0,0,5,0.083,0.154,0.083,0.237,-34,0.125,-49,1,0,1,0,0,0,/1,0,Right,No
Kyle Muller,23,P,0.0,9,13,11,0,1,0,0,0,0,0,0,1,7,0.091,0.167,0.091,0.258,-28,0.133,-55,1,0,0,1,0,0,/1,0,Right,No
Tucker Davidson*,25,P,-0.1,4,6,6,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100,0.0,-137,0,0,0,0,0,0,/1,0,Left,No
Josh Tomlin,36,P,0.1,35,5,3,0,1,0,0,0,0,0,0,1,1,0.333,0.5,0.333,0.833,129,0.399,157,1,0,0,1,0,0,1/H,0,Right,No
Kyle Wright,25,P,0.1,2,3,3,1,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1.0,156,0.415,157,2,0,0,0,0,0,/1,0,Right,No
Jesse Chavez,37,P,0.0,30,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-137,0,0,0,0,0,0,1,0,Right,No
Jacob Webb,27,P,0.0,32,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-139,0,0,0,0,0,0,1,0,Right,No
Sean Newcomb*,28,P,0.0,29,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-358,0,0,0,1,0,0,1,0,Left,No
Spencer Strider,22,P,0.0,2,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-358,0,0,0,1,0,0,/1,0,Right,No
A.J. Minter*,27,P,0.0,57,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,1,0,Left,No
Edgar Santana,29,P,0.0,38,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-133,0,0,0,0,0,0,1,0,Right,No
Ty Tice*,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No
Jesse Biddle*,29,P,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No
Grant Dayton*,33,P,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Will Smith,31,P,0.0,66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Carl Edwards Jr.,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Jay Flaa,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Shane Greene,32,P,0.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
