Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Nolan Arenado,30,3B,4.0,157,653,593,81,151,34,3,34,105,2,0,50,96,0.255,0.312,0.494,0.807,119,0.344,116,293,20,3,0,7,8,*5/D,"AS,GG",Right,No
Paul Goldschmidt,33,1B,6.0,158,679,603,102,177,36,2,31,99,12,0,67,136,0.294,0.365,0.514,0.879,141,0.389,146,310,13,4,0,5,2,*3/DH,"MVP-6,GG",Right,No
Tyler O'Neill,26,LF,6.1,138,537,482,89,138,26,2,34,80,15,4,38,168,0.286,0.352,0.56,0.912,148,0.399,154,270,8,13,0,4,0,*7/HD,"MVP-8,GG",Right,No
Yadier Molina,38,C,1.7,121,473,440,45,111,19,0,11,66,3,0,24,79,0.252,0.297,0.37,0.667,84,0.3,84,163,16,5,0,3,1,*2/H3,AS,Right,No
Dylan Carlson#,22,RF,3.1,149,619,542,79,144,31,4,18,65,2,1,57,152,0.266,0.343,0.437,0.78,115,0.343,116,237,5,11,1,8,2,*98/7H,ROY-3,Both,No
Tommy Edman#,26,2B,3.5,159,691,641,91,168,41,3,11,56,30,5,38,95,0.262,0.308,0.387,0.695,91,0.317,93,248,4,6,2,4,1,*49/6H,GG,Both,No
Harrison Bader,27,CF,3.8,103,401,367,45,98,21,1,16,50,9,4,27,85,0.267,0.324,0.46,0.785,114,0.334,110,169,4,5,0,2,6,8,GG,Right,No
Paul DeJong,27,SS,1.5,113,402,356,44,70,10,1,19,45,4,1,35,103,0.197,0.284,0.39,0.674,85,0.298,83,139,6,9,0,2,0,6/H,0,Right,No
Edmundo Sosa,25,MI,3.1,113,326,288,39,78,8,4,6,27,4,4,17,63,0.271,0.346,0.389,0.735,104,0.339,116,112,8,17,1,2,2,64H/58,0,Right,No
Matt Carpenter*,35,2B,-1.1,130,249,207,18,35,11,1,3,21,2,0,35,77,0.169,0.305,0.275,0.581,63,0.279,69,57,1,6,0,1,1,H43/5D1,0,Left,No
Lars Nootbaar*,23,RF,0.7,58,124,109,15,26,3,1,5,15,2,1,13,28,0.239,0.317,0.422,0.739,103,0.318,98,46,0,0,1,1,1,9H/7,0,Left,No
Justin Williams*,25,OF,-0.6,51,137,119,10,19,0,0,4,11,0,1,17,46,0.16,0.27,0.261,0.531,49,0.239,43,31,2,1,0,0,5,97H,0,Left,No
Andrew Knizner,26,C,-0.3,63,185,161,18,28,7,0,1,9,0,0,20,39,0.174,0.281,0.236,0.517,46,0.241,43,38,7,4,0,0,2,2H/3,0,Right,No
José Rondón,27,UT,0.1,63,90,80,13,21,3,0,3,9,2,0,8,17,0.263,0.322,0.413,0.735,102,0.323,98,33,1,0,0,2,0,H/5947D3,0,Right,No
Austin Dean,27,OF,0.0,22,38,30,5,7,2,0,1,7,0,0,6,11,0.233,0.342,0.4,0.742,105,0.32,100,12,0,0,0,2,0,H/79,0,Right,No
Adam Wainwright,39,P,0.2,33,74,57,1,7,2,0,0,4,0,0,3,25,0.123,0.167,0.158,0.325,-9,0.166,-35,9,2,0,14,0,0,1/H,"CYA-7,MVP-20",Right,No
Jack Flaherty,25,P,0.3,15,26,17,2,2,0,0,1,3,0,0,5,7,0.118,0.304,0.294,0.598,68,0.278,66,5,0,0,3,1,0,1,0,Right,No
Johan Oviedo,23,P,0.1,13,22,20,3,3,0,0,0,2,0,0,2,9,0.15,0.227,0.15,0.377,8,0.186,5,3,0,0,0,0,0,1,0,Right,No
Kwang Hyun Kim*,32,P,0.2,25,29,26,0,3,1,0,0,2,0,0,0,9,0.115,0.148,0.154,0.302,-16,0.199,8,4,0,1,2,0,0,1,0,Left,No
Max Moroff#,28,IF,-0.3,6,16,16,0,1,0,0,0,1,0,0,0,10,0.063,0.063,0.063,0.125,-65,0.056,-87,1,0,0,0,0,0,/45H,0,Both,No
Lane Thomas,25,OF,-0.3,32,58,48,2,5,1,0,0,1,2,1,10,17,0.104,0.259,0.125,0.384,12,0.209,20,6,1,0,0,0,1,H9/784,0,Right,No
Scott Hurst*,25,CF,-0.1,7,5,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/8H,0,Left,No
John Nogowski,28,1B,-0.3,19,20,18,2,1,0,0,0,0,0,0,1,2,0.056,0.15,0.056,0.206,-39,0.116,-44,1,1,1,0,0,0,H/3,0,Right,No
Alí Sánchez,24,C,0.1,2,4,4,0,2,2,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,302,0.622,313,4,0,0,0,0,0,/2,0,Right,No
Carlos Martínez,29,P,-0.1,16,25,24,1,2,1,0,0,0,0,0,0,15,0.083,0.083,0.125,0.208,-43,0.089,-70,3,0,0,1,0,0,1,0,Right,No
Jon Lester*,37,P,0.1,11,22,20,0,3,2,0,0,0,0,0,2,11,0.15,0.227,0.25,0.477,33,0.217,27,5,0,0,0,0,0,1,0,Left,No
Jake Woodford,24,P,-0.1,24,20,18,0,2,0,0,0,0,0,0,0,9,0.111,0.111,0.111,0.222,-38,0.1,-73,2,0,0,2,0,0,1,0,Right,No
John Gant,28,P,-0.2,22,18,13,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,-100,0.0,-214,0,0,0,5,0,0,1,0,Right,No
