Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Manny Machado,28,3B,5.0,153,640,564,92,157,31,2,28,106,12,3,63,102,0.278,0.347,0.489,0.836,131,0.359,128,276,10,2,0,11,10,*5/HD,"AS,MVP-18",Right,No,No,No,No,No,No,No,
Fernando Tatis Jr.,22,SS,6.6,130,546,478,99,135,31,0,42,97,25,4,62,153,0.282,0.364,0.611,0.975,166,0.419,168,292,5,2,0,4,6,69/8HD,"AS,MVP-3,SS",Right,No,Yes,No,No,No,No,No,
Jake Cronenworth*,27,2B,4.8,152,643,567,94,151,33,7,21,71,4,3,55,90,0.266,0.34,0.46,0.8,122,0.35,124,261,8,10,3,3,6,463/H1,AS,Left,No,No,No,No,No,No,No,
Eric Hosmer*,31,1B,1.0,151,565,509,53,137,28,0,12,65,5,4,48,99,0.269,0.337,0.395,0.732,104,0.325,107,201,13,5,1,2,2,*3H/D,0,Left,No,No,No,No,No,No,No,
Wil Myers,30,RF,0.8,146,500,442,56,113,24,2,17,63,8,5,54,141,0.256,0.334,0.434,0.768,113,0.333,112,192,9,0,0,4,2,*9H7/D,0,Right,No,No,No,No,No,No,No,
Trent Grisham*,24,CF,3.3,132,527,462,61,112,28,3,15,62,13,5,54,119,0.242,0.327,0.413,0.74,106,0.329,107,191,10,6,1,4,2,*8H,0,Left,No,No,No,No,No,No,No,
Tommy Pham,33,LF,1.4,155,561,475,74,109,24,2,15,49,14,6,78,128,0.229,0.34,0.383,0.724,103,0.328,108,182,10,4,0,4,3,*7H8/D9,0,Right,No,No,No,No,No,No,No,
Victor Caratini#,27,C,0.0,116,356,313,33,71,9,0,7,39,2,0,35,82,0.227,0.309,0.323,0.632,78,0.283,75,101,13,4,0,4,8,2H/35,0,Both,No,No,No,No,No,No,No,
Ha-Seong Kim,25,IF,2.1,117,298,267,27,54,12,2,8,34,6,1,22,71,0.202,0.27,0.352,0.622,73,0.28,71,94,6,4,2,3,1,H654,0,Right,No,No,No,No,No,No,No,
Jurickson Profar#,28,OF,0.0,137,412,353,47,80,17,2,4,33,10,5,49,65,0.227,0.329,0.32,0.649,83,0.303,90,113,12,6,1,2,1,7H9384,0,Both,No,No,No,No,No,No,No,
Austin Nola,31,C,0.9,56,194,173,15,47,12,0,2,29,0,1,14,19,0.272,0.34,0.376,0.716,101,0.32,104,65,2,5,0,2,0,2/H43,0,Right,No,No,No,No,No,No,No,
Adam Frazier*,29,2B,1.0,57,211,191,25,51,8,1,1,11,5,1,13,23,0.267,0.327,0.335,0.662,86,0.297,84,64,4,4,3,0,1,4/H7,AS,Left,No,No,No,No,No,No,No,
Brian O'Grady*,29,OF,0.1,32,61,51,8,8,3,0,2,9,0,0,8,17,0.157,0.267,0.333,0.6,67,0.267,64,17,1,0,1,1,0,H9/783,0,Left,No,No,No,No,No,No,No,
Jorge Mateo,26,UT,0.2,57,93,87,10,18,4,0,2,6,5,0,2,27,0.207,0.25,0.322,0.572,59,0.273,59,28,1,3,1,0,0,H8/5976,0,Right,No,No,No,No,No,No,No,
Webster Rivas,30,C,0.2,24,77,68,8,15,2,0,2,4,0,0,8,16,0.221,0.303,0.338,0.641,79,0.3,88,23,6,0,1,0,0,2/H,0,Right,No,No,No,No,No,No,No,
Daniel Camarena*,28,P,0.1,6,3,3,1,1,0,0,1,4,0,0,0,2,0.333,0.333,1.333,1.667,335,0.67,351,4,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,
Tucupita Marcano*,21,UT,-0.1,25,50,44,7,8,1,0,0,3,0,1,6,9,0.182,0.28,0.205,0.485,39,0.222,40,9,2,0,0,0,0,H/4795,0,Left,No,No,No,No,No,No,No,
Jake Marisnick,30,OF,-0.2,34,54,48,4,9,1,0,0,2,1,0,2,22,0.188,0.264,0.208,0.472,35,0.227,32,10,2,3,1,0,0,7H/89,0,Right,No,No,No,No,No,No,No,
Patrick Kivlehan,31,RF,0.1,5,8,4,3,1,0,0,0,2,0,0,2,3,0.25,0.5,0.25,0.75,120,0.377,143,1,0,1,0,1,0,/H9,0,Right,No,No,No,No,No,No,No,
Luis Campusano,22,C,-0.5,11,38,34,0,3,0,0,0,1,0,0,4,11,0.088,0.184,0.088,0.272,-20,0.168,-5,3,2,0,0,0,0,/2H,0,Right,No,No,No,No,No,No,No,
Joe Musgrove,28,P,0.0,36,57,51,2,7,2,0,0,1,0,0,1,23,0.137,0.151,0.176,0.327,-9,0.138,-37,9,0,0,4,1,0,1/H7,0,Right,No,No,No,No,No,No,No,
Iván Castillo#,26,IF,0.0,3,4,3,0,1,0,0,0,1,0,0,1,0,0.333,0.5,0.333,0.833,141,0.399,157,1,0,0,0,0,0,/H45,0,Both,No,No,No,No,No,No,No,
Vince Velasquez,29,P,0.1,4,4,1,0,0,0,0,0,1,0,0,1,0,0.0,0.5,0.0,0.5,58,0.348,143,0,0,0,2,0,0,/1,0,Right,No,No,No,No,No,No,No,
Yu Darvish,34,P,-0.1,29,55,53,2,5,2,0,0,1,0,0,0,25,0.094,0.111,0.132,0.243,-32,0.109,-50,7,2,1,1,0,0,1,AS,Right,No,No,No,No,No,No,No,
Ryan Weathers,21,P,0.1,30,28,27,3,4,0,0,1,1,0,0,1,7,0.148,0.179,0.259,0.438,21,0.193,12,7,0,0,0,0,0,1/H,0,Right,No,No,No,No,No,No,No,
John Andreoli,31,OF,0.0,7,7,6,2,1,1,0,0,0,0,0,1,3,0.167,0.286,0.333,0.619,73,0.277,72,2,0,0,0,0,0,/789H,0,Right,No,No,No,No,No,No,No,
Nabil Crismatt,26,P,-0.1,43,11,10,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100,0.0,-147,0,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,
Reiss Knehr*,24,P,-0.1,12,8,8,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0.0,-123,0,1,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Chris Paddack,25,P,-0.2,23,42,35,0,1,0,0,0,0,0,0,1,26,0.029,0.081,0.029,0.11,-67,0.06,-106,1,0,1,5,0,0,1/H,0,Right,No,No,No,No,No,No,No,
Blake Snell*,28,P,-0.1,25,37,34,1,4,0,0,0,0,0,0,0,17,0.118,0.118,0.118,0.235,-34,0.106,-63,4,1,0,3,0,0,1,0,Left,No,No,No,No,No,No,No,
Dinelson Lamet,28,P,0.0,21,7,6,0,0,0,0,0,0,0,0,1,6,0.0,0.143,0.0,0.143,-55,0.099,-54,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Craig Stammen,37,P,0.0,64,7,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,13,0.18,-36,1,0,0,2,0,0,1,0,Right,No,No,No,No,No,No,No,
Jake Arrieta,35,P,0.1,4,4,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,182,0.449,291,1,0,0,2,0,0,/1,0,Right,No,No,No,No,No,No,No,
Miguel Díaz,26,P,-0.1,23,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-126,0,1,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Nick Ramirez*,31,P,0.0,12,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-126,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Emilio Pagán*,30,P,0.0,64,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-130,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Mark Melancon,36,P,0.0,59,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,1,AS,Right,No,No,No,No,No,No,No,
Adrián Morejón*,22,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-117,0,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,
Pedro Avila,24,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-117,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Taylor Williams#,29,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Both,No,No,No,No,No,No,No,
Matt Strahm,29,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Mason Thompson,23,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Austin Adams,30,P,0.0,61,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Drew Pomeranz,32,P,0.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
James Norwood,27,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Aaron Northcraft,31,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Keone Kela,28,P,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Pierce Johnson,30,P,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Daniel Hudson,34,P,0.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Tim Hill,31,P,0.0,73,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Javy Guerra*,25,P,0.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1H,0,Left,No,No,No,No,No,No,No,
Ross Detwiler,35,P,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Shaun Anderson,26,P,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Dan Altavilla,28,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
