Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
José Abreu,33,1B,3.0,60,262,240,43,76,15,0,19,60,0,0,18,59,0.317,0.37,0.617,0.987,165,0.421,168,148,10,3,0,1,1,*3/D,"MVP-1,SS",Right,No
Eloy Jiménez,23,LF,1.4,55,226,213,26,63,14,0,14,41,0,0,12,56,0.296,0.332,0.559,0.891,139,0.383,141,119,4,0,0,1,0,*7/D,SS,Right,No
Luis Robert Jr.,22,CF,1.8,56,227,202,33,47,8,0,11,31,9,2,20,73,0.233,0.302,0.436,0.738,100,0.322,95,88,4,1,0,2,0,*8/H,"ROY-2,GG",Right,No
Yasmani Grandal#,31,C,0.9,46,194,161,27,37,7,0,8,27,0,0,30,58,0.23,0.351,0.422,0.773,112,0.34,111,68,4,1,0,2,0,2/D3H,0,Both,No
Yoán Moncada#,25,3B,0.6,52,231,200,28,45,8,3,6,24,0,0,28,72,0.225,0.32,0.385,0.705,94,0.311,91,77,1,1,0,2,0,*5/H,0,Both,No
Tim Anderson,27,SS,2.3,49,221,208,45,67,11,1,10,21,5,2,10,50,0.322,0.357,0.529,0.886,140,0.382,140,110,4,2,0,1,0,*6,"MVP-7,SS",Right,No
Edwin Encarnación,37,DH,-0.3,44,181,159,19,25,5,0,10,19,0,0,16,54,0.157,0.25,0.377,0.627,70,0.291,77,60,3,4,0,1,0,*D/H,0,Right,No
James McCann,30,C,1.3,31,111,97,20,28,3,0,7,15,1,1,8,30,0.289,0.36,0.536,0.896,143,0.385,144,52,2,4,0,2,0,2/H,0,Right,No
Nomar Mazara*,25,RF,-0.1,42,149,136,13,31,6,0,1,15,0,1,10,44,0.228,0.295,0.294,0.589,64,0.264,60,40,0,3,0,0,0,*9/H,0,Left,No
Adam Engel,28,RF,0.6,36,93,88,11,26,5,1,3,12,1,0,3,19,0.295,0.333,0.477,0.811,120,0.366,128,42,1,2,0,0,0,9H/78,0,Right,No
Nick Madrigal,23,2B,0.5,29,109,103,8,35,3,0,0,11,2,1,4,7,0.34,0.376,0.369,0.745,107,0.347,117,38,5,2,0,0,0,4,0,Right,No
Leury García#,29,UT,0.7,16,63,59,6,16,1,0,3,8,0,0,4,9,0.271,0.317,0.441,0.758,106,0.34,111,26,0,0,0,0,0,6/49H,0,Both,No
Danny Mendick,26,2B,0.6,33,114,107,11,26,4,1,3,6,0,1,6,25,0.243,0.281,0.383,0.664,81,0.29,79,41,3,0,0,1,0,4/65,0,Right,No
Nicky Delmonico*,27,OF,-0.4,6,22,20,0,3,0,0,0,3,0,0,2,2,0.15,0.227,0.15,0.377,8,0.186,3,3,2,0,0,0,0,/97,0,Left,No
Yolmer Sánchez#,28,IF,0.3,11,21,16,7,5,3,0,1,1,0,0,5,5,0.313,0.476,0.688,1.164,216,0.48,209,11,1,0,0,0,0,/5H6D14,0,Both,No
Zack Collins*,25,DH,-0.2,9,18,16,1,1,1,0,0,0,0,0,2,5,0.063,0.167,0.125,0.292,-17,0.146,-24,2,0,0,0,0,0,/DH23,0,Left,No
Jarrod Dyson*,35,OF,-0.1,11,11,10,3,3,0,0,0,0,2,0,0,1,0.3,0.3,0.3,0.6,67,0.317,59,3,0,0,1,0,0,/7H8D9,0,Left,No
Ryan Goins*,32,DH,-0.1,14,10,9,4,0,0,0,0,0,0,0,1,1,0.0,0.1,0.0,0.1,-69,0.07,-79,0,0,0,0,0,0,/HD564,0,Left,No
Luis González*,24,OF,0.0,3,2,1,1,0,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,57,0.364,129,0,0,1,0,0,0,/H78D,0,Left,No
Yermín Mercedes,27,DH,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/DH,0,Right,No
Cheslor Cuthbert,27,3B,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/5H,0,Right,No
Matt Foster,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
José Ruiz,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
