Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Kole Calhoun*,32,RF,1.4,54,228,190,35,43,9,0,16,40,1,1,28,50,0.226,0.338,0.526,0.864,130,0.369,130,100,6,6,0,4,0,*9/DH,0,Left,No,No,No,No,No,No,No
Christian Walker,29,1B,0.8,57,243,218,35,59,18,1,7,34,1,1,19,50,0.271,0.333,0.459,0.792,112,0.344,112,100,6,3,0,3,0,*3D/H,0,Right,No,No,No,No,No,No,No
David Peralta*,32,LF,0.7,54,218,203,19,61,10,1,5,34,1,0,13,45,0.3,0.339,0.433,0.773,108,0.334,103,88,4,0,0,2,0,*7/DH,0,Left,No,No,No,No,No,No,No
Nick Ahmed,30,SS,1.6,57,217,199,29,53,10,1,5,29,4,0,18,46,0.266,0.327,0.402,0.729,97,0.329,98,80,3,0,0,0,0,*6/H,0,Right,No,No,No,No,No,No,No
Eduardo Escobar#,31,3B,-0.4,54,222,203,22,43,7,3,4,20,1,0,15,41,0.212,0.27,0.335,0.605,63,0.258,50,68,5,2,0,2,4,*5/D4,0,Both,No,No,No,No,No,No,No
Carson Kelly,25,C,-0.3,39,129,122,11,27,5,0,5,19,0,0,6,29,0.221,0.264,0.385,0.649,73,0.28,67,47,4,1,0,0,0,2/H1D,0,Right,No,No,No,No,No,No,No
Ketel Marte#,26,2B,1.5,45,195,181,19,52,14,1,2,17,1,0,7,21,0.287,0.323,0.409,0.732,97,0.344,110,74,2,4,0,3,0,*4/86D,0,Both,No,No,No,No,No,No,No
Starling Marte,31,CF,1.1,33,138,122,23,38,8,1,2,14,5,2,10,19,0.311,0.384,0.443,0.827,124,0.365,125,54,3,5,0,1,1,8/7,0,Right,No,No,No,No,No,No,No
Daulton Varsho*,23,DH,0.1,37,115,101,16,19,5,2,3,9,3,1,12,33,0.188,0.287,0.366,0.653,76,0.288,71,37,1,2,0,0,0,82/D7H,0,Left,No,No,No,No,No,No,No
Tim Locastro,27,OF,0.7,33,82,69,15,20,4,1,2,7,4,0,8,14,0.29,0.395,0.464,0.859,133,0.399,142,32,0,4,1,0,0,8H/79D,0,Right,No,No,No,No,No,No,No
Stephen Vogt*,35,C,0.0,26,81,72,6,12,5,0,1,7,0,0,8,18,0.167,0.247,0.278,0.525,43,0.248,44,20,1,0,0,1,0,2/H3D,0,Left,No,No,No,No,No,No,No
Josh VanMeter*,25,IF,0.3,12,41,36,6,7,2,0,1,5,0,0,4,8,0.194,0.293,0.333,0.626,70,0.304,84,12,0,1,0,0,0,4/5H,0,Left,No,No,No,No,No,No,No
Wyatt Mathisen,26,3B,0.2,9,33,27,5,6,0,0,2,5,0,0,5,12,0.222,0.364,0.444,0.808,118,0.354,118,12,0,1,0,0,0,/5DH,0,Right,No,No,No,No,No,No,No
Andrew Young,26,UT,-0.1,12,34,26,3,5,2,0,1,4,0,0,5,10,0.192,0.382,0.385,0.767,110,0.352,116,10,0,3,0,0,0,/4D5H7,0,Right,No,No,No,No,No,No,No
Pavin Smith*,24,UT,0.2,12,44,37,7,10,0,1,1,4,1,0,5,8,0.27,0.341,0.405,0.746,102,0.322,92,15,0,0,0,2,0,/379D,0,Left,No,No,No,No,No,No,No
Jon Jay*,35,OF,-0.5,18,57,50,5,8,1,0,1,4,0,0,3,12,0.16,0.211,0.24,0.451,22,0.201,12,12,0,1,0,3,0,/987DH,0,Left,No,No,No,No,No,No,No
Josh Rojas*,26,UT,-0.3,17,70,61,9,11,0,0,0,2,1,1,7,16,0.18,0.257,0.18,0.437,22,0.217,26,11,1,0,0,2,0,/4D67H,0,Left,No,No,No,No,No,No,No
Jake Lamb*,29,CI,-0.6,18,50,43,2,5,1,0,0,1,0,1,6,17,0.116,0.24,0.14,0.38,7,0.204,21,6,0,1,0,0,0,3/5D,0,Left,No,No,No,No,No,No,No
Ildemaro Vargas#,28,IF,-0.4,8,21,20,2,3,0,0,0,0,0,0,1,5,0.15,0.19,0.15,0.34,-5,0.158,-18,3,1,0,0,0,0,/34H5,0,Both,No,No,No,No,No,No,No
Kevin Cron,27,DH,-0.4,8,20,17,0,0,0,0,0,0,0,0,1,7,0.0,0.15,0.0,0.15,-54,0.109,-53,0,0,2,0,0,0,/DH3,0,Right,No,No,No,No,No,No,No
