Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Brandon Lowe*,25,2B,2.4,56,224,193,36,52,9,2,14,37,3,0,25,58,0.269,0.362,0.554,0.916,154,0.387,148,107,2,4,0,2,0,*4/9H7D3,MVP-8,Left,No,No,No,No,No,No,No,No,No
Yoshi Tsutsugo*,28,DH,0.2,51,185,157,27,31,5,1,8,24,0,0,26,50,0.197,0.314,0.395,0.708,99,0.315,100,62,5,1,0,1,1,D75/H,0,Left,No,No,No,No,No,No,No,No,No
Willy Adames,24,SS,1.8,54,205,185,29,48,15,1,8,23,2,1,20,74,0.259,0.332,0.481,0.813,126,0.354,128,89,4,0,0,0,0,*6/H,0,Right,No,No,No,No,No,No,No,No,No
Hunter Renfroe,28,RF,-0.1,42,139,122,18,19,5,0,8,22,2,0,14,37,0.156,0.252,0.393,0.645,79,0.307,92,48,3,2,0,1,0,9/H3D,0,Right,No,No,No,No,No,No,No,No,No
Kevin Kiermaier*,30,CF,1.9,49,159,138,16,30,5,3,3,22,8,1,20,42,0.217,0.321,0.362,0.683,93,0.315,94,50,2,1,0,0,1,*8/H,0,Left,No,No,No,No,No,No,No,No,No
Joey Wendle*,30,IF,1.4,50,184,168,24,48,9,2,4,17,8,2,10,35,0.286,0.342,0.435,0.777,118,0.338,113,73,1,5,0,1,1,546/H,0,Left,No,No,No,No,No,No,No,No,No
Jiman Choi*,29,1B,0.4,42,145,122,16,28,13,0,3,16,0,0,20,36,0.23,0.331,0.41,0.741,108,0.317,102,50,1,0,0,3,2,3H/D,0,Left,No,No,No,No,No,No,No,No,No
Michael Pérez*,27,C,-0.2,38,93,84,7,14,3,0,1,13,0,0,7,27,0.167,0.237,0.238,0.475,35,0.218,32,20,3,1,0,1,0,2/3H,0,Left,No,No,No,No,No,No,No,No,No
Austin Meadows*,25,LF,0.3,36,152,132,19,27,8,1,4,13,2,1,17,50,0.205,0.296,0.371,0.667,87,0.292,84,49,0,1,0,2,0,7/D9H,0,Left,No,No,No,No,No,No,No,No,No
Mike Brosseau,26,UT,1.2,36,98,86,12,26,5,1,5,12,2,0,8,31,0.302,0.378,0.558,0.936,160,0.407,161,48,1,3,0,1,0,35/4H719D,0,Right,No,No,No,No,No,No,No,No,No
Yandy Díaz,28,3B,1.1,34,138,114,16,35,3,0,2,11,0,0,23,17,0.307,0.428,0.386,0.814,133,0.377,144,44,6,1,0,0,1,5/DH3,0,Right,No,No,No,No,No,No,No,No,No
Manuel Margot,25,OF,1.1,47,159,145,19,39,9,0,1,11,12,4,13,25,0.269,0.327,0.352,0.679,93,0.324,103,51,0,0,0,1,0,*879/HD,0,Right,No,No,No,No,No,No,No,No,No
Nathaniel Lowe*,24,1B,0.3,21,76,67,10,15,2,0,4,11,1,0,9,28,0.224,0.316,0.433,0.749,109,0.319,100,29,2,0,0,0,2,3/D5H,0,Left,No,No,No,No,No,No,No,No,No
Randy Arozarena,25,LF,0.9,23,76,64,15,18,2,0,7,11,4,0,6,22,0.281,0.382,0.641,1.022,182,0.433,174,41,2,5,0,1,0,7/DH98,0,Right,No,No,No,No,No,No,No,No,No
Mike Zunino,29,C,-0.1,28,84,75,8,11,4,0,4,10,0,0,6,37,0.147,0.238,0.36,0.598,66,0.261,62,27,0,3,0,0,0,2,0,Right,No,No,No,No,No,No,No,No,No
José Martínez,31,DH,0.2,24,76,67,10,16,4,0,2,10,0,0,9,20,0.239,0.329,0.388,0.717,102,0.322,105,26,5,0,0,0,1,D/H3,0,Right,No,No,No,No,No,No,No,No,No
Kevan Smith,32,C,0.3,17,38,31,3,8,3,0,1,8,0,0,5,11,0.258,0.378,0.452,0.83,134,0.362,134,14,1,1,0,0,0,2/HD,0,Right,No,No,No,No,No,No,No,No,No
Brett Phillips*,26,OF,0.3,17,25,20,2,3,0,1,1,3,3,0,5,7,0.15,0.32,0.4,0.72,102,0.345,102,8,0,0,0,0,0,/987HD,0,Left,No,No,No,No,No,No,No,No,No
Brian O'Grady*,28,UT,0.1,2,5,5,2,2,1,0,0,0,1,0,0,1,0.4,0.4,0.6,1.0,178,0.474,179,3,0,0,0,0,0,/378,0,Left,No,No,No,No,No,No,No,No,No
