Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Bryan Reynolds#,26,CF,5.9,159,646,559,93,169,35,8,24,90,5,2,75,119,0.302,0.39,0.522,0.912,145,0.394,147,292,10,8,0,4,9,*87/HD,"AS,MVP-11",Both,No,No,No,No,No,No,No,
Jacob Stallings,31,C,3.0,112,427,374,38,92,20,1,8,53,0,0,49,85,0.246,0.335,0.369,0.704,91,0.32,94,138,10,2,0,2,0,2/H3,GG,Right,No,No,No,No,No,No,No,
Colin Moran*,28,1B,-0.1,99,359,318,29,82,12,0,10,50,1,0,36,87,0.258,0.334,0.39,0.724,96,0.323,96,124,6,2,0,3,0,3H/D5,0,Left,No,No,No,No,No,No,No,
Kevin Newman,27,SS,0.4,148,554,517,50,117,22,3,5,39,6,1,27,41,0.226,0.265,0.309,0.574,55,0.257,48,160,7,1,6,3,3,*64H,0,Right,No,No,No,No,No,No,No,
Ke'Bryan Hayes,24,3B,2.3,96,396,362,49,93,20,2,6,38,9,1,31,87,0.257,0.316,0.373,0.689,86,0.308,83,135,11,1,0,2,0,5/H,0,Right,No,No,No,No,No,No,No,
Gregory Polanco*,29,RF,-1.4,107,382,336,38,70,12,2,11,36,14,1,36,104,0.208,0.283,0.354,0.637,72,0.285,64,119,8,2,0,8,2,9H,0,Left,No,No,No,No,No,No,No,
Adam Frazier*,29,2B,3.0,98,428,386,58,125,28,4,4,32,5,4,35,46,0.324,0.388,0.448,0.836,126,0.364,127,173,6,6,0,1,1,4/7HD,AS,Left,No,No,No,No,No,No,No,
Ben Gamel*,29,LF,0.0,111,383,326,42,83,17,3,8,26,3,6,48,99,0.255,0.352,0.399,0.75,104,0.327,104,130,6,3,2,4,2,7H98/3,0,Left,No,No,No,No,No,No,No,
Yoshi Tsutsugo*,29,UT,0.1,43,144,127,20,34,8,1,8,25,0,1,15,33,0.268,0.347,0.535,0.883,135,0.371,133,68,2,1,0,1,0,93H/7D,0,Left,No,No,No,No,No,No,No,
Wilmer Difo#,29,IF,-0.1,116,240,219,25,59,7,3,4,24,1,0,20,54,0.269,0.329,0.384,0.713,93,0.323,96,84,2,0,0,1,0,H45/9681,0,Both,No,No,No,No,No,No,No,
Erik González,29,3B,-0.4,71,229,220,17,51,7,1,2,21,2,2,8,40,0.232,0.258,0.3,0.558,51,0.244,43,66,4,0,0,1,0,563H,0,Right,No,No,No,No,No,No,No,
Michael Pérez*,28,C,-0.8,70,231,210,19,30,8,1,7,21,0,1,19,68,0.143,0.221,0.29,0.511,37,0.236,36,61,4,2,0,0,1,2H/3,0,Left,No,No,No,No,No,No,No,
Phillip Evans,28,UT,-0.4,76,247,214,23,44,5,0,5,16,1,0,28,53,0.206,0.312,0.299,0.611,67,0.292,74,64,3,5,0,0,1,H3795/1D,0,Right,No,No,No,No,No,No,No,
Hoy Park*,25,UT,-0.2,44,149,127,16,25,5,2,3,14,1,1,18,38,0.197,0.299,0.339,0.638,73,0.285,70,43,4,1,1,1,1,4/5H6789,0,Left,No,No,No,No,No,No,No,
John Nogowski,28,1B,0.0,33,123,111,12,29,7,0,1,14,0,1,11,20,0.261,0.325,0.351,0.677,84,0.297,81,39,1,0,0,1,0,3/H19,0,Right,No,No,No,No,No,No,No,
Cole Tucker#,24,UT,-0.5,43,131,117,15,26,4,2,2,12,2,2,13,33,0.222,0.298,0.342,0.64,73,0.287,74,40,2,0,0,1,0,69H/483,0,Both,No,No,No,No,No,No,No,
Anthony Alford,26,LF,0.3,49,148,133,14,31,6,1,5,11,5,6,12,58,0.233,0.311,0.406,0.717,93,0.316,101,54,4,3,0,0,1,7H/89,0,Right,No,No,No,No,No,No,No,
Ka'ai Tom*,27,LF,-0.2,39,117,92,9,14,2,1,2,11,1,0,17,30,0.152,0.308,0.261,0.569,57,0.266,55,24,1,5,0,3,1,7/H,0,Left,No,No,No,No,No,No,No,
Rodolfo Castro#,22,2B,-0.4,31,93,86,9,17,2,0,5,8,0,0,6,27,0.198,0.258,0.395,0.653,74,0.282,68,34,4,1,0,0,0,4/H5,0,Both,No,No,No,No,No,No,No,
Michael Chavis,25,UT,0.1,12,42,42,4,15,3,0,1,5,0,1,0,10,0.357,0.357,0.5,0.857,129,0.353,127,21,2,0,0,0,0,/45H39,0,Right,No,No,No,No,No,No,No,
Todd Frazier,35,CI,-0.4,13,40,35,3,3,1,0,0,4,0,0,3,6,0.086,0.2,0.114,0.314,-11,0.21,16,4,1,2,0,0,0,/3H5D,0,Right,No,No,No,No,No,No,No,
Will Craig,26,1B,-0.6,18,65,60,5,13,2,0,1,3,0,0,5,22,0.217,0.277,0.3,0.577,57,0.262,53,18,1,0,0,0,1,3/H,0,Right,No,No,No,No,No,No,No,
JT Brubaker,27,P,-0.1,24,43,38,0,3,0,0,0,3,0,0,4,15,0.079,0.167,0.079,0.246,-30,0.13,-43,3,2,0,1,0,0,1/H,0,Right,No,No,No,No,No,No,No,
Oneil Cruz*,22,SS,0.1,2,9,9,2,3,0,0,1,3,0,0,0,4,0.333,0.333,0.667,1.0,162,0.423,168,6,0,0,0,0,0,/6,0,Left,No,No,No,No,No,No,No,
Dustin Fowler*,26,CF,-0.4,18,46,41,3,7,1,0,0,2,1,0,3,20,0.171,0.239,0.195,0.434,20,0.204,9,8,0,1,0,1,0,8/H9,0,Left,No,No,No,No,No,No,No,
Jared Oliva,25,OF,-0.5,20,43,40,4,7,2,0,0,2,2,0,3,10,0.175,0.233,0.225,0.458,25,0.23,21,9,0,0,0,0,1,9/H78,0,Right,No,No,No,No,No,No,No,
Troy Stokes Jr.,25,RF,0.0,8,20,18,2,2,1,0,0,2,1,0,1,5,0.111,0.2,0.167,0.367,1,0.236,26,3,0,1,0,0,0,/9H,0,Right,No,No,No,No,No,No,No,
Connor Overton*,27,P,0.1,5,1,1,1,1,0,0,0,2,0,0,0,0,1.0,1.0,1.0,2.0,447,0.899,492,1,0,0,0,0,0,/1,0,Left,No,No,No,No,No,No,No,
Tyler Anderson*,31,P,0.0,17,37,37,1,4,0,0,1,1,0,0,0,27,0.108,0.108,0.189,0.297,-22,0.125,-44,7,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Ildemaro Vargas#,29,UT,-0.4,7,13,13,0,1,0,0,0,1,0,0,0,3,0.077,0.077,0.077,0.154,-58,0.069,-84,1,0,0,0,0,0,/H57,0,Both,No,No,No,No,No,No,No,
Bryse Wilson,23,P,-0.2,7,12,9,1,0,0,0,0,1,0,0,0,4,0.0,0.0,0.0,0.0,-100,0.0,-210,0,0,0,3,0,0,/1,0,Right,No,No,No,No,No,No,No,
Taylor Davis,31,C,0.1,2,6,5,0,2,0,0,0,0,0,0,1,0,0.4,0.5,0.4,0.9,150,0.416,163,2,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No,
Wil Crowe,26,P,-0.2,27,41,35,2,2,1,0,0,0,0,0,1,14,0.057,0.108,0.086,0.194,-46,0.096,-82,3,0,1,4,0,0,1/H,0,Right,No,No,No,No,No,No,No,
Hunter Owen,27,RF,-0.1,3,5,4,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.2,-38,0.145,-29,0,0,1,0,0,0,/H9,0,Right,No,No,No,No,No,No,No,
Chase De Jong*,27,P,0.0,10,15,12,1,1,1,0,0,0,0,0,0,5,0.083,0.083,0.167,0.25,-35,0.104,-99,2,0,0,3,0,0,/1H,0,Left,No,No,No,No,No,No,No,
Mitch Keller,25,P,0.0,23,32,28,2,3,0,0,0,0,0,0,2,14,0.107,0.167,0.107,0.274,-23,0.133,-47,3,0,0,2,0,0,1/H,0,Right,No,No,No,No,No,No,No,
Max Kranick,23,P,-0.2,8,14,12,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0.0,-171,0,0,0,2,0,0,/1,0,Right,No,No,No,No,No,No,No,
Trevor Cahill,33,P,0.0,8,9,9,0,1,0,0,0,0,0,0,0,4,0.111,0.111,0.111,0.222,-39,0.089,-70,1,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Dillon Peters*,28,P,0.0,6,8,5,1,0,0,0,0,0,0,0,1,4,0.0,0.167,0.0,0.167,-49,0.116,-100,0,0,0,2,0,0,/1,0,Left,No,No,No,No,No,No,No,
Chad Kuhl,28,P,-0.1,27,24,21,1,1,0,0,0,0,0,0,1,11,0.048,0.091,0.048,0.139,-61,0.072,-97,1,0,0,2,0,0,1,0,Right,No,No,No,No,No,No,No,
Steven Brault*,29,P,0.0,7,8,6,0,1,1,0,0,0,0,0,0,2,0.167,0.167,0.333,0.5,31,0.207,-14,2,0,0,2,0,0,/1,0,Left,No,No,No,No,No,No,No,
Cody Ponce,27,P,-0.1,15,7,6,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0.0,-171,0,0,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,
Miguel Yajure,23,P,0.0,3,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-134,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Duane Underwood Jr.,26,P,-0.1,39,4,4,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0.0,-132,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Tanner Anderson,28,P,-0.1,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-135,0,1,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Chris Stratton,30,P,0.0,65,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-135,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
David Bednar*,26,P,0.0,58,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,ROY-8,Left,No,No,No,No,No,No,No,
Clay Holmes,28,P,0.0,42,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Sean Poppen,27,P,0.0,3,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Nick Mears,24,P,0.0,29,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Shelby Miller,30,P,0.0,9,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Sam Howard,28,P,0.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
