Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Christian Walker,31,1B,5.0,160,667,583,84,141,25,2,36,94,2,2,69,131,0.242,0.327,0.477,0.804,125,0.351,126,278,15,8,0,7,2,*3D/H,GG,Right,No
Daulton Varsho*,25,RF,4.8,151,592,531,79,125,23,3,27,74,16,6,46,145,0.235,0.302,0.443,0.745,108,0.328,108,235,8,7,2,5,0,*982D/H,0,Left,No
Josh Rojas*,28,3B,3.1,125,510,443,66,119,25,1,9,56,23,3,55,98,0.269,0.349,0.391,0.739,110,0.337,110,173,7,2,5,5,2,54/HD,0,Left,No
Ketel Marte#,28,2B,1.5,137,558,492,68,118,42,2,12,52,5,1,55,101,0.24,0.321,0.407,0.727,105,0.319,102,200,12,6,0,5,3,4D/H,0,Both,No
Jake McCarthy*,24,OF,2.3,99,354,321,53,91,16,3,8,43,23,3,23,76,0.283,0.342,0.427,0.769,117,0.359,123,137,3,6,3,1,0,978DH,ROY-4,Left,No
David Peralta*,34,LF,0.9,87,310,278,29,69,19,2,12,41,1,2,27,74,0.248,0.316,0.46,0.777,117,0.328,111,128,6,2,0,3,4,7H/D,0,Left,No
Geraldo Perdomo#,22,SS,0.6,148,500,431,58,84,10,2,5,40,9,2,50,103,0.195,0.285,0.262,0.547,57,0.26,57,113,3,5,12,2,0,*6/5H4,0,Both,No
Alek Thomas*,22,CF,1.3,113,411,381,45,88,17,1,8,39,4,3,22,74,0.231,0.275,0.344,0.619,75,0.276,72,131,6,3,0,5,0,*8/H,0,Left,No
Carson Kelly,27,C,0.9,104,354,317,40,67,18,0,7,35,2,0,29,71,0.211,0.282,0.334,0.617,75,0.275,70,106,10,4,0,4,0,2/H1D,0,Right,No
Pavin Smith*,26,RF,0.4,75,277,245,24,54,9,0,9,33,1,0,28,67,0.22,0.3,0.367,0.667,89,0.298,86,90,2,1,0,3,1,9D3/H,0,Left,No
Jordan Luplow,28,OF,0.1,83,234,205,26,36,5,0,11,28,5,1,25,60,0.176,0.274,0.361,0.634,79,0.295,83,74,5,3,0,1,1,9H7/D835,0,Right,No
Sergio Alcántara#,25,3B,0.1,71,186,170,23,41,8,1,6,26,1,0,10,45,0.241,0.283,0.406,0.688,93,0.308,94,69,6,1,2,3,0,564H/D,0,Both,No
Emmanuel Rivera,26,3B,0.8,39,148,132,22,30,8,0,6,18,1,2,12,37,0.227,0.304,0.424,0.728,104,0.319,106,56,1,3,0,1,0,5/D3H,0,Right,No
Cooper Hummel#,27,UT,-0.4,66,201,176,20,31,8,3,3,17,4,1,23,64,0.176,0.274,0.307,0.58,65,0.268,64,54,4,1,0,1,0,7H2D/9,0,Both,No
Corbin Carroll*,21,LF,1.1,32,115,104,13,27,9,2,4,14,2,1,8,31,0.26,0.33,0.5,0.83,132,0.362,134,52,1,3,0,0,0,7/8H9D,0,Left,No
Buddy Kennedy,23,2B,0.0,30,94,83,10,18,2,2,1,12,0,0,8,23,0.217,0.287,0.325,0.613,74,0.28,74,27,1,1,0,2,0,4/HD5,0,Right,No
Stone Garrett,26,LF,0.5,27,84,76,13,21,8,0,4,10,3,1,3,27,0.276,0.309,0.539,0.848,135,0.371,139,41,1,1,0,1,0,7/DH,0,Right,No
Seth Beer*,25,DH,-1.0,38,126,111,4,21,3,0,1,9,0,0,11,31,0.189,0.278,0.243,0.521,50,0.239,45,27,3,3,0,1,1,D/3H,0,Left,No
Nick Ahmed,32,SS,-0.1,17,54,52,7,12,2,0,3,7,0,1,2,15,0.231,0.259,0.442,0.702,95,0.306,100,23,2,0,0,0,0,6/HD,0,Right,No
José Herrera#,25,C,-0.3,47,124,111,9,21,2,0,0,5,0,0,9,34,0.189,0.25,0.207,0.457,32,0.214,24,23,1,0,4,0,0,2/DH,0,Both,No
Jake Hager,29,IF,-0.1,28,59,50,4,12,2,0,0,3,0,0,8,17,0.24,0.345,0.28,0.625,81,0.289,80,14,0,0,1,0,0,4/561DH,0,Right,No
Drew Ellis,26,3B,-0.2,6,14,13,2,2,1,0,0,1,0,0,1,6,0.154,0.214,0.231,0.445,27,0.203,20,3,0,0,0,0,0,/5,0,Right,No
Matt Davidson,31,3B,-0.1,5,13,10,1,1,0,0,1,1,0,0,3,3,0.1,0.308,0.4,0.708,99,0.317,101,4,0,0,0,0,0,/5DH,0,Right,No
Yonny Hernández#,24,IF,0.0,12,28,24,2,2,0,0,0,0,2,0,2,4,0.083,0.154,0.083,0.237,-30,0.169,-28,2,0,0,2,0,0,5/4H,0,Both,No
Grayson Greiner,29,C,0.0,2,8,6,0,1,0,0,0,0,0,0,2,3,0.167,0.375,0.167,0.542,62,0.286,79,1,0,0,0,0,0,/2,0,Right,No
Wilmer Difo#,30,MI,-0.1,3,6,6,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/64,0,Both,No
Luke Weaver,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1/DH,0,Right,No
J.B. Wendelken,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Noé Ramirez,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Sean Poppen,28,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Kyle Nelson*,25,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Reyes Moronta,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Keynan Middleton,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Mark Melancon,37,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Joe Mantiply,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS,Right,No
Ian Kennedy,37,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Kevin Ginkel*,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
