Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Adam Duvall,27,LF,3.3,150,608,552,85,133,31,6,33,103,6,5,41,164,0.241,0.297,0.498,0.795,106,0.342,106,275,7,6,0,8,1,*7/93H5,AS,Right,No,No,No,No,No,No,No,
Joey Votto*,32,1B,4.2,158,677,556,101,181,34,2,29,97,8,1,108,120,0.326,0.434,0.55,0.985,160,0.421,162,306,16,5,0,8,15,*3/HD,MVP-7,Left,No,No,No,No,No,No,No,
Jay Bruce*,29,RF,0.9,97,402,370,60,98,22,6,25,80,4,2,27,83,0.265,0.316,0.559,0.875,126,0.371,126,207,11,2,0,3,3,9/8DH,AS,Left,No,No,No,No,No,No,No,
Eugenio Suárez,24,3B,1.6,159,627,565,78,140,25,2,21,70,11,5,51,155,0.248,0.317,0.411,0.728,92,0.326,93,232,10,8,0,3,0,*5/H6D,0,Right,No,No,No,No,No,No,No,
Brandon Phillips,35,2B,0.1,141,584,550,74,160,34,1,11,64,14,8,18,68,0.291,0.32,0.416,0.736,94,0.331,98,229,17,8,2,6,3,*4/D,0,Right,No,No,No,No,No,No,No,
Tucker Barnhart*,25,C,0.9,115,420,377,34,97,23,1,7,51,1,0,36,72,0.257,0.323,0.379,0.702,86,0.318,87,143,12,2,2,3,8,2/H,0,Left,No,No,No,No,No,No,No,
Zack Cozart,30,SS,2.2,121,508,464,67,117,28,2,16,50,4,1,37,84,0.252,0.308,0.425,0.732,92,0.318,87,197,9,2,1,4,3,*6H/D,0,Right,No,No,No,No,No,No,No,
Scott Schebler*,25,RF,0.5,82,282,257,36,68,12,2,9,40,2,4,19,59,0.265,0.33,0.432,0.762,101,0.333,103,111,5,6,0,0,2,98H7,0,Left,No,No,No,No,No,No,No,
José Peraza,22,SS,0.3,72,256,241,25,78,8,2,3,25,21,10,7,33,0.324,0.352,0.411,0.762,102,0.333,99,99,3,5,0,3,0,684H/7D,0,Right,No,No,No,No,No,No,No,
Ramón Cabrera#,26,C,0.1,61,185,171,11,42,10,0,3,23,1,1,8,30,0.246,0.279,0.357,0.635,68,0.287,66,61,5,1,2,3,1,2H,0,Both,No,No,No,No,No,No,No,
Iván De Jesús,29,SS,-0.1,104,243,221,21,56,10,0,1,20,3,1,17,51,0.253,0.311,0.312,0.623,67,0.295,70,69,6,2,2,1,1,H6453/7,0,Right,No,No,No,No,No,No,No,
Billy Hamilton,25,CF,3.1,119,460,411,69,107,19,3,3,17,58,8,36,93,0.26,0.321,0.343,0.664,77,0.318,71,141,5,1,11,1,0,*8/H,0,Right,No,No,No,No,No,No,No,
Tyler Holt,27,CF,-1.0,106,208,179,21,42,5,3,0,13,4,3,23,48,0.235,0.327,0.296,0.623,68,0.287,66,53,6,2,3,1,0,H897/1,0,Right,No,No,No,No,No,No,No,
Steve Selsky,26,OF,0.2,24,54,51,9,16,2,0,2,7,1,0,2,22,0.314,0.34,0.471,0.81,113,0.358,113,24,1,0,1,0,0,9H/78,0,Right,No,No,No,No,No,No,No,
Tony Renda,25,UT,-0.4,32,67,60,4,11,2,0,0,3,0,0,5,11,0.183,0.246,0.217,0.463,25,0.214,9,13,4,0,2,0,0,H/4795,0,Right,No,No,No,No,No,No,No,
Tim Adleman,28,P,0.1,12,23,21,2,4,2,0,0,3,0,0,0,11,0.19,0.19,0.286,0.476,24,0.247,31,6,0,0,2,0,0,1,0,Right,No,No,No,No,No,No,No,
Michael Lorenzen,24,P,0.1,35,5,5,1,1,0,0,1,3,0,0,0,2,0.2,0.2,0.8,1.0,148,0.403,149,4,0,0,0,0,0,1/H,0,Right,No,No,No,No,No,No,No,
Brandon Finnegan*,23,P,-0.1,31,61,53,4,6,2,0,0,2,0,0,3,18,0.113,0.161,0.151,0.312,-16,0.146,-49,8,2,0,5,0,0,1/H,0,Left,No,No,No,No,No,No,No,
Hernán Iribarren*,32,UT,0.2,24,45,45,6,14,0,3,0,2,1,0,0,11,0.311,0.311,0.444,0.756,98,0.346,104,20,2,0,0,0,0,H/8439,0,Left,No,No,No,No,No,No,No,
Devin Mesoraco,28,C,-0.2,16,55,50,2,7,1,0,0,1,0,1,5,10,0.14,0.218,0.16,0.378,3,0.188,0,8,3,0,0,0,0,2/H,0,Right,No,No,No,No,No,No,No,
Alfredo Simón,35,P,0.1,13,19,14,0,1,0,0,0,1,0,0,1,7,0.071,0.188,0.071,0.259,-27,0.258,34,1,1,1,3,0,0,1,0,Right,No,No,No,No,No,No,No,
Dan Straily,27,P,-0.5,32,65,52,2,1,0,0,0,1,0,0,2,40,0.019,0.056,0.019,0.075,-79,0.076,-126,1,0,0,11,0,0,1,0,Right,No,No,No,No,No,No,No,
Kyle Waldrop*,24,OF,-0.2,15,23,22,1,5,1,0,0,1,0,1,1,5,0.227,0.261,0.273,0.534,43,0.259,61,6,0,0,0,0,0,H/79D,0,Left,No,No,No,No,No,No,No,
Anthony DeSclafani,26,P,-0.1,19,43,41,0,5,1,0,0,1,0,0,1,22,0.122,0.143,0.146,0.289,-23,0.154,-34,6,1,0,1,0,0,1,0,Right,No,No,No,No,No,No,No,
Rafael Lopez*,28,UT,-0.2,8,7,7,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0.0,-143,0,0,0,0,0,0,/H23D,0,Left,No,No,No,No,No,No,No,
Jordan Pacheco,30,IF,-0.7,31,51,51,1,8,4,0,0,0,0,0,0,14,0.157,0.157,0.235,0.392,2,0.168,-21,12,1,0,0,0,0,H/534D,0,Right,No,No,No,No,No,No,No,
John Lamb*,25,P,-0.2,12,22,20,0,1,0,0,0,0,0,0,1,12,0.05,0.095,0.05,0.145,-60,0.071,-100,1,0,0,1,0,0,1,0,Left,No,No,No,No,No,No,No,
Patrick Kivlehan,26,RF,-0.1,3,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-144,0,0,0,0,0,0,/9H,0,Right,No,No,No,No,No,No,No,
Cody Reed*,23,P,-0.1,9,14,11,1,0,0,0,0,0,0,0,1,6,0.0,0.083,0.0,0.083,-75,0.058,-133,0,0,0,2,0,0,1,0,Left,No,No,No,No,No,No,No,
