Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Yandy Díaz,32,1B,1.6,145,621,563,55,158,31,1,14,65,0,0,50,95,0.281,0.341,0.414,0.755,116,0.336,119,233,12,4,0,4,0,*3D/H,0
Brandon Lowe*,29,2B,2.4,107,425,385,56,94,19,3,21,58,5,1,33,112,0.244,0.311,0.473,0.783,121,0.339,120,182,7,5,0,2,2,4D3H,0
Isaac Paredes,25,3B,2.4,101,429,363,41,89,19,1,16,55,0,1,52,68,0.245,0.357,0.435,0.792,127,0.349,129,158,13,12,0,2,2,53D/H,AS
Jose Siri,28,CF,1.8,130,448,402,50,75,16,1,18,47,14,7,31,170,0.187,0.255,0.366,0.62,76,0.272,73,147,5,7,2,4,0,*8/H3D,0
José Caballero,27,SS,1.6,139,483,441,53,100,24,1,9,44,44,16,27,133,0.227,0.283,0.347,0.63,80,0.292,83,153,6,9,3,3,1,654H/D,0
Randy Arozarena,29,LF,0.7,100,409,350,45,74,19,0,15,37,16,7,45,101,0.211,0.318,0.394,0.712,104,0.316,104,138,3,11,0,3,0,7/8HD,0
Josh Lowe*,26,RF,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,0.241,0.302,0.391,0.693,98,0.315,93,138,2,0,0,2,4,97/HD8,0
Ben Rortvedt*,26,C,0.9,112,328,290,27,66,13,0,3,31,1,0,34,88,0.228,0.317,0.303,0.621,80,0.287,83,88,6,4,0,0,0,*2H/1,0
Jonny DeLuca,25,OF,0.6,107,362,332,29,72,12,4,6,31,16,6,24,77,0.217,0.278,0.331,0.609,75,0.279,76,110,1,4,2,0,1,98H7/D,0
Amed Rosario,28,UT,0.5,76,275,264,22,81,17,3,2,26,9,4,7,48,0.307,0.331,0.417,0.748,114,0.333,116,110,9,3,0,1,0,4956DH,0
Richie Palacios*,27,UT,1.8,92,316,264,46,59,8,1,5,21,19,1,45,67,0.223,0.346,0.318,0.664,94,0.318,96,84,5,5,0,1,2,497H/D56,0
Junior Caminero,20,3B,0.7,43,177,165,15,41,9,1,6,18,2,0,11,38,0.248,0.299,0.424,0.724,105,0.315,102,70,2,1,0,0,2,5/D3H,0
Taylor Walls#,27,SS,1.4,84,252,218,27,40,5,3,1,14,16,4,31,67,0.183,0.282,0.248,0.529,55,0.251,53,54,3,0,0,3,0,6/HD,0
Dylan Carlson#,25,LF,-0.3,37,127,114,7,25,2,0,3,14,2,0,10,38,0.219,0.299,0.316,0.615,78,0.281,77,36,0,3,0,0,0,7/H9D,0
Jonathan Aranda*,26,1B,0.7,44,143,128,22,30,7,0,6,14,0,0,12,32,0.234,0.308,0.43,0.737,109,0.325,111,55,2,2,0,1,0,3DH/45,0
Harold Ramírez,29,DH,0.1,48,169,164,21,44,3,0,1,13,5,2,3,33,0.268,0.284,0.305,0.589,70,0.267,69,50,2,1,0,1,0,D/H97,0
Alex Jackson,28,C,-0.4,58,155,139,17,17,7,0,3,12,1,0,12,53,0.122,0.201,0.237,0.439,26,0.213,29,33,2,2,1,1,0,2/H,0
Christopher Morel,25,2B,-0.8,49,190,173,13,33,4,2,3,9,1,2,14,56,0.191,0.258,0.289,0.547,57,0.241,53,50,4,2,0,1,1,4D7/H,0
Curtis Mead,23,IF,-0.5,38,132,122,10,29,3,0,1,7,2,0,6,30,0.238,0.282,0.287,0.569,65,0.259,61,35,2,2,0,1,0,45/DH3,0
René Pinto,27,C,-0.1,19,49,42,5,9,3,0,2,6,0,0,4,18,0.214,0.292,0.429,0.72,104,0.306,97,18,0,1,1,1,0,2,0
Logan Driscoll*,26,C,-0.1,15,37,35,2,6,0,0,1,5,0,0,1,6,0.171,0.189,0.257,0.446,27,0.186,11,9,0,0,0,1,0,2,0
Austin Shenton*,26,1B,0.1,19,50,42,3,9,5,0,1,3,0,0,8,14,0.214,0.34,0.405,0.745,114,0.329,114,17,1,0,0,0,0,3/HD,0
Niko Goodrum#,32,UT,-0.4,9,18,16,1,3,0,0,0,0,0,1,1,6,0.188,0.235,0.188,0.423,24,0.169,16,3,0,0,1,0,0,/7H346,0
Kameron Misner*,26,OF,-0.3,8,15,15,0,1,0,0,0,0,0,0,0,10,0.067,0.067,0.067,0.133,-61,0.06,-79,1,0,0,0,0,0,/7H8,0
Rob Brantly*,34,C,0.0,3,9,9,0,1,0,0,0,0,0,0,0,2,0.111,0.111,0.111,0.222,-36,0.099,-51,1,0,0,0,0,0,/2,0
