Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Shohei Ohtani*,28,DH,6.0,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,185,0.435,180,325,9,3,0,3,21,*D1,"AS,MVP-1,SS",Left,No
Brandon Drury,30,2B,1.9,125,523,485,61,127,30,3,26,83,0,2,25,136,0.262,0.306,0.497,0.803,114,0.339,112,241,14,8,0,5,0,43/DH,0,Right,No
Hunter Renfroe,31,RF,0.0,126,504,459,56,111,31,0,19,56,0,0,39,113,0.242,0.304,0.434,0.737,99,0.321,97,199,15,3,0,3,0,*9/H3,0,Right,No
Luis Rengifo#,26,IF,1.9,126,445,394,55,104,15,4,16,51,6,4,41,82,0.264,0.339,0.444,0.783,112,0.339,112,175,3,6,0,4,0,4659H/78,0,Both,No
Taylor Ward,29,LF,1.7,97,409,356,60,90,18,0,14,47,4,2,39,80,0.253,0.335,0.421,0.756,105,0.336,108,150,9,8,0,6,0,7/H3,0,Right,No
Mickey Moniak*,25,CF,2.2,85,323,311,35,87,21,2,14,45,6,3,9,113,0.28,0.307,0.495,0.802,114,0.339,111,154,4,3,0,0,1,897/H,0,Left,No
Mike Trout,31,CF,2.9,82,362,308,54,81,14,1,18,44,2,0,45,104,0.263,0.367,0.49,0.858,132,0.366,129,151,4,7,0,2,2,8/DH,AS,Right,No
Zach Neto,22,SS,1.6,84,329,289,38,65,17,0,9,34,5,1,20,77,0.225,0.308,0.377,0.685,86,0.313,90,109,5,16,1,3,0,6/H,0,Right,No
Mike Moustakas*,34,CI,-0.5,65,250,237,22,56,8,0,8,31,0,0,6,61,0.236,0.256,0.371,0.627,69,0.277,66,88,6,2,0,5,0,53/DH,0,Left,No
Matt Thaiss*,28,C,0.4,95,307,262,32,56,6,0,9,31,2,0,36,83,0.214,0.319,0.34,0.659,81,0.302,83,89,4,6,0,3,1,2H/D3,0,Left,No
Logan O'Hoppe,23,C,0.6,51,199,182,23,43,6,0,14,29,0,1,14,48,0.236,0.296,0.5,0.796,112,0.331,107,91,4,2,0,1,0,2/DH,0,Right,No
Gio Urshela,31,CI,0.8,62,228,214,22,64,8,1,2,24,3,2,10,36,0.299,0.329,0.374,0.703,92,0.31,91,80,9,1,0,3,0,53/6H4,0,Right,No
Anthony Rendon,33,3B,0.1,43,183,148,23,35,6,0,2,22,2,0,25,27,0.236,0.361,0.318,0.678,89,0.319,94,47,6,6,0,4,0,5,0,Right,No
Randal Grichuk,31,LF,0.3,54,208,194,25,42,12,1,8,17,0,0,11,45,0.216,0.264,0.412,0.677,81,0.287,73,80,5,2,0,1,0,7/H8D,0,Right,No
Eduardo Escobar#,34,3B,-1.2,59,189,178,17,39,3,3,2,15,0,1,10,54,0.219,0.259,0.303,0.563,54,0.253,51,54,3,0,0,1,0,5H4/31D,0,Both,No
Chad Wallach,31,C,0.1,65,172,157,18,31,5,1,7,15,0,1,13,57,0.197,0.259,0.376,0.635,71,0.281,71,59,5,0,2,0,0,2/HD3,0,Right,No
David Fletcher,29,MI,0.1,33,97,89,7,22,1,0,2,12,0,0,7,9,0.247,0.302,0.326,0.628,72,0.275,64,29,2,0,1,0,1,64/5H,0,Right,No
Jared Walsh*,29,1B,-0.9,39,116,104,10,13,4,0,4,11,0,0,11,45,0.125,0.216,0.279,0.494,34,0.221,26,29,1,1,0,0,0,3/9HD,0,Left,No
