Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Marcell Ozuna,27,LF,2.4,148,628,582,69,163,16,2,23,88,3,0,38,110,0.28,0.325,0.433,0.758,106,0.337,108,252,10,3,0,4,2,*7/H,0,Right,No
José Martínez,29,1B,1.8,152,590,534,64,163,30,0,17,83,0,3,49,104,0.305,0.364,0.457,0.821,124,0.365,131,244,15,2,2,3,0,39H/D,0,Right,No
Matt Carpenter*,32,CI,4.4,156,677,564,111,145,42,0,36,81,4,1,102,158,0.257,0.374,0.523,0.897,143,0.379,140,295,0,6,0,4,17,354/HD,MVP-9,Left,No
Yadier Molina,35,C,1.5,123,503,459,55,120,20,0,20,74,4,3,29,66,0.261,0.314,0.436,0.75,103,0.333,106,200,15,9,0,6,0,*2/3H,"AS,GG",Right,No
Paul DeJong,24,SS,2.9,115,490,436,68,105,25,1,19,68,1,1,36,123,0.241,0.313,0.433,0.746,102,0.331,104,189,6,12,0,5,2,*6/H,0,Right,No
Jedd Gyorko,29,3B,0.8,125,402,351,49,92,19,1,11,47,2,0,44,77,0.262,0.346,0.416,0.762,108,0.335,106,146,12,3,0,4,0,5H4/361,0,Right,No
Yairo Muñoz,23,MI,0.3,108,329,293,39,81,16,0,8,42,5,6,30,71,0.276,0.35,0.413,0.763,109,0.33,107,121,3,4,0,2,7,645H9/78,0,Right,No
Tommy Pham,30,CF,0.8,98,396,351,67,87,11,0,14,41,10,6,42,97,0.248,0.331,0.399,0.73,99,0.33,104,140,12,2,0,1,1,8/H,0,Right,No
Kolten Wong*,27,2B,2.9,127,407,353,41,88,18,2,9,38,6,5,31,60,0.249,0.332,0.388,0.72,97,0.319,96,137,6,14,6,3,3,*4H,0,Left,No
Harrison Bader,24,OF,3.4,138,427,379,61,100,20,2,12,37,15,3,31,125,0.264,0.334,0.422,0.756,106,0.338,105,160,1,11,2,4,3,*89H/7,ROY-6,Right,No
Dexter Fowler#,32,RF,-1.4,90,334,289,40,52,10,0,8,31,5,2,38,75,0.18,0.278,0.298,0.576,59,0.271,59,86,2,3,0,4,0,9H,0,Both,No
Tyler O'Neill,23,OF,1.2,61,142,130,29,33,5,0,9,23,2,0,7,57,0.254,0.303,0.5,0.803,115,0.358,121,65,0,3,0,2,0,H97/8,0,Right,No
Greg Garcia*,28,MI,-0.1,114,208,181,15,40,6,0,3,15,3,1,20,37,0.221,0.309,0.304,0.613,70,0.282,66,55,3,4,1,2,1,H465/1,0,Left,No
Patrick Wisdom,26,CI,0.5,32,58,50,11,13,1,0,4,10,2,1,6,19,0.26,0.362,0.52,0.882,139,0.38,140,26,1,2,0,0,0,H5/3,0,Right,No
Matt Adams*,29,1B,-0.4,27,60,57,5,9,1,0,3,9,0,0,3,18,0.158,0.2,0.333,0.533,43,0.24,36,19,0,0,0,0,1,3H,0,Left,No
Francisco Peña,28,C,-1.1,58,142,133,10,27,3,0,2,8,1,0,6,43,0.203,0.239,0.271,0.51,40,0.224,22,36,5,1,0,2,3,2/H3,0,Right,No
Miles Mikolas,29,P,0.3,32,71,63,4,9,1,0,2,6,0,0,2,33,0.143,0.167,0.254,0.421,13,0.182,-13,16,0,0,5,1,0,1/H,"AS,CYA-6",Right,No
Austin Gomber*,24,P,0.1,27,21,19,1,4,1,0,0,4,0,0,0,3,0.211,0.211,0.263,0.474,29,0.198,-3,5,0,0,2,0,0,1,0,Left,No
Carlos Martínez,26,P,0.3,33,36,33,1,8,2,0,1,4,0,0,0,11,0.242,0.235,0.394,0.629,69,0.261,49,13,0,0,2,1,0,1/H,0,Right,No
Carson Kelly,23,C,-0.4,19,42,35,1,4,0,0,0,3,0,0,3,7,0.114,0.205,0.114,0.319,-9,0.162,-29,4,0,1,3,0,0,2/H,0,Right,No
Luke Voit,27,1B,0.1,8,13,11,2,2,0,0,1,3,0,0,2,4,0.182,0.308,0.455,0.762,106,0.403,156,5,0,0,0,0,0,/H3,0,Right,No
John Gant,25,P,-0.1,27,34,31,2,2,0,0,2,3,0,0,0,14,0.065,0.065,0.258,0.323,-17,0.132,-56,8,0,0,3,0,0,1/H,0,Right,No
Luke Weaver,24,P,-0.1,33,46,38,4,6,0,0,0,2,0,0,1,14,0.158,0.179,0.158,0.337,-6,0.154,-48,6,1,0,7,0,0,1/H,0,Right,No
Adolis García,25,OF,-0.3,21,17,17,3,2,1,0,0,1,0,0,0,7,0.118,0.118,0.176,0.294,-21,0.127,-46,3,0,0,0,0,0,H/978,0,Right,No
Michael Wacha,26,P,0.0,15,32,25,3,2,0,0,0,1,0,0,1,9,0.08,0.115,0.08,0.195,-45,0.158,-52,2,0,0,6,0,0,1,0,Right,No
Daniel Ponce de Leon,26,P,0.0,10,10,9,0,1,0,1,0,1,0,0,0,4,0.111,0.111,0.333,0.444,15,0.176,-21,3,0,0,1,0,0,1/H,0,Right,No
Tyson Ross,31,P,0.3,8,4,3,1,2,0,0,1,1,0,0,0,0,0.667,0.667,1.667,2.333,512,0.95,712,5,0,0,1,0,0,/1,0,Right,No
Adam Wainwright,36,P,-0.1,8,12,11,0,1,0,0,0,1,0,0,0,6,0.091,0.091,0.091,0.182,-50,0.082,-95,1,0,0,1,0,0,/1,0,Right,No
Steven Baron,27,C,0.0,2,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,11,0.18,-7,1,0,0,0,0,0,/2H,0,Right,No
Jack Flaherty,22,P,0.0,28,52,46,2,7,0,0,0,0,0,0,2,20,0.152,0.188,0.152,0.34,-5,0.158,-33,7,0,0,4,0,0,1/H,ROY-5,Right,No
Edmundo Sosa,22,2B,0.0,3,3,2,1,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,3,0.231,30,0,0,0,0,0,0,/H4,0,Right,No
John Brebbia*,28,P,0.0,43,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-141,0,0,0,0,0,0,1,0,Left,No
Mike Mayers,26,P,0.0,48,2,1,0,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,55,0.346,114,0,0,0,0,0,0,1,0,Right,No
Alex Reyes,23,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,/1,0,Right,No
Matt Bowman,27,P,0.0,21,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,1,0,Right,No
Chasen Shreve*,27,P,0.0,19,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,1,0,Left,No
Jordan Hicks,21,P,0.0,67,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,1,0,Right,No
Dakota Hudson,23,P,0.0,24,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-136,0,0,0,0,0,0,1,0,Right,No
Tyler Lyons*,30,P,0.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Luke Gregerson*,34,P,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Preston Guilmet,30,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
Tyler Webb*,27,P,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Greg Holland,32,P,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Dominic Leone,26,P,0.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Sam Tuivailala,25,P,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Bud Norris,33,P,0.0,61,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Ryan Sherriff*,28,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Left,No
Brett Cecil,31,P,0.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No
Giovanny Gallegos,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No
