Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Freddie Freeman*,28,1B,5.5,162,707,618,94,191,44,4,23,98,10,3,76,132,0.309,0.388,0.505,0.892,139,0.392,144,312,11,7,0,6,12,*3/H,"AS,MVP-4,GG",Left,No,No,No,No,No,No,No,No,No
Nick Markakis*,34,RF,2.6,162,705,623,78,185,43,2,14,93,1,1,72,80,0.297,0.366,0.44,0.806,116,0.352,115,274,18,1,0,9,10,*9/7D,"AS,MVP-18,GG,SS",Left,No,No,No,No,No,No,No,No,No
Johan Camargo#,24,3B,3.3,134,524,464,63,126,27,1,19,76,1,1,51,108,0.272,0.349,0.457,0.806,115,0.357,119,212,13,6,0,3,4,*56/H4,0,Both,No,No,No,No,No,No,No,No,No
Ozzie Albies#,21,2B,4.1,158,684,639,105,167,40,5,24,72,14,3,36,116,0.261,0.305,0.452,0.757,101,0.337,102,289,9,5,1,3,0,*4/H,AS,Both,No,No,No,No,No,No,No,No,No
Ronald Acuña Jr.,20,LF,3.9,111,487,433,78,127,26,4,26,64,16,5,45,123,0.293,0.366,0.552,0.917,143,0.398,147,239,4,6,0,3,2,78/9HD,"MVP-12,ROY-1",Right,No,No,No,No,No,No,No,No,No
Ender Inciarte*,27,CF,3.1,156,660,597,83,158,27,6,10,61,28,14,49,86,0.265,0.325,0.38,0.705,90,0.315,88,227,6,6,4,4,1,*8/H,GG,Left,No,No,No,No,No,No,No,No,No
Dansby Swanson,24,SS,2.2,136,533,478,51,114,25,4,14,59,10,4,44,122,0.238,0.304,0.395,0.699,87,0.307,80,189,5,2,6,3,15,*6/H,0,Right,No,No,No,No,No,No,No,No,No
Kurt Suzuki,34,C,2.0,105,388,347,45,94,24,0,12,50,0,0,22,43,0.271,0.332,0.444,0.776,107,0.343,108,154,6,13,0,6,0,2H/D,0,Right,No,No,No,No,No,No,No,No,No
Charlie Culberson,29,UT,0.7,113,322,296,47,80,18,2,12,45,4,2,21,85,0.27,0.326,0.466,0.792,111,0.352,116,138,5,4,0,1,5,H756/4391,0,Right,No,No,No,No,No,No,No,No,No
Tyler Flowers,32,C,0.7,82,296,251,34,57,9,0,8,30,0,0,35,76,0.227,0.341,0.359,0.7,90,0.32,91,90,6,9,0,1,0,2/HD,0,Right,No,No,No,No,No,No,No,No,No
Preston Tucker*,27,LF,0.0,80,142,129,15,31,10,0,4,22,0,0,9,34,0.24,0.303,0.411,0.714,90,0.322,93,53,2,3,0,1,0,H7/9,0,Left,No,No,No,No,No,No,No,No,No
Ryan Flaherty*,31,3B,-1.0,81,182,161,17,35,6,0,2,13,4,2,18,41,0.217,0.298,0.292,0.59,61,0.257,44,47,5,1,1,1,4,5H/34,0,Left,No,No,No,No,No,No,No,No,No
Lane Adams,28,OF,0.3,26,29,25,10,6,1,0,2,6,1,0,4,8,0.24,0.345,0.52,0.865,129,0.406,148,13,1,0,0,0,0,H/978,0,Right,No,No,No,No,No,No,No,No,No
José Bautista,37,3B,-0.4,12,40,35,3,5,1,0,2,5,0,0,5,12,0.143,0.25,0.343,0.593,58,0.265,52,12,0,0,0,0,0,/5DH,0,Right,No,No,No,No,No,No,No,No,No
Peter Bourjos,31,OF,0.0,36,47,44,5,9,2,1,1,4,0,0,2,15,0.205,0.239,0.364,0.603,60,0.279,61,16,0,0,1,0,0,7H/89,0,Right,No,No,No,No,No,No,No,No,No
