Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Willard Brown,33,CF,2.6,46,197,174,43,71,23,2,7,54,8,22,0.408,0.477,0.684,1.161,208.0,0.517,193.0,119,1,0,Right
Hank Thompson*,22,RF,2.1,47,206,175,50,59,13,5,5,29,12,27,0.337,0.431,0.554,0.986,162.0,0.453,155.0,97,2,2,Left
