Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Jimmy Ford,31,3B,0.1,25,100,90,8,25,3,0,1,13,2,7,0.278,0.337,0.344,0.681,110.0,0.332,110.0,31,1,1,2,0,Right
Fred Bankhead,31,2B,0.5,26,102,91,19,28,3,1,0,10,5,5,0.308,0.351,0.363,0.713,119.0,0.352,119.0,33,0,1,5,0,Right
