Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB
Tommy Sampson,28,2B,0.8,26,97,88,11,26,3,3,0,18,1,4,0.295,0.326,0.398,0.724,117.0,0.34,113.0,35,1,0,5,0
Lyman Bostock*,23,1B,1.4,23,84,73,10,34,4,3,0,15,1,4,0.466,0.494,0.603,1.096,229.0,0.511,230.0,44,0,0,7,0
Lester Lockett,29,3B,0.7,26,101,93,22,31,3,1,1,11,2,5,0.333,0.38,0.419,0.799,140.0,0.381,138.0,39,0,2,1,0
Paul Hardy,30,C,0.6,22,68,62,8,18,0,2,1,9,1,5,0.29,0.343,0.403,0.747,124.0,0.353,121.0,25,0,0,1,0
Jesse Douglas*,25,LF,0.1,26,105,96,12,25,3,2,0,8,1,5,0.26,0.304,0.333,0.637,91.0,0.305,90.0,32,0,1,3,0
Alfred Saylor#,29,UT,0.3,16,48,44,5,16,0,0,0,8,0,4,0.364,0.417,0.364,0.78,135.0,0.38,137.0,16,0,0,0,0
Ulysses Redd,26,SS,0.1,17,61,54,6,13,0,1,0,3,0,5,0.241,0.305,0.278,0.583,76.0,0.287,78.0,15,0,0,2,0
Nora Listach,31,RF,-0.1,9,32,28,5,7,1,0,0,3,1,3,0.25,0.323,0.286,0.608,83.0,0.302,87.0,8,0,0,1,0
Hoss Walker,36,IF,-0.2,13,43,38,3,4,2,0,0,2,0,3,0.105,0.19,0.158,0.348,5.0,0.182,11.0,6,0,1,1,0
Emanuel Sampson,30,OF,-0.1,8,31,27,4,5,3,0,0,2,0,3,0.185,0.267,0.296,0.563,69.0,0.275,70.0,8,0,0,1,0
Willie Nixon,24,OF,0.2,8,22,20,3,5,0,1,1,2,0,0,0.25,0.286,0.5,0.786,135.0,0.364,128.0,10,0,1,1,0
Johnnie Dawson,26,OF,0.2,3,5,5,1,4,0,0,0,2,0,0,0.8,0.8,0.8,1.6,381.0,0.765,376.0,4,0,0,0,0
Goose Tatum#,23,OF,0.2,6,16,12,3,5,0,0,0,2,0,3,0.417,0.533,0.417,0.95,187.0,0.447,190.0,5,0,0,1,1
Dan Bankhead,21,P,0.2,11,27,20,2,4,1,0,0,2,0,2,0.2,0.304,0.25,0.554,67.0,0.283,72.0,5,0,1,4,0
Jimmy Wilson,21,CF,0.0,10,37,35,3,7,1,1,0,1,2,1,0.2,0.243,0.286,0.529,59.0,0.262,59.0,10,0,1,0,0
Spike Bland,,C,0.0,2,5,5,0,1,1,0,0,1,0,0,0.2,0.2,0.4,0.6,79.0,0.274,71.0,2,0,0,0,0
Cap Tyson,38,C,0.1,3,8,8,1,3,0,1,0,1,0,0,0.375,0.375,0.625,1.0,199.0,0.457,184.0,5,0,0,0,0
Joe Spencer,21,OF,0.1,2,8,7,0,4,1,0,0,1,1,0,0.571,0.571,0.714,1.286,286.0,0.624,304.0,5,0,0,1,0
Lloyd Davenport*,29,OF,0.0,3,13,12,1,1,1,0,0,0,0,1,0.083,0.154,0.167,0.321,-4.0,0.162,1.0,2,0,0,0,0
Winfield Welch*,41,OF,-0.1,2,5,4,1,0,0,0,0,0,0,1,0.0,0.2,0.0,0.2,-38.0,0.148,-9.0,0,0,0,0,0
Eddie Snead,30,OF,0.0,3,3,2,1,0,0,0,0,0,0,1,0.0,0.333,0.0,0.333,3.0,0.247,54.0,0,0,0,0,0
Alvin Gipson,27,P,0.0,12,23,20,1,4,0,0,0,0,0,0,0.2,0.2,0.2,0.4,20.0,0.191,6.0,4,0,0,3,0
Johnny Markham,32,P,-0.2,9,17,17,1,1,0,0,0,0,0,0,0.059,0.059,0.059,0.118,-65.0,0.056,-65.0,1,0,0,0,0
Gready McKinnis,27,P,0.0,6,12,10,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,20.0,0.191,3.0,2,0,0,2,0
John Ware,20,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,0,0,0
Gentry Jessup,26,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-92.0,0,0,0,0,0
Lee Johnson,,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
