Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Henry McCall*,30,1B,0.1,23,94,92,11,28,3,3,1,16,1,2,0.304,0.319,0.435,0.754,115.0,0.341,108.0,40,0,0,Left
Sylvester Owens,,CF,-0.2,25,96,90,8,19,1,1,0,11,2,5,0.211,0.253,0.244,0.497,43.0,0.238,48.0,22,0,1,Right
Fred Bankhead,25,2B,-0.1,28,117,102,12,21,0,2,1,10,4,11,0.206,0.296,0.275,0.57,64.0,0.281,71.0,28,2,2,Right
