Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Cristóbal Torriente*,32,CF,3.0,77,323,276,58,97,17,6,5,65,18,37,0.351,0.446,0.511,0.957,146.0,0.443,149.0,141,10,Left
Newt Joseph,29,3B,0.9,64,243,210,40,62,12,5,4,47,8,32,0.295,0.391,0.457,0.848,118.0,0.39,119.0,96,1,Right
Newt Allen,25,SS,1.6,78,334,306,52,76,11,6,1,40,20,26,0.248,0.311,0.333,0.645,66.0,0.308,66.0,102,2,Right
Wade Johnston*,28,LF,0.4,64,273,247,39,76,11,3,3,35,16,22,0.308,0.374,0.413,0.787,103.0,0.371,104.0,102,4,Left
Dink Mothell#,28,2B,1.9,76,296,267,51,79,14,6,1,34,13,21,0.296,0.365,0.404,0.769,98.0,0.361,100.0,108,8,Both
Lemuel Hawkins*,30,1B,0.6,72,278,246,37,66,8,4,0,31,5,29,0.268,0.353,0.333,0.686,78.0,0.327,82.0,82,3,Left
Hurley McNair*,37,RF,1.0,66,272,232,41,69,15,4,0,29,18,38,0.297,0.401,0.397,0.797,106.0,0.384,112.0,92,2,Left
Frank Duncan,25,C,1.0,57,193,166,32,47,9,1,4,22,3,25,0.283,0.383,0.422,0.805,108.0,0.373,110.0,70,2,Right
Dobie Moore,30,SS,1.2,17,72,60,14,24,4,3,0,18,7,11,0.4,0.5,0.567,1.067,175.0,0.494,178.0,34,1,Right
Bullet Rogan,32,P,1.0,53,163,136,30,39,7,3,1,18,7,23,0.287,0.405,0.404,0.809,109.0,0.385,115.0,55,4,Right
William Bell,28,P,0.3,29,80,75,8,19,5,2,0,14,1,5,0.253,0.3,0.373,0.673,73.0,0.306,69.0,28,0,Right
Tom Young*,23,C,0.7,36,111,98,18,31,4,3,1,12,1,12,0.316,0.396,0.449,0.845,118.0,0.388,119.0,44,1,Left
