Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Bats
Alex Radcliff,37,3B,1.4,30,126,122,13,45,7,1,1,19,2,4,0.369,0.389,0.467,0.856,164.0,0.404,154.0,57,0,0,0,Right
Lloyd Davenport*,31,CF,1.2,34,155,147,23,46,6,2,1,17,3,8,0.313,0.348,0.401,0.75,132.0,0.356,126.0,59,0,0,0,Left
Art Pennington#,20,2B,0.4,31,127,118,18,28,2,4,2,16,1,9,0.237,0.291,0.373,0.664,105.0,0.315,102.0,44,0,0,0,Both
Ed Young,30,1B,0.4,28,111,104,15,31,6,2,1,13,0,5,0.298,0.336,0.423,0.759,134.0,0.36,128.0,44,1,1,0,Right
Babe Charter,32,UT,0.1,21,87,85,10,21,3,0,2,10,1,2,0.247,0.264,0.353,0.617,90.0,0.291,88.0,30,0,0,0,Right
Ralph Wyatt,25,SS,0.5,27,122,110,18,22,2,1,1,9,5,11,0.2,0.273,0.264,0.536,66.0,0.272,73.0,29,0,1,0,Right
Ted Radcliffe,40,C,0.2,29,105,102,7,28,2,0,0,8,1,2,0.275,0.288,0.294,0.583,80.0,0.279,81.0,30,0,1,0,Right
John Bissant,29,LF,0.6,28,113,103,18,29,2,3,1,8,4,9,0.282,0.339,0.388,0.728,125.0,0.35,121.0,40,0,1,0,Right
Willie Cornelius,36,UT,0.0,16,48,42,8,8,2,0,1,7,0,4,0.19,0.261,0.31,0.57,76.0,0.278,79.0,13,0,2,0,Right
Johnny Smith*,26,RF,-0.2,23,99,94,12,19,4,0,0,6,0,4,0.202,0.235,0.245,0.479,48.0,0.234,53.0,23,0,1,0,Left
Gentry Jessup,28,P,0.3,16,44,44,2,13,2,1,0,5,0,0,0.295,0.295,0.386,0.682,110.0,0.321,104.0,17,0,0,0,Right
Herbert Buster,28,MI,0.4,2,9,9,3,6,2,0,1,3,0,0,0.667,0.667,1.222,1.889,479.0,0.873,425.0,11,0,0,0,Right
Ollie West*,29,P,0.3,5,12,12,3,6,0,0,1,3,0,0,0.5,0.5,0.75,1.25,284.0,0.586,259.0,9,0,0,0,Left
Willie Ferrell,29,OF,-0.1,7,26,25,4,5,0,1,0,1,0,1,0.2,0.231,0.28,0.511,58.0,0.244,60.0,7,0,0,0,Right
Gray,,2B,0.0,1,4,4,0,2,0,0,0,1,0,0,0.5,0.5,0.5,1.0,210.0,0.481,198.0,2,0,0,0,Right
Charlie Shields*,20,UT,-0.1,7,25,24,1,6,0,1,0,0,0,1,0.25,0.28,0.333,0.613,89.0,0.292,88.0,8,0,0,0,Left
Henry Smith,,2B,-0.3,9,34,33,2,7,0,0,0,0,1,0,0.212,0.212,0.212,0.424,31.0,0.206,35.0,7,0,1,0,Right
Charlie Harris,,3B,0.0,1,4,4,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,55.0,0.24,58.0,1,0,0,0,Right
Leroy Sutton,22,P,0.1,9,26,24,0,6,1,0,0,0,0,1,0.25,0.28,0.292,0.572,77.0,0.277,78.0,7,0,1,0,Right
Eddie Locke*,20,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-84.0,0,0,0,0,Left
Francis Jackson,39,P,0.1,1,2,2,0,2,0,0,0,0,0,0,1.0,1.0,1.0,2.0,519.0,0.961,476.0,2,0,0,0,Right
