Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,SH,Bats
Alex Radcliff,36,3B,-0.3,28,116,111,10,20,4,2,1,11,0,5,0.18,0.216,0.279,0.495,52.0,0.234,55.0,31,0,Right
Art Pennington#,19,1B,0.3,26,102,86,8,20,1,1,1,10,0,15,0.233,0.347,0.302,0.649,100.0,0.323,107.0,26,1,Both
