Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Jim Brown#,34,1B,0.9,75,299,262,44,81,16,4,5,46,7,32,0.309,0.395,0.458,0.853,119.0,0.391,121.0,120,5,Both
Sandy Thompson*,31,LF,0.7,79,306,276,38,88,11,2,1,46,9,26,0.319,0.386,0.384,0.77,99.0,0.363,103.0,106,4,Left
George Sweatt,32,CF,0.2,73,270,240,35,65,9,4,0,37,5,26,0.271,0.352,0.342,0.694,80.0,0.329,83.0,82,4,Right
Pythias Russ,22,C,1.0,49,196,178,33,49,9,7,3,33,4,15,0.275,0.342,0.455,0.797,104.0,0.358,100.0,81,3,Right
Sanford Jackson,26,SS,-1.7,81,309,293,41,58,9,4,1,30,10,15,0.198,0.239,0.266,0.506,30.0,0.24,26.0,78,1,Right
John Hines,25,UT,0.4,51,178,162,27,49,7,2,2,30,3,15,0.302,0.365,0.407,0.773,99.0,0.357,100.0,66,1,Right
Dave Malarcher#,31,3B,1.6,80,329,284,55,75,8,1,1,27,9,40,0.264,0.365,0.31,0.675,76.0,0.33,83.0,88,5,Both
Charley Williams,29,2B,-0.5,74,284,268,32,66,9,3,1,25,1,14,0.246,0.289,0.313,0.602,55.0,0.281,53.0,84,2,Right
Jelly Gardner*,30,RF,1.9,68,284,247,57,82,12,4,0,18,6,37,0.332,0.419,0.413,0.832,115.0,0.391,121.0,102,0,Left
Rube Curry,27,P,0.2,26,65,62,6,18,0,1,0,10,0,3,0.29,0.323,0.323,0.646,67.0,0.305,67.0,20,0,Right
