Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Steel Arm Davis*,34,RF,2.1,75,273,242,39,81,14,5,6,53,8,30,0.335,0.41,0.508,0.919,147.0,0.417,145.0,123,1,Left
Charley Williams,33,2B,-0.2,77,275,263,22,68,3,2,1,35,1,12,0.259,0.291,0.297,0.587,59.0,0.277,61.0,78,0,Right
José María Fernández,34,C,1.1,32,110,103,13,41,5,2,0,29,0,7,0.398,0.436,0.485,0.922,149.0,0.427,149.0,50,0,Right
Jim Brown#,38,1B,0.8,56,188,177,30,54,7,6,3,26,4,11,0.305,0.346,0.463,0.809,117.0,0.364,114.0,82,0,Both
Sandy Thompson*,35,LF,0.0,73,274,245,35,63,7,2,0,26,0,29,0.257,0.336,0.302,0.638,74.0,0.31,80.0,74,0,Left
Rap Dixon,27,,1.0,32,123,102,26,28,7,4,3,25,4,21,0.275,0.398,0.51,0.908,144.0,0.412,140.0,52,0,Right
Sanford Jackson,30,CF,0.2,78,323,298,47,77,9,5,0,19,5,24,0.258,0.316,0.322,0.638,73.0,0.301,76.0,96,1,Right
Mitchell Murray,34,C,0.7,35,114,109,11,38,7,0,0,16,0,5,0.349,0.377,0.413,0.79,113.0,0.368,115.0,45,0,Right
Eddie Miller,29,SS,0.3,64,242,212,24,48,5,2,0,16,1,30,0.226,0.322,0.269,0.591,61.0,0.291,70.0,57,0,Right
Malvin Powell,22,P,-0.2,45,135,128,19,34,3,1,1,16,3,7,0.266,0.304,0.328,0.632,71.0,0.295,72.0,42,0,Right
