Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
José Colás,23,CF,0.3,18,80,73,15,21,5,2,0,14,2,5,0.288,0.342,0.411,0.753,101.0,0.354,98.0,30,1,1,Right
Pedro Formental*,32,RF,0.4,15,67,50,8,14,2,0,2,12,0,15,0.28,0.446,0.44,0.886,137.0,0.431,142.0,22,0,2,Left
Bob Boyd*,27,1B,-0.2,21,96,88,14,23,3,0,1,10,4,6,0.261,0.323,0.33,0.652,75.0,0.32,77.0,29,2,0,Left
George Handy*,27,2B,0.2,16,67,60,7,16,0,2,0,10,0,3,0.267,0.302,0.333,0.635,70.0,0.304,66.0,20,0,4,Left
