Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,IBB
Neil Robinson,37,CF,1.0,21,90,81,15,27,6,0,4,17,1,7,0.333,0.4,0.556,0.956,178.0,0.432,165.0,45,2,0,1
Red Longley,35,3B,-0.2,23,85,76,5,16,1,1,0,11,0,5,0.211,0.259,0.25,0.509,49.0,0.247,53.0,19,0,4,0
Casey Jones*,26,C,0.2,23,77,72,12,17,5,0,3,7,1,5,0.236,0.286,0.431,0.716,108.0,0.327,103.0,31,0,0,0
Cowan Hyde,38,RF,-0.5,15,69,66,8,14,1,4,0,7,0,2,0.212,0.235,0.348,0.584,69.0,0.266,66.0,23,0,1,0
Fred Bankhead,32,2B,0.4,20,86,74,17,19,2,2,0,7,2,9,0.257,0.353,0.338,0.691,103.0,0.334,107.0,25,2,1,0
Willie Wells,22,IF,-0.3,14,41,39,3,6,3,1,0,5,0,1,0.154,0.195,0.282,0.477,39.0,0.222,41.0,11,1,0,0
Jim Canada*,33,1B,-0.4,20,74,66,6,13,1,0,0,5,1,6,0.197,0.264,0.212,0.476,40.0,0.237,49.0,14,0,2,0
Fred McDaniel*,32,LF,0.0,15,52,46,6,11,2,0,0,5,1,4,0.239,0.3,0.283,0.583,71.0,0.282,76.0,13,0,2,0
Verdell Mathis*,31,OF,0.3,16,45,35,11,10,2,0,0,5,1,7,0.286,0.405,0.343,0.748,120.0,0.366,128.0,12,0,3,0
Jimmy Ford,32,UT,0.0,15,55,51,6,12,3,1,1,4,0,3,0.235,0.278,0.392,0.67,95.0,0.309,91.0,20,0,1,0
Leamon Johnson*,28,SS,-0.5,14,48,45,3,6,0,1,0,2,0,1,0.133,0.17,0.178,0.348,2.0,0.169,8.0,8,1,1,0
Larry Brown#,43,C,0.1,6,9,8,1,3,1,0,0,2,0,1,0.375,0.444,0.5,0.944,176.0,0.442,169.0,4,0,0,0
John Henry Oliver,38,UT,-0.2,8,31,28,4,5,0,0,0,1,0,3,0.179,0.258,0.179,0.437,29.0,0.225,43.0,5,0,0,0
Buck Felder,29,MI,-0.1,8,16,13,2,2,2,0,0,1,0,3,0.154,0.313,0.308,0.62,82.0,0.307,90.0,4,0,0,0
Jelly Taylor*,34,1B,0.1,3,13,11,1,3,0,0,0,1,0,2,0.273,0.385,0.273,0.657,94.0,0.333,106.0,3,0,0,0
Rufus Ligon,42,P,0.1,4,4,3,1,1,0,0,0,1,0,1,0.333,0.5,0.333,0.833,147.0,0.423,158.0,1,0,0,0
Edgar Chatman,28,P,0.0,4,10,9,0,2,0,0,0,1,0,1,0.222,0.3,0.222,0.522,54.0,0.264,65.0,2,0,0,0
M. Johnson,,P,0.1,2,2,1,0,1,0,0,0,1,0,1,1.0,1.0,1.0,2.0,486.0,0.847,400.0,1,0,0,0
B.L. Brown,,OF,-0.1,3,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-85.0,0,0,0,0
T.J. Brown,29,SS,0.1,2,9,8,1,2,0,0,0,0,0,1,0.25,0.333,0.25,0.583,72.0,0.293,82.0,2,0,0,0
Nat Rogers*,51,OF,0.0,4,9,8,0,2,0,0,0,0,0,1,0.25,0.333,0.25,0.583,72.0,0.293,82.0,2,0,0,0
Frank Pearson,25,P,0.0,6,16,16,1,4,0,0,0,0,0,0,0.25,0.25,0.25,0.5,47.0,0.237,50.0,4,0,0,0
Daniels,,OF,0.1,1,1,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.747,354.0,0,0,0,0
Spike Garrett,,OF,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-92.0,0,0,0,0
Al Jones,,P,0.0,6,13,9,2,1,1,0,0,0,0,1,0.111,0.2,0.222,0.422,23.0,0.208,13.0,2,0,3,0
Robert Keyes*,,P,-0.1,5,6,5,0,0,0,0,0,0,0,1,0.0,0.167,0.0,0.167,-49.0,0.124,-15.0,0,0,0,0
Felix Evans,34,P,0.0,3,11,11,1,2,0,0,0,0,0,0,0.182,0.182,0.182,0.364,7.0,0.172,12.0,2,0,0,0
Edgar Baker*,,P,0.1,2,5,5,0,2,0,0,0,0,0,0,0.4,0.4,0.4,0.8,134.0,0.379,132.0,2,0,0,0
Oscar Childs,,P,-0.1,2,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-89.0,0,0,0,0
