Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Pythias Russ,24,SS,2.7,70,288,274,54,93,13,3,2,48,9,9,0.339,0.372,0.431,0.802,118.0,0.369,119.0,118,5,Right
Charley Williams,31,2B,0.2,65,252,235,26,60,10,6,0,36,4,15,0.255,0.306,0.349,0.654,78.0,0.302,77.0,82,2,Right
John Hines,27,C,1.3,67,221,203,35,58,9,3,2,34,6,12,0.286,0.344,0.389,0.733,100.0,0.34,101.0,79,6,Right
Steel Arm Davis*,32,RF,1.0,59,242,226,38,72,12,5,2,31,7,13,0.319,0.364,0.442,0.806,119.0,0.369,118.0,100,3,Left
Sandy Thompson*,33,LF,0.4,43,179,166,25,55,1,1,0,27,4,11,0.331,0.38,0.349,0.729,100.0,0.344,104.0,58,2,Left
Lemuel Hawkins*,32,1B,-0.2,38,153,143,14,36,4,0,0,16,5,10,0.252,0.301,0.28,0.58,59.0,0.278,61.0,40,0,Left
Dave Malarcher#,33,3B,0.2,33,116,106,11,28,3,0,0,16,4,9,0.264,0.328,0.292,0.62,70.0,0.299,74.0,31,1,Both
Sanford Jackson,28,UT,0.9,54,235,219,32,60,4,4,0,16,5,13,0.274,0.323,0.329,0.652,78.0,0.306,80.0,72,3,Right
Ruben Jones*,34,OF,0.1,37,126,120,17,36,4,2,0,15,4,3,0.3,0.333,0.367,0.7,91.0,0.326,91.0,44,3,Left
Mitchell Murray,32,C,0.6,24,78,70,13,20,4,2,0,14,2,7,0.286,0.359,0.4,0.759,107.0,0.352,108.0,28,1,Right
Jim Brown#,36,1B,-0.4,37,129,125,16,33,3,0,0,12,3,3,0.264,0.287,0.288,0.575,57.0,0.269,56.0,36,1,Both
Jelly Gardner*,32,CF,1.2,50,213,184,37,51,3,0,0,10,19,27,0.277,0.376,0.293,0.669,85.0,0.339,94.0,54,2,Left
Nat Rogers*,34,OF,-0.7,25,86,83,5,18,2,0,0,10,2,3,0.217,0.244,0.241,0.485,33.0,0.229,31.0,20,0,Left
