Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB
Willie Bobo*,27,1B,4.5,87,378,323,74,116,23,9,14,84,14,55,0.359,0.452,0.616,1.068,184.0,0.471,177.0,199
Dewey Creacy,25,3B,3.4,83,360,331,71,107,21,6,14,72,17,29,0.323,0.378,0.55,0.928,146.0,0.414,140.0,182
Branch Russell*,29,RF,2.7,81,329,278,62,85,13,11,8,63,8,51,0.306,0.413,0.518,0.931,149.0,0.416,145.0,144
Wilson Redus,20,LF,3.5,77,296,258,60,96,17,6,12,62,5,38,0.372,0.453,0.624,1.077,186.0,0.472,179.0,161
Cool Papa Bell#,22,CF,3.6,87,410,380,94,132,33,6,10,58,30,30,0.347,0.395,0.545,0.94,150.0,0.425,145.0,207
Willie Wells,20,SS,3.2,87,391,338,83,98,19,7,8,53,18,53,0.29,0.386,0.459,0.845,126.0,0.388,126.0,155
Mitchell Murray,29,C,2.0,61,196,176,42,66,10,0,3,38,6,20,0.375,0.439,0.483,0.922,147.0,0.421,149.0,85
John Barnes*,22,C,1.0,58,192,179,28,56,12,0,2,32,2,13,0.313,0.359,0.413,0.773,107.0,0.353,108.0,74
Charlie Watts,,2B,1.0,54,141,124,18,37,7,4,2,23,2,17,0.298,0.383,0.468,0.851,127.0,0.383,126.0,58
Elmer Wilson,30,2B,0.5,51,136,131,16,34,8,3,5,22,1,5,0.26,0.287,0.481,0.768,103.0,0.333,96.0,63
Candy Jim Taylor,41,3B,0.1,36,47,43,3,10,0,0,2,11,4,4,0.233,0.298,0.372,0.67,79.0,0.314,79.0,16
Eddie Tyler,,PH,0.3,29,88,85,16,29,6,1,0,9,2,3,0.341,0.364,0.435,0.799,114.0,0.361,113.0,37
Logan Hensley,25,P,0.7,27,61,58,7,18,1,0,3,8,0,3,0.31,0.344,0.483,0.827,120.0,0.369,116.0,28
Roosevelt Davis,20,P,-0.1,35,63,61,4,10,1,0,1,5,0,2,0.164,0.19,0.23,0.42,12.0,0.194,11.0,14
Dick Ross,,PH,0.3,18,41,40,6,13,5,1,1,5,0,1,0.325,0.341,0.575,0.916,142.0,0.399,134.0,23
Percy Miller*,28,P,-0.1,41,58,56,6,9,3,0,1,5,2,2,0.161,0.19,0.268,0.458,22.0,0.21,19.0,15
Slim Branham,25,P,0.4,11,21,18,5,7,2,0,0,3,1,3,0.389,0.476,0.5,0.976,163.0,0.451,164.0,9
Deacon Meyers,25,P,0.1,14,18,18,2,4,0,0,1,2,0,0,0.222,0.222,0.389,0.611,61.0,0.266,54.0,7
William Ross,31,P,-0.1,25,57,54,5,10,2,0,0,1,0,3,0.185,0.228,0.222,0.45,22.0,0.215,24.0,12
John Reese,30,PR,0.4,42,57,47,14,15,4,1,0,1,3,10,0.319,0.439,0.447,0.885,138.0,0.416,142.0,21
Milton Smith#,18,C,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0
Sam Bennett,41,C,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0
George Brown,,P,-0.1,20,23,21,1,2,0,0,0,0,1,2,0.095,0.174,0.095,0.269,-26.0,0.149,-17.0,2
Broyles,,P,0.0,5,4,4,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,35.0,0.232,34.0,1
Fred Bell*,23,P,0.0,1,2,1,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,46.0,0.372,118.0,0
