Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Bats
Mule Suttles,24,1B,2.1,68,272,242,45,80,6,5,10,59,5,30,0.331,0.404,0.521,0.925,147.0,0.412,143.0,126,Right
Poindexter Williams,27,C,2.1,69,257,242,28,81,14,7,6,49,4,15,0.335,0.374,0.525,0.898,139.0,0.397,134.0,127,Right
Ruben Jones*,31,RF,0.3,76,312,298,40,85,11,8,2,46,8,14,0.285,0.317,0.396,0.713,90.0,0.322,89.0,118,Left
Charlie Blackwell*,30,LF,1.6,65,292,260,62,79,10,4,8,44,10,32,0.304,0.38,0.465,0.846,126.0,0.383,125.0,121,Left
Sandy Thompson*,30,CF,1.6,67,275,260,48,88,11,7,3,42,9,15,0.338,0.375,0.469,0.844,125.0,0.38,123.0,122,Left
Felton Stratton,29,3B,0.2,57,244,239,39,66,11,4,1,26,6,5,0.276,0.291,0.368,0.659,76.0,0.297,74.0,88,Right
Geechie Meredith,25,2B,-0.9,70,274,261,35,55,7,4,0,22,10,13,0.211,0.248,0.268,0.516,39.0,0.244,39.0,70,Right
Saul Davis,24,SS,0.6,41,121,116,14,38,3,1,2,16,6,5,0.328,0.355,0.422,0.778,108.0,0.358,107.0,49,Right
Grady Orange,25,SS,-0.9,53,186,179,13,35,4,1,0,15,1,7,0.196,0.226,0.229,0.455,23.0,0.213,23.0,41,Right
