Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Roy Parnell,23,LF,5.2,87,360,334,86,141,24,10,11,75,19,25,0.422,0.464,0.653,1.117,199.0,0.503,200.0,218,1,Right
Ruben Jones*,33,RF,0.8,75,275,266,51,81,14,3,5,54,8,9,0.305,0.327,0.436,0.763,105.0,0.347,103.0,116,0,Left
Clarence Palm,19,C,1.0,54,164,156,22,44,5,3,8,27,2,8,0.282,0.317,0.506,0.823,120.0,0.365,116.0,79,0,Right
