Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Ed Rile*,30,1B,1.7,65,272,247,46,75,17,9,5,42,8,25,0.304,0.368,0.506,0.874,134.0,0.393,129.0,125,0,Left
Jake Dunn,20,SS,1.3,71,276,258,30,73,11,7,3,39,8,18,0.283,0.33,0.415,0.744,100.0,0.341,99.0,107,0,Right
Turkey Stearnes*,29,CF,1.3,35,143,129,26,42,9,8,2,38,6,14,0.326,0.392,0.566,0.957,156.0,0.429,149.0,73,0,Left
Wade Johnston*,32,LF,1.9,69,308,270,59,85,10,10,3,35,6,38,0.315,0.399,0.459,0.859,132.0,0.394,131.0,124,0,Left
Bobby Robinson,26,3B,0.6,70,278,258,39,72,10,4,0,34,5,20,0.279,0.331,0.349,0.68,84.0,0.318,86.0,90,0,Right
Clarence Palm,22,C,0.9,48,150,143,25,43,7,2,5,32,5,7,0.301,0.333,0.483,0.816,118.0,0.367,113.0,69,0,Right
Crush Holloway#,33,RF,-0.2,71,308,292,50,73,10,9,0,30,12,16,0.25,0.289,0.346,0.635,71.0,0.297,70.0,101,0,Both
Grady Orange,30,2B,-0.7,57,206,198,20,44,6,0,1,23,4,8,0.222,0.252,0.268,0.52,41.0,0.244,42.0,53,0,Right
Pepper Daniels,27,C,0.4,45,148,130,20,33,9,0,0,18,2,18,0.254,0.345,0.323,0.668,81.0,0.321,88.0,42,0,Right
Lou Dials*,26,1B,0.5,30,89,78,16,20,3,4,3,15,3,11,0.256,0.348,0.513,0.861,130.0,0.385,124.0,40,0,Left
Andy Love,22,IF,0.0,26,91,87,14,23,6,0,2,13,2,4,0.264,0.297,0.402,0.699,87.0,0.317,85.0,35,0,Right
