Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Ed Steele*,28,RF,1.7,32,131,112,25,40,6,4,3,23,3,14,0.357,0.442,0.563,1.004,208.0,0.472,199.0,63,3,2,Left
John Britton*,25,3B,1.0,33,142,130,16,42,5,1,1,18,0,8,0.323,0.367,0.4,0.767,136.0,0.37,134.0,52,1,3,Left
Artie Wilson*,23,SS,2.2,31,140,132,22,50,7,5,0,14,2,6,0.379,0.41,0.508,0.918,182.0,0.432,174.0,67,1,1,Left
Piper Davis,26,1B,0.0,32,130,123,15,26,3,2,2,13,1,7,0.211,0.254,0.317,0.571,75.0,0.274,74.0,39,0,0,Right
Tommy Sampson,31,2B,1.7,30,124,112,18,38,4,2,0,13,1,7,0.339,0.393,0.411,0.804,147.0,0.387,145.0,46,3,2,Right
Ted Radcliffe,41,C,-0.1,22,85,76,12,15,3,0,0,11,0,5,0.197,0.247,0.237,0.484,49.0,0.24,49.0,18,0,4,Right
Lester Lockett,32,LF,-0.3,28,101,94,12,20,4,1,0,11,0,5,0.213,0.253,0.277,0.529,63.0,0.257,62.0,26,0,2,Right
