Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Pos.1,Awards
1,Ted Radcliffe,40,C,0.2,29,105,102,7,28,2,0,0,8,1,2,.275,.288,.294,.583,80,.279,81,30,0,1,0,2/19,AS
2,Ed Young,30,1B,0.4,28,111,104,15,31,6,2,1,13,0,5,.298,.336,.423,.759,134,.360,128,44,1,1,0,3/25,
3,Art Pennington#,20,2B,0.4,31,127,118,18,28,2,4,2,16,1,9,.237,.291,.373,.664,105,.315,102,44,0,0,0,49/637,
4,Ralph Wyatt,25,SS,0.5,27,122,110,18,22,2,1,1,9,5,11,.200,.273,.264,.536,66,.272,73,29,0,1,0,6,
5,Alex Radcliff,37,3B,1.4,30,126,122,13,45,7,1,1,19,2,4,.369,.389,.467,.856,164,.404,154,57,0,0,0,5/6,AS
6,John Bissant,29,LF,0.6,28,113,103,18,29,2,3,1,8,4,9,.282,.339,.388,.728,125,.350,121,40,0,1,0,7/4,
7,Lloyd Davenport*,31,CF,1.2,34,155,147,23,46,6,2,1,17,3,8,.313,.348,.401,.750,132,.356,126,59,0,0,0,8,AS
8,Johnny Smith*,26,RF,-0.2,23,99,94,12,19,4,0,0,6,0,4,.202,.235,.245,.479,48,.234,53,23,0,1,0,9/732,
9,Babe Charter,32,UT,0.1,21,87,85,10,21,3,0,2,10,1,2,.247,.264,.353,.617,90,.291,88,30,0,0,0,3/4526,
10,Willie Cornelius,36,UT,0.0,16,48,42,8,8,2,0,1,7,0,4,.190,.261,.310,.570,76,.278,79,13,0,2,0,1/75,
11,Henry Smith,,2B,-0.3,9,34,33,2,7,0,0,0,0,1,0,.212,.212,.212,.424,31,.206,35,7,0,1,0,/4,
12,Willie Ferrell,29,OF,-0.1,7,26,25,4,5,0,1,0,1,0,1,.200,.231,.280,.511,58,.244,60,7,0,0,0,/91,
13,Charlie Shields*,20,UT,-0.1,7,25,24,1,6,0,1,0,0,0,1,.250,.280,.333,.613,89,.292,88,8,0,0,0,/139,
14,Herbert Buster,28,MI,0.4,2,9,9,3,6,2,0,1,3,0,0,.667,.667,1.222,1.889,479,.873,425,11,0,0,0,/46,
15,Charlie Harris,,3B,0.0,1,4,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500,55,.240,58,1,0,0,0,/5,
16,Gray,,2B,0.0,1,4,4,0,2,0,0,0,1,0,0,.500,.500,.500,1.000,210,.481,198,2,0,0,0,/4,
17,Gentry Jessup,28,P,0.3,16,44,44,2,13,2,1,0,5,0,0,.295,.295,.386,.682,110,.321,104,17,0,0,0,1/7,
18,Leroy Sutton,22,P,0.1,9,26,24,0,6,1,0,0,0,0,1,.250,.280,.292,.572,77,.277,78,7,0,1,0,/1,
19,Ollie West*,29,P,0.3,5,12,12,3,6,0,0,1,3,0,0,.500,.500,.750,1.250,284,.586,259,9,0,0,0,/1,
20,Eddie Locke*,20,P,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-84,0,0,0,0,/1,
21,Francis Jackson,39,P,0.1,1,2,2,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,519,.961,476,2,0,0,0,/1,
