Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Bats
Neil Robinson,35,CF,0.5,23,92,81,14,22,3,2,2,16,0,9,0.272,0.352,0.432,0.784,142.0,0.374,136.0,35,1,1,0,Right
Red Longley,33,SS,0.5,25,96,91,9,29,4,1,0,10,1,5,0.319,0.354,0.385,0.739,128.0,0.353,124.0,35,0,0,0,Right
