Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Bats
Lester Lockett,31,LF,0.7,38,160,150,15,37,4,2,1,25,1,9,0.247,0.289,0.32,0.609,88.0,0.293,89.0,48,0,1,0,Right
Piper Davis,25,SS,1.7,39,161,142,28,41,12,2,2,24,3,16,0.289,0.365,0.444,0.808,149.0,0.384,142.0,63,1,2,0,Right
Clyde Spearman*,30,RF,1.1,42,181,156,26,47,1,4,0,17,7,19,0.301,0.384,0.359,0.743,130.0,0.365,131.0,56,2,4,0,Left
Tommy Sampson,30,2B,1.3,40,175,161,24,47,2,3,0,16,6,11,0.292,0.337,0.342,0.679,110.0,0.33,110.0,55,0,3,0,Right
Felix McLaurin#,21,CF,1.2,33,146,125,27,38,4,1,1,13,5,20,0.304,0.4,0.376,0.776,140.0,0.38,140.0,47,0,1,0,Both
Alphonse Dunn,31,1B,-0.4,26,96,85,11,17,3,2,1,10,3,9,0.2,0.284,0.318,0.602,86.0,0.297,89.0,27,1,1,0,Right
