Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Roy Parnell,24,CF,1.7,79,318,296,45,93,19,7,7,46,9,18,0.314,0.362,0.497,0.858,132.0,0.387,130.0,147,4,Right
George McAllister*,29,1B,0.9,86,341,309,47,87,9,6,4,36,5,30,0.282,0.349,0.388,0.737,101.0,0.341,102.0,120,2,Left
Geechie Meredith,28,2B,0.5,82,329,308,46,94,12,4,1,34,15,16,0.305,0.35,0.38,0.729,99.0,0.343,100.0,117,5,Right
Ray Sheppard,25,3B,1.3,57,207,198,26,55,12,5,3,25,6,4,0.278,0.309,0.434,0.744,101.0,0.337,97.0,86,5,Right
Chuffie Alexander,26,LF,0.6,66,239,232,28,62,11,5,1,21,6,6,0.267,0.289,0.371,0.659,79.0,0.301,75.0,86,1,Right
Bill Perkins,22,C,-0.3,79,264,248,32,57,4,7,2,20,2,13,0.23,0.277,0.327,0.603,64.0,0.278,62.0,81,3,Right
Dewitt Owens,27,SS,-1.2,80,267,257,18,58,9,1,0,16,6,10,0.226,0.255,0.268,0.523,43.0,0.245,41.0,69,0,Right
Charles Wesley,31,UT,0.0,46,133,131,16,35,4,1,0,14,1,2,0.267,0.278,0.313,0.591,61.0,0.272,58.0,41,0,Right
Anthony Cooper,23,RF,-0.6,39,131,127,9,27,4,0,1,11,2,4,0.213,0.237,0.268,0.504,37.0,0.234,34.0,34,0,Right
Poindexter Williams,30,C,0.0,22,49,47,1,12,2,0,0,11,0,2,0.255,0.286,0.298,0.584,59.0,0.274,59.0,14,0,Right
